id,m1,m2,q0star,alpha,phi0,tc,dist,incl,k,mean_20_300,p95_20_300,max_20_300,n_20_300,status,error_code,wall_time_s,model,score,p95_20_300_circ,p95_20_300_recalc,phi_ref_fpeak,phi_mcgt_fpeak
45,69.320559,29.311902,0.070034,-0.903601,0.0,0.0,1000.0,0.0,-143,1.619176,3.01243,3.136615,117,ok,,0.001632,default,3.01243,3.012429871669825,3.012429871669825,1.0217338975137835,0.608210724577976
46,59.091202,33.22073,-0.098918,0.052981,0.0,0.0,1000.0,0.0,6,1.539567,3.018991,3.125529,117,ok,,0.00189,default,3.018991,3.0189908817119573,3.0189908817119573,-0.014392570916285763,1.6144091067776607
47,75.536816,58.647349,0.209325,-0.088533,0.0,0.0,1000.0,0.0,-20,1.591155,3.023081,3.108148,117,ok,,0.002303,default,3.023081,3.023080714723443,3.023080714723443,-0.07841094903364976,2.7364721946718795
48,12.792926,8.737976,-0.259225,0.985967,0.0,0.0,1000.0,0.0,1,1.948384,3.020951,3.139213,117,ok,,0.001416,default,3.020951,3.020950691004044,3.020950691004044,2.8878496101148414,0.5414414706817574
49,59.583349,11.856171,0.129882,-0.502835,0.0,0.0,1000.0,0.0,-57,1.582823,2.946965,3.11024,117,ok,,0.001888,default,2.946965,2.946964517023766,2.946964517023766,-2.3397779087757833,-1.1428271184203744
50,79.188108,5.457941,-0.001753,0.415948,0.0,0.0,1000.0,0.0,0,0.192648,0.410966,0.450168,117,ok,,0.001403,default,0.410966,0.4109663299081467,0.4109663299081467,-1.11388519063129,-0.9085312583469545
51,67.94968,58.13614,0.271334,-0.442409,0.0,0.0,1000.0,0.0,-95,1.505677,2.949125,3.113162,117,ok,,0.001944,default,2.949125,2.949124575184264,2.949124575184264,-1.0129957896853998,-1.511532234696599
52,36.935645,32.835018,-0.159533,0.607482,0.0,0.0,1000.0,0.0,1,1.751271,3.011232,3.120162,117,ok,,0.00143,default,3.011232,3.011232489517236,3.011232489517236,-0.34480756934903845,2.6340209630505136
53,77.749338,42.099202,-0.075457,0.780089,0.0,0.0,1000.0,0.0,0,1.958912,3.030425,3.125241,117,ok,,0.001609,default,3.030425,3.030425243007512,3.030425243007512,0.6120865319222553,2.9703455741155267
54,48.648104,24.792381,0.055994,-0.177516,0.0,0.0,1000.0,0.0,-7,1.515176,2.897029,3.120008,117,ok,,0.001575,default,2.897029,2.8970289943467327,2.8970289943467327,-1.6112955795713955,-1.9514836468059649
55,69.629168,48.579934,-0.235837,0.212091,0.0,0.0,1000.0,0.0,7,1.598431,2.886397,3.114934,117,ok,,0.00167,default,2.886397,2.8863973036746606,2.8863973036746606,0.062043770439673906,2.789256980648471
56,21.045017,18.805249,0.195212,-0.861478,0.0,0.0,1000.0,0.0,-338,1.611477,3.021188,3.138949,117,ok,,0.001668,default,3.021188,3.021187728189578,3.021187728189578,2.5959584975428136,-0.5329426497766327
57,64.407929,17.500852,-0.2973,-0.010903,0.0,0.0,1000.0,0.0,21,1.502635,2.962337,3.132947,117,ok,,0.001787,default,2.962337,2.9623372300813577,2.9623372300813577,1.7327747995781486,1.1546968578946668
58,61.532545,38.134076,0.171212,0.906384,0.0,0.0,1000.0,0.0,0,2.047567,3.020563,3.12686,117,ok,,0.001681,default,3.020563,3.0205630281526368,3.0205630281526368,-1.7973253271587506,1.0566486082199908
59,53.731938,45.012531,-0.13703,-0.949996,0.0,0.0,1000.0,0.0,334,1.696111,2.985505,3.138183,117,ok,,0.001456,default,2.985505,2.985505021726384,2.985505021726384,-3.0736875843233094,2.685700627760003
60,33.947789,13.652959,0.031959,0.101329,0.0,0.0,1000.0,0.0,-1,1.720476,3.011442,3.114299,117,ok,,0.002873,default,3.011442,3.011441594131987,3.011441594131987,-2.5772105293500225,-2.2538273960361774
61,45.092729,24.754417,0.247288,0.272471,0.0,0.0,1000.0,0.0,-6,1.617773,3.004975,3.126919,117,ok,,0.001487,default,3.004975,3.004975175203008,3.004975175203008,-2.4088700742245486,-1.6355295037060742
62,54.566799,19.948275,-0.221114,-0.683638,0.0,0.0,1000.0,0.0,193,1.533875,2.961864,3.09984,117,ok,,0.001745,default,2.961864,2.961864326006281,2.961864326006281,-1.7163578952873397,2.0933654820640264
63,71.879715,71.016097,0.105874,0.703992,0.0,0.0,1000.0,0.0,-1,1.660551,2.973593,3.117691,117,ok,,0.001564,default,2.973593,2.9735925386853026,2.9735925386853026,0.8556548335482681,2.79802793544647
64,33.005897,8.232043,-0.063225,-0.371011,0.0,0.0,1000.0,0.0,17,1.539864,2.981446,3.071058,117,ok,,0.001633,default,2.981446,2.9814459567955844,2.9814459567955844,0.6265761293753513,2.99596118387473
65,62.801984,7.783351,0.084121,0.933585,0.0,0.0,1000.0,0.0,0,1.366234,2.235026,2.337553,117,ok,,0.001497,default,2.235026,2.235025573270226,2.235025573270226,3.0064964894311483,1.4741901696836752
66,71.757591,42.083054,-0.047331,-0.016558,0.0,0.0,1000.0,0.0,3,1.579871,2.915091,3.094817,117,ok,,0.001176,default,2.915091,2.915090882559393,2.915090882559393,-0.4868641861399592,2.9137799426852986
67,55.308459,54.765528,0.242088,0.121202,0.0,0.0,1000.0,0.0,-11,1.529332,2.925737,3.116655,117,ok,,0.001563,default,2.925737,2.925737026095248,2.925737026095248,0.787317358107007,2.7943269660807566
68,24.305891,10.276046,-0.188961,-0.960043,0.0,0.0,1000.0,0.0,479,1.512383,2.897522,3.071873,117,ok,,0.001576,default,2.897522,2.897522226872166,2.897522226872166,-1.96356192147202,-0.453224993789032
69,44.645598,33.206129,-0.123627,-0.663899,0.0,0.0,1000.0,0.0,100,1.585615,2.904102,2.995772,117,ok,,0.001389,default,2.904102,2.9041020419101,2.9041020419101,-1.2489405724676814,2.6437446915450984
70,45.461057,22.73987,0.008008,0.262558,0.0,0.0,1000.0,0.0,0,1.477025,2.960773,3.133489,117,ok,,0.001304,default,2.960773,2.960772858218874,2.960772858218874,2.791262095962484,1.1276266298294395
71,74.071063,61.981236,-0.262657,-0.343951,0.0,0.0,1000.0,0.0,63,1.474254,3.005379,3.135879,117,ok,,0.00166,default,3.005379,3.005378529944512,3.005378529944512,-1.4115461983372946,-1.7597864081807906
72,28.470368,16.759358,0.16821,0.698479,0.0,0.0,1000.0,0.0,-1,1.750911,2.991314,3.121725,117,ok,,0.001064,default,2.991314,2.991313589826177,2.991313589826177,0.9852463805483538,0.2342016210548037
73,58.252783,20.321689,-0.24924,0.424013,0.0,0.0,1000.0,0.0,4,1.530769,2.985385,3.107625,117,ok,,0.001301,default,2.985385,2.985384844519004,2.985384844519004,-2.2688281852574885,0.9364408295890918
74,70.059405,9.132971,0.219162,-0.524634,0.0,0.0,1000.0,0.0,-105,1.552734,2.957663,3.061848,117,ok,,0.000966,default,2.957663,2.957663042678472,2.957663042678472,-0.32696828972285275,-1.6119272029461662
75,68.671568,49.078462,-0.110101,0.615057,0.0,0.0,1000.0,0.0,1,1.817493,3.005833,3.127119,117,ok,,0.001768,default,3.005833,3.0058329662127266,3.0058329662127266,0.34645158255135655,0.28234477696920024
76,41.375995,33.869578,0.058997,-0.467622,0.0,0.0,1000.0,0.0,-23,1.537175,2.838382,3.043855,117,ok,,0.001261,default,2.838382,2.838381645427821,2.838381645427821,-0.5666932214273288,2.8846835244169604
77,77.612775,32.40466,0.293086,-0.170013,0.0,0.0,1000.0,0.0,-37,1.444066,2.98904,3.131479,117,ok,,0.001481,default,2.98904,2.9890396098498058,2.9890396098498058,2.786036316676137,2.1511904903919437
78,58.859347,27.271978,-0.175426,0.754948,0.0,0.0,1000.0,0.0,1,1.840067,3.034718,3.134461,117,ok,,0.000956,default,3.034718,3.034718382294778,3.034718382294778,-0.20493862365559146,-0.4927867228924292
79,79.911436,50.497058,0.135082,-0.853493,0.0,0.0,1000.0,0.0,-227,1.486823,2.982104,3.096387,117,ok,,0.001225,default,2.982104,2.982104469948214,2.982104469948214,-2.9582969338185325,-2.8681662726386143
80,14.544803,11.425934,-0.033906,0.190372,0.0,0.0,1000.0,0.0,1,1.726486,2.970921,3.124136,117,ok,,0.001009,default,2.970921,2.9709205110912467,2.9709205110912467,-2.0600614459869835,0.9096181789467082
81,48.974509,12.051409,0.20515,-0.298548,0.0,0.0,1000.0,0.0,-42,1.636989,2.948277,3.130433,117,ok,,0.001263,default,2.948277,2.948276933148817,2.948276933148817,2.7194693898557567,0.6222018539626681
82,75.985484,18.410245,-0.225753,0.651122,0.0,0.0,1000.0,0.0,2,1.605876,2.966486,3.140878,117,ok,,0.00096,default,2.966486,2.966486407572048,2.966486407572048,1.4949426564146187,0.12195780331589035
83,78.398321,59.53975,0.044912,-0.740568,0.0,0.0,1000.0,0.0,-49,1.418819,2.929596,3.13195,117,ok,,0.001549,default,2.929596,2.9295957700768205,2.9295957700768205,-2.315030852773008,-0.4821300774755777
84,28.570264,24.143541,-0.086687,0.34118,0.0,0.0,1000.0,0.0,2,1.67114,3.027214,3.138074,117,ok,,0.001209,default,3.027214,3.0272139104448086,3.0272139104448086,1.4853255110503802,2.329657373977305
85,67.117941,38.35191,-0.152021,0.044548,0.0,0.0,1000.0,0.0,9,1.587566,2.979086,3.116706,117,ok,,0.001316,default,2.979086,2.9790860242769157,2.9790860242769157,-2.757390030156131,0.5339802026205369
86,50.569039,37.767814,0.278992,-0.881436,0.0,0.0,1000.0,0.0,-522,1.497572,2.882344,3.091048,117,ok,,0.008042,default,2.882344,2.8823444422594084,2.8823444422594084,-2.520764373472085,-0.4896368439279364
