id,m1,m2,q0star,alpha,phi0,tc,dist,incl,k,mean_20_300,p95_20_300,max_20_300,n_20_300,status,error_code,wall_time_s,model,score,p95_20_300_circ,p95_20_300_recalc,n_jalons_total,n_jalons_used,penalty_mean
14,56.910352,7.793209,0.078552,-0.979527,0.000000,0.000000,1000.000000,0.000000,-215,1.680113,3.088856,3.137985,117,ok,,0.002349,default,3.088856,3.088856,3.088856,0,0,0.000000
15,78.034382,70.266642,-0.194528,0.882698,0.000000,0.000000,1000.000000,0.000000,1,1.732549,2.996532,3.127352,117,ok,,0.002858,default,2.996532,2.996532,2.996532,0,0,0.000000
16,34.618827,10.593763,0.237106,-0.043857,0.000000,0.000000,1000.000000,0.000000,-19,1.653118,2.973174,3.060424,117,ok,,0.003593,default,2.973174,2.973174,2.973174,0,0,0.000000
17,66.986566,14.056192,-0.142629,0.468439,0.000000,0.000000,1000.000000,0.000000,2,1.657951,3.006587,3.108830,117,ok,,0.003339,default,3.006587,3.006587,3.006587,0,0,0.000000
18,76.691400,35.554866,0.025919,-0.613921,0.000000,0.000000,1000.000000,0.000000,-17,1.660697,3.009222,3.132861,117,ok,,0.002531,default,3.009222,3.009222,3.009222,0,0,0.000000
19,60.963170,60.317848,-0.282318,0.523741,0.000000,0.000000,1000.000000,0.000000,3,1.497107,2.927011,3.109732,117,ok,,0.002545,default,2.927011,2.927011,2.927011,0,0,0.000000
20,30.356622,6.422298,0.186633,-0.425073,0.000000,0.000000,1000.000000,0.000000,-61,1.560363,2.983784,3.129162,117,ok,,0.002930,default,2.983784,2.983784,2.983784,0,0,0.000000
21,47.638751,39.917849,0.101967,-0.190941,0.000000,0.000000,1000.000000,0.000000,-14,1.644879,3.050757,3.120704,117,ok,,0.002831,default,3.050757,3.050757,3.050757,0,0,0.000000
22,51.126716,17.402824,-0.066398,0.852109,0.000000,0.000000,1000.000000,0.000000,0,1.439376,2.448296,2.576225,117,ok,,0.002581,default,2.448296,2.448296,2.448296,0,0,0.000000
23,79.152718,67.429507,0.260594,-0.754303,0.000000,0.000000,1000.000000,0.000000,-299,1.611224,3.018721,3.098605,117,ok,,0.003585,default,3.018721,3.018721,3.018721,0,0,0.000000
24,25.732320,23.541937,-0.208540,0.171321,0.000000,0.000000,1000.000000,0.000000,8,1.599830,2.927619,3.141427,117,ok,,0.002535,default,2.927619,2.927619,2.927619,0,0,0.000000
25,52.786418,15.296254,0.275184,0.959364,0.000000,0.000000,1000.000000,0.000000,-1,1.667755,2.988802,3.120522,117,ok,,0.002078,default,2.988802,2.988802,2.988802,0,0,0.000000
26,64.024676,12.255442,-0.156414,-0.122477,0.000000,0.000000,1000.000000,0.000000,17,1.626706,2.917152,3.118224,117,ok,,0.002215,default,2.917152,2.917152,2.917152,0,0,0.000000
27,65.806490,42.826246,0.116667,0.017099,0.000000,0.000000,1000.000000,0.000000,-7,1.586884,3.020947,3.133996,117,ok,,0.002116,default,3.020947,3.020947,3.020947,0,0,0.000000
28,39.078263,36.421607,-0.014235,-0.932172,0.000000,0.000000,1000.000000,0.000000,32,1.666882,3.036932,3.118621,117,ok,,0.002226,default,3.036932,3.036932,3.036932,0,0,0.000000
29,70.920936,26.940346,-0.230146,-0.697552,0.000000,0.000000,1000.000000,0.000000,212,1.610042,3.018625,3.132491,117,ok,,0.002075,default,3.018625,3.018625,3.018625,0,0,0.000000
30,52.092764,31.620210,0.201342,0.344979,0.000000,0.000000,1000.000000,0.000000,-4,1.518840,3.010627,3.080335,117,ok,,0.001744,default,3.010627,3.010627,3.010627,0,0,0.000000
31,73.220335,46.477370,-0.090494,-0.263347,0.000000,0.000000,1000.000000,0.000000,16,1.535058,2.911583,3.109702,117,ok,,0.002076,default,2.911583,2.911583,2.911583,0,0,0.000000
32,20.908384,5.739699,0.040518,0.662735,0.000000,0.000000,1000.000000,0.000000,0,1.717356,3.023336,3.131898,117,ok,,0.001640,default,3.023336,3.023336,3.023336,0,0,0.000000
33,73.291537,7.040195,0.157118,0.133469,0.000000,0.000000,1000.000000,0.000000,-7,1.604066,3.055261,3.131548,117,ok,,0.001961,default,3.055261,3.055261,3.055261,0,0,0.000000
34,74.336545,29.249465,-0.273894,-0.784809,0.000000,0.000000,1000.000000,0.000000,353,1.536227,2.999506,3.123731,117,ok,,0.001569,default,2.999506,2.999506,2.999506,0,0,0.000000
35,53.283397,44.124932,0.017937,0.827445,0.000000,0.000000,1000.000000,0.000000,0,0.424723,0.731208,0.770905,117,ok,,0.001547,default,0.731208,0.731208,0.731208,0,0,0.000000
36,28.019935,23.260680,-0.113552,-0.222919,0.000000,0.000000,1000.000000,0.000000,17,1.472471,2.972324,3.131353,117,ok,,0.001653,default,2.972324,2.972324,2.972324,0,0,0.000000
