T_Gyr,DH_calc,Yp_calc
7.56801383064655e-05,2.5304809154151472e-05,0.25243098771372263
7.744198953282529e-05,2.5304776616194026e-05,0.2524360317006503
7.924485706562014e-05,2.5304744225360514e-05,0.2524410757883652
8.108969577400607e-05,2.530471198131741e-05,0.2524461199768692
8.29774827567154e-05,2.530467988373061e-05,0.25245116426616443
8.490921785956572e-05,2.5304647932266705e-05,0.25245620865625285
8.68859242050184e-05,2.5304616126591763e-05,0.2524612531471365
8.890864873406371e-05,2.530458446637216e-05,0.2524662977388174
9.09784627607212e-05,2.5304552951274138e-05,0.25247134243129754
9.30964625394506e-05,2.5304521580963878e-05,0.252476387224579
9.526376984577032e-05,2.530449035510778e-05,0.2524814321186637
9.748153257039377e-05,2.5304459273372185e-05,0.25248647711355365
9.975092532719747e-05,2.530442833542319e-05,0.2524915222092509
0.00010207315007534164,2.530439754092731e-05,0.25249656740575754
0.00010444943675587603,2.5304366889550594e-05,0.25250161270307553
0.00010688104394316373,2.5304336380959563e-05,0.25250665810120676
0.00010936925951147221,2.5304306014820374e-05,0.2525117036001535
0.00011191540131708102,2.5304275790799456e-05,0.2525167491999175
0.00011452081789627101,2.530424570856303e-05,0.2525217949005009
0.00011718688917956085,2.5304215767777374e-05,0.2525268407019058
0.00011991502722257323,2.5304185968108978e-05,0.2525318866041341
0.00012270667695391376,2.530415630922407e-05,0.2525369326071878
0.0001255633169404626,2.530412679078889e-05,0.2525419787110689
0.0001284864601704804,2.530409741246999e-05,0.25254702491577957
0.00013147765485494703,2.5304068173933513e-05,0.2525520712213217
0.0001345384852475536,2.5304039074845912e-05,0.2525571176276973
0.00013767057248378624,2.5304010114873444e-05,0.2525621641349084
0.0001408755754395418,2.5303981293682466e-05,0.25256721074295707
0.00014415519160973454,2.5303952610939344e-05,0.25257225745184525
0.00014751115800735467,2.53039240663105e-05,0.252577304261575
0.00015094525208345943,2.5303895659462295e-05,0.25258235117214833
0.00015445929266857963,2.530386739006096e-05,0.25258739818356724
0.00015805514093604462,2.5303839257772973e-05,0.2525924452958337
0.00016173470138773117,2.5303811262264772e-05,0.2525974925089498
0.0001654999228627635,2.5303783403202584e-05,0.2526025398229176
0.00016935279956969333,2.53037556802528e-05,0.25260758723773896
0.00017329537214271217,2.5303728093081816e-05,0.252612634753416
0.0001773297287224494,2.5303700641356078e-05,0.2526176823699508
0.0001814580060619349,2.5303673324742043e-05,0.2526227300873452
0.00018568239065830538,2.530364614290585e-05,0.2526277779056013
0.00019000511991086038,2.5303619095514123e-05,0.2526328258247212
0.00019442848330607484,2.530359218223327e-05,0.2526378738447068
0.0001989548236302023,2.53035654027295e-05,0.25264292196556015
0.00020358653821010443,2.5303538756669385e-05,0.25264797018728324
0.00020832608018297088,2.5303512243719296e-05,0.2526530185098782
0.00021317595979559493,2.530348586354566e-05,0.2526580669333469
0.00021813874573390002,2.5303459615814803e-05,0.2526631154576914
0.0002232170664834146,2.530343350019321e-05,0.25266816408291376
0.00022841361172142269,2.530340751634737e-05,0.252673212809016
0.0002337311337415202,2.5303381663943666e-05,0.25267826163600005
0.00023917244891133934,2.5303355942648445e-05,0.252683310563868
0.00024474043916420486,2.53033303521282e-05,0.25268835959262187
0.00025043805352552095,2.5303304892049485e-05,0.2526934087222636
0.00025626830967468816,2.53032795620786e-05,0.2526984579527953
0.00026223429554338666,2.5303254361882002e-05,0.25270350728421886
0.00026833917095106334,2.5303229291126204e-05,0.2527085567165365
0.0002745861692784981,2.530320434947761e-05,0.25271360624975003
0.0002809785991803265,2.5303179536602644e-05,0.25271865588386155
0.00028751984633743484,2.5303154852167823e-05,0.2527237056188732
0.0002942133752501471,2.530313029583957e-05,0.25272875545478674
0.00030106273107316175,2.530310586728446e-05,0.25273380539160434
0.0003080715414932025,2.5303081566168775e-05,0.252738855429328
0.00031524351865038484,2.530305739215909e-05,0.2527439055679598
0.0003225824611043088,2.5303033344922006e-05,0.2527489558075016
0.0003300922558459267,2.5303009424123745e-05,0.2527540061479555
0.0003377768803562433,2.530298562943096e-05,0.2527590565893236
0.0003456404047129478,2.5302961960510037e-05,0.2527641071316078
0.00035368699374608355,2.5302938417027532e-05,0.2527691577748101
0.00036192090924390755,2.5302914998649893e-05,0.2527742085189326
0.0003703465122100979,2.5302891705043676e-05,0.2527792593639774
0.00037896826517351296,2.5302868535875286e-05,0.2527843103099463
0.0003877907345517221,2.5302845490811284e-05,0.2527893613568414
0.0003968185930695566,2.530282256951819e-05,0.25279441250466483
0.0004060566222339703,2.530279977166251e-05,0.25279946375341844
0.00041550971486651,2.530277709691067e-05,0.2528045151031043
0.0004251828776947478,2.5302754544929243e-05,0.25280956655372444
0.00043508123400403694,2.5302732115384703e-05,0.252814618105281
0.0004452100263510072,2.5302709807943626e-05,0.25281966975777576
0.00045557461934022454,2.53026876222725e-05,0.2528247215112109
0.00046618050246549934,2.5302665558037905e-05,0.25282977336558843
0.00047703329301733286,2.5302643614906226e-05,0.2528348253209103
0.0004881387390580581,2.530262179254411e-05,0.25283987737717856
0.0004995027224662343,2.5302600090618042e-05,0.2528449295343952
0.0005111312620519243,2.5302578508794677e-05,0.2528499817925623
0.000523030516744487,2.5302557046740355e-05,0.2528550341516818
0.0005352067888545921,2.530253570412179e-05,0.2528600866117558
0.0005476665274121654,2.5302514480605317e-05,0.2528651391727863
0.000560416331582052,2.5302493375857712e-05,0.2528701918347752
