kernel,k_c,q0_lss,q0_gw,s8_lss,s8_gw,target_error,ligo_impact,score
yukawa,0.00038311868495572853,-0.0018683453971722285,-1e-06,0.776149332586485,0.8299699214302317,0.006149332586484979,0.0,0.006149332586484979
yukawa,0.00042169650342858224,-0.001890690242909537,-1e-06,0.7755327197724875,0.8299699214302317,0.005532719772487482,0.0,0.005532719772487482
yukawa,0.00046415888336127773,-0.0019093350630664222,-1e-06,0.7750186896269187,0.8299699214302317,0.005018689626918649,0.0,0.005018689626918649
yukawa,0.0005108969774506924,-0.0019248630829870558,-1e-06,0.7745909208834026,0.8299699214302317,0.004590920883402627,0.0,0.004590920883402627
yukawa,0.0005623413251903491,-0.0019377751166858106,-1e-06,0.774235447705178,0.8299699214302317,0.00423544770517803,0.0,0.00423544770517803
yukawa,0.0006189658188912603,-0.0019484980225069164,-1e-06,0.773940400599126,0.8299699214302317,0.003940400599126037,0.0,0.003940400599126037
yukawa,0.0006812920690579609,-0.0019573934635511167,-1e-06,0.7736957463843852,0.8299699214302317,0.00369574638438519,0.0,0.00369574638438519
yukawa,0.0007498942093324559,-0.0019647663990112383,-1e-06,0.7734930410976062,0.8299699214302317,0.0034930410976061754,0.0,0.0034930410976061754
yukawa,0.0008254041852680181,-0.0019708729786767315,-1e-06,0.7733252033539503,0.8299699214302317,0.003325203353950257,0.0,0.003325203353950257
yukawa,0.0009085175756516862,-0.001975927677967515,-1e-06,0.7731863114994948,0.8299699214302317,0.003186311499494776,0.0,0.003186311499494776
yukawa,0.001,-0.001980109617664587,-1e-06,0.7730714252467781,0.8299699214302317,0.003071425246778059,0.0,0.003071425246778059
yukawa,0.0011006941712522092,-0.001983568078511378,-1e-06,0.7729764308996043,0.8299699214302317,0.00297643089960431,0.0,0.00297643089960431
yukawa,0.0012115276586285877,-0.001986427259042575,-1e-06,0.7728979083968573,0.8299699214302317,0.0028979083968573294,0.0,0.0028979083968573294
yukawa,0.001333521432163324,-0.001988790344711514,-1e-06,0.7728330179912586,0.8299699214302317,0.0028330179912585685,0.0,0.0028330179912585685
yukawa,0.0014677992676220691,-0.001990742964218293,-1e-06,0.7727794042567319,0.8299699214302317,0.0027794042567318433,0.0,0.0027794042567318433
yukawa,0.001615598098439873,-0.001992356109424007,-1e-06,0.7727351151713129,0.8299699214302317,0.002735115171312863,0.0,0.002735115171312863
yukawa,0.0017782794100389228,-0.001993688591429992,-1e-06,0.772698534174353,0.8299699214302317,0.002698534174352951,0.0,0.002698534174352951
yukawa,0.0019573417814876598,-0.0019947890993193104,-1e-06,0.7726683232970278,0.8299699214302317,0.0026683232970278192,0.0,0.0026683232970278192
yukawa,0.002154434690031882,-0.0019956979209927923,-1e-06,0.7726433756824461,0.8299699214302317,0.002643375682446103,0.0,0.002643375682446103
yukawa,0.0023713737056616554,-0.0019964483782831523,-1e-06,0.7726227760268771,0.8299699214302317,0.002622776026877105,0.0,0.002622776026877105
yukawa,0.0026101572156825357,-0.0019970680215683173,-1e-06,0.7726057676759958,0.8299699214302317,0.0026057676759957404,0.0,0.0026057676759957404
yukawa,0.002872984833353663,-0.0019975796226834857,-1e-06,0.7725917252941196,0.8299699214302317,0.002591725294119551,0.0,0.002591725294119551
yukawa,0.0031622776601683794,-0.001998001999166917,-1e-06,0.772580132187999,0.8299699214302317,0.002580132187999018,0.0,0.002580132187999018
yukawa,0.0034807005884284095,-0.001998350697797758,-1e-06,0.7725705615097738,0.8299699214302317,0.00257056150977375,0.0,0.00257056150977375
yukawa,0.003831186849557285,-0.0019986385609754185,-1e-06,0.7725626606872346,0.8299699214302317,0.0025626606872345414,0.0,0.0025626606872345414
yukawa,0.004216965034285823,-0.001998876195701359,-1e-06,0.772556138535293,0.8299699214302317,0.0025561385352930177,0.0,0.0025561385352930177
yukawa,0.004641588833612777,-0.0019990723616945955,-1e-06,0.7725507545923571,0.8299699214302317,0.0025507545923570962,0.0,0.0025507545923570962
yukawa,0.005108969774506924,-0.0019992342924365766,-1e-06,0.772546310301239,0.8299699214302317,0.0025463103012389743,0.0,0.0025463103012389743
yukawa,0.005623413251903491,-0.0019993679606351974,-1e-06,0.7725426417180465,0.8299699214302317,0.0025426417180465233,0.0,0.0025426417180465233
yukawa,0.006189658188912603,-0.001999478297661803,-1e-06,0.77253961348604,0.8299699214302317,0.0025396134860400377,0.0,0.0025396134860400377
yukawa,0.006812920690579608,-0.0019995693748948115,-1e-06,0.7725371138561475,0.8299699214302317,0.0025371138561475215,0.0,0.0025371138561475215
yukawa,0.007498942093324558,-0.001999644553551025,-1e-06,0.7725350505731474,0.8299699214302317,0.0025350505731474016,0.0,0.0025350505731474016
