T_Gyr,I1,I2,I3
7.943282347242074e-05,10443.31612173884,6.309573444800755e-44,1.0
8.12830516164023e-05,10241.456689500008,6.606934480074721e-44,1.0
8.317637711025926e-05,10043.133159710029,6.91830970918806e-44,1.0
8.511380382022959e-05,9848.292166791412,7.244359600748528e-44,1.0
8.709635899559978e-05,9656.880956178775,7.585775750290395e-44,1.0
8.912509381336602e-05,9468.847381715004,7.943282347241295e-44,1.0
9.12010839355822e-05,9284.1399029467,8.317637711025109e-44,1.0
9.332543007969007e-05,9102.707582322106,8.709635899559121e-44,1.0
9.549925860213431e-05,8924.500082294795,9.120108393557324e-44,1.0
9.772372209557153e-05,8749.467662336277,9.549925860212494e-44,1.0
9.999999999999018e-05,8577.561175860672,9.999999999998037e-44,1.0
0.00010232929922806532,8408.732067064524,1.0471285480506927e-43,1.0
0.00010471285480507957,8242.93236768486,1.0964781961429675e-43,0.9999999999999999
0.00010715193052374996,8080.114693678416,1.148153621496654e-43,0.9999999999999998
0.00010964781961430752,7920.232241825062,1.202264434617172e-43,0.9999999999999992
0.00011220184543018505,7763.238786258299,1.258925411793914e-43,0.9999999999999979
0.00011481536214967667,7609.0886749257015,1.3182567385561406e-43,0.9999999999999944
0.00011748975549394102,7457.736825982154,1.3803842646026044e-43,0.9999999999999853
0.00012022644346172902,7309.138724118623,1.4454397707456324e-43,0.9999999999999628
0.00012302687708122553,7163.250416829221,1.5135612484358976e-43,0.9999999999999076
0.00012589254117940373,7020.028510619237,1.5848931924607864e-43,0.9999999999997755
0.00012882495516930006,6879.430167156788,1.6595869074372169e-43,0.9999999999994664
0.000131825673855627,6741.413099370674,1.737800828749014e-43,0.9999999999987592
0.00013489628825915127,6605.935567496987,1.819700858609603e-43,0.9999999999971756
0.000138038426460274,6472.956375076992,1.9054607179628474e-43,0.9999999999937035
0.00014125375446226053,6342.434864908732,1.9952623149684586e-43,0.999999999986247
0.00014454397707457743,6214.330914954765,2.0892961308535964e-43,0.9999999999705559
0.00014791083881680498,6088.604934208413,2.1877616239490863e-43,0.9999999999381848
