z,mu_obs,sigma_mu,mu_mcgt,mu_lcdm,residual_mcgt,residual_lcdm,delta_mu_vs_lcdm
0.01389,33.8053,0.288803,33.967107728278094,33.97871595104794,0.16180772827809164,0.17341595104793583,-0.01160822276984419
0.01389,33.6651,0.296207,33.967107728278094,33.97871595104794,0.30200772827809175,0.31361595104793594,-0.01160822276984419
0.01411,33.8206,0.250873,34.00141557722766,34.01320205050516,0.18081557722766206,0.19260205050515822,-0.011786473277496157
0.01424,33.8444,0.265489,34.02143921315279,34.03333093542704,0.17703921315278848,0.1889309354270381,-0.011891722274249616
0.01442,34.0187,0.307194,34.048866188835056,34.06090354082674,0.03016618883505373,0.04220354082674049,-0.012037351991686762
0.01442,34.0249,0.352338,34.048866188835056,34.06090354082674,0.02396618883505397,0.03600354082674073,-0.012037351991686762
0.01442,34.3366,0.370715,34.048866188835056,34.06090354082674,-0.2877338111649408,-0.275696459173254,-0.012037351991686762
0.01442,34.1781,0.396908,34.048866188835056,34.06090354082674,-0.12923381116494426,-0.1171964591732575,-0.012037351991686762
0.01442,34.252,0.397235,34.048866188835056,34.06090354082674,-0.2031338111649461,-0.19109645917325935,-0.012037351991686762
0.01446,33.9078,0.240515,34.05491482780969,34.06698452637043,0.14711482780968765,0.15918452637043146,-0.012069698560743802
0.0145,34.1727,0.365029,34.06094685211308,34.07304889154287,-0.11175314788692248,-0.09965110845713099,-0.012102039429791489
0.01453,33.7526,0.2163,34.06546002206305,34.07758631340597,0.31286002206304886,0.3249863134059723,-0.012126291342923423
0.0146,33.8826,0.249316,34.07595482264495,34.088137689300254,0.19335482264495596,0.2055376893002574,-0.012182866655301439
0.01462,33.9253,0.243928,34.07894414874979,34.09114317658162,0.15364414874979104,0.1658431765816175,-0.01219902783182647
0.01463,33.7553,0.390506,34.080437287396464,34.09264439528268,0.3251372873964655,0.3373443952826847,-0.012207107886219148
0.01463,33.7189,0.39282,34.080437287396464,34.09264439528268,0.36153728739646596,0.3737443952826851,-0.012207107886219148
0.01467,33.8916,0.240694,34.086399711644965,34.0986391361843,0.19479971164496845,0.20703913618430647,-0.012239424539338017
0.01472,33.7894,0.397352,34.09383005207053,34.10610986441359,0.3044300520705292,0.31670986441358906,-0.01227981234305986
0.01484,34.0109,0.270222,34.111560981587594,34.12393768825953,0.10066098158759473,0.11303768825953142,-0.012376706671936688
0.01492,34.1902,0.372674,34.123302584805266,34.13574385927907,-0.06689741519473102,-0.05445614072093008,-0.012441274473800945
0.01493,33.8524,0.277558,34.12476588228502,34.1372152261378,0.27236588228501546,0.28481522613779475,-0.012449343852779293
0.01499,33.974,0.229564,34.13352525752546,34.14602301016941,0.1595252575254662,0.17202301016941135,-0.012497752643945148
0.01499,33.9261,0.231708,34.13352525752546,34.14602301016941,0.2074252575254647,0.21992301016940985,-0.012497752643945148
0.01515,33.8877,0.294985,34.15671427666381,34.16934105660427,0.2690142766638104,0.28164105660426486,-0.012626779940454469
0.01519,34.1793,0.26677,34.16247349105443,34.17513251366809,-0.01682650894557014,-0.004167486331908776,-0.012659022613661364
0.01525,33.7706,0.30219,34.171084107463265,34.18379148341919,0.4004841074632637,0.4131914834191903,-0.012707375955926636
0.01529,34.0334,0.344305,34.176805829909824,34.18954543432758,0.14340582990982398,0.156145434327577,-0.012739604417753014
0.01542,34.3426,0.372888,34.19529920390347,34.20814351144425,-0.14730079609653046,-0.13445648855574888,-0.012844307540781585
0.01543,34.0744,0.314862,34.19671534584732,34.20956770500021,0.12231534584732628,0.1351677050002138,-0.012852359152887516
0.01546,34.0331,0.226465,34.200958304731635,34.21383481658918,0.167858304731638,0.18073481658917956,-0.012876511857541573
0.01549,34.2732,0.34036,34.205193087922375,34.21809374928972,-0.0680069120776281,-0.0551062507102813,-0.0129006613673468
0.0155,34.2581,0.272528,34.20660287097216,34.21951158146673,-0.05149712902783676,-0.03858841853326567,-0.012908710494571096
0.0155,34.2112,0.258071,34.20660287097216,34.21951158146673,-0.004597129027835933,0.008311581466735163,-0.012908710494571096
