q0_peak,s8,delta_percent_today,q0_early,q0_mid,q0_today
-9.574683544303796978e-02,8.261409256388659861e-01,-4.649487182089090953e-01,-9.999999999999999547e-07,-1.112352210307406301e-03,-9.574683542165188244e-02
-8.943037974683543112e-02,8.263821742803012516e-01,-4.358826168311634719e-01,-9.999999999999999547e-07,-1.039035110228836477e-03,-8.943037972686020132e-02
-8.311392405063289246e-02,8.266249786080015483e-01,-4.066290833733118837e-01,-9.999999999999999547e-07,-9.657180101502666533e-04,-8.311392403206853408e-02
-7.679746835443035380e-02,8.268693492139409518e-01,-3.771868416938510826e-01,-9.999999999999999547e-07,-8.924009100716968294e-04,-7.679746833727685296e-02
-7.048101265822781514e-02,8.271152963580586936e-01,-3.475546556555790811e-01,-9.999999999999999547e-07,-8.190838099931268971e-04,-7.048101264248518572e-02
-6.416455696202533199e-02,8.273628306617537564e-01,-3.177312455718324657e-01,-9.999999999999999547e-07,-7.457667099145576153e-04,-6.416455694769356011e-02
-5.784810126582279333e-02,8.276119658471972063e-01,-2.877149581690069402e-01,-9.999999999999999547e-07,-6.724496098359877914e-04,-5.784810125290188593e-02
-5.153164556962025467e-02,8.278627111067141664e-01,-2.575046859380493713e-01,-9.999999999999999547e-07,-5.991325097574178591e-04,-5.153164555811021175e-02
-4.521518987341771600e-02,8.281150775844080547e-01,-2.270990862159026902e-01,-9.999999999999999547e-07,-5.258154096788479268e-04,-4.521518986331853757e-02
-3.889873417721517734e-02,8.283690771872772585e-01,-1.964967244244236466e-01,-9.999999999999999547e-07,-4.524983096002781029e-04,-3.889873416852685645e-02
-3.258227848101263868e-02,8.286247202810540502e-01,-1.656963516802198166e-01,-9.999999999999999547e-07,-3.791812095217081706e-04,-3.258227847373518227e-02
-2.626582278481010002e-02,8.288820191133688953e-01,-1.346964923651802759e-01,-9.999999999999999547e-07,-3.058641094431382925e-04,-2.626582277894350809e-02
-1.994936708860761687e-02,8.291409843849932848e-01,-1.034958572297125790e-01,-9.999999999999999547e-07,-2.325470093645690107e-04,-1.994936708415188595e-02
-1.363291139240507821e-02,8.294016312992715800e-01,-7.209261454559999505e-02,-9.999999999999999547e-07,-1.592299092859991326e-04,-1.363291138936021177e-02
-7.316455696202539549e-03,8.296639754074182083e-01,-4.048489067249529116e-02,-9.999999999999999547e-07,-8.591280920742924091e-05,-7.316455694568536720e-03
-1.000000000000000021e-03,8.299280089350571377e-01,-8.673622282270821923e-03,-9.999999999999999547e-07,-1.259570912885933740e-05,-9.999999997768603717e-04
