a,D_gr,delta_percent_q0star_minus_3p000000eminus_03,delta_percent_q0star_minus_2p900000eminus_03,delta_percent_q0star_minus_2p800000eminus_03,delta_percent_q0star_minus_2p700000eminus_03,delta_percent_q0star_minus_2p600000eminus_03,delta_percent_q0star_minus_2p500000eminus_03,delta_percent_q0star_minus_2p400000eminus_03,delta_percent_q0star_minus_2p300000eminus_03,delta_percent_q0star_minus_2p200000eminus_03,delta_percent_q0star_minus_2p100000eminus_03,delta_percent_q0star_minus_2p000000eminus_03,delta_percent_q0star_minus_1p900000eminus_03,delta_percent_q0star_minus_1p800000eminus_03,delta_percent_q0star_minus_1p700000eminus_03,delta_percent_q0star_minus_1p600000eminus_03,delta_percent_q0star_minus_1p500000eminus_03,delta_percent_q0star_minus_1p400000eminus_03,delta_percent_q0star_minus_1p300000eminus_03,delta_percent_q0star_minus_1p200000eminus_03,delta_percent_q0star_minus_1p100000eminus_03,delta_percent_q0star_minus_1p000000eminus_03
6.706766917293233154e-02,6.705912936132336910e-02,-9.051708621130817534e+00,-8.768232881971652404e+00,-8.483557404183304840e+00,-8.197676219191706082e+00,-7.910583200652426150e+00,-7.622272104866687492e+00,-7.332736809089570151e+00,-7.041971230816617577e+00,-6.749969178160178274e+00,-6.456724204394848954e+00,-6.162230038740071691e+00,-5.866480502287672039e+00,-5.569469174451636917e+00,-5.271189480191227794e+00,-4.971635130212631815e+00,-4.670799707416712465e+00,-4.368676447568342169e+00,-4.065259015305558776e+00,-3.760540747451828203e+00,-3.454514897370241755e+00,-3.147175025010471305e+00
6.954887218045112396e-02,6.953899708659554146e-02,-9.080078302359996911e+00,-8.795744377532042080e+00,-8.510204991333379709e+00,-8.223454099984596866e+00,-7.935485673624071978e+00,-7.646293523978149764e+00,-7.355871323537831685e+00,-7.064212877447755723e+00,-6.771312040834303048e+00,-6.477162521070007450e+00,-6.181757802420921877e+00,-5.885091566700531907e+00,-5.587157572607095446e+00,-5.287949218494834902e+00,-4.987459943125710282e+00,-4.685683446407477248e+00,-4.382613025893787650e+00,-4.078242007936852431e+00,-3.772564002368244740e+00,-3.465572039961683615e+00,-3.157259661431310871e+00
7.203007518796993025e-02,7.201871415551482081e-02,-9.106961342991635178e+00,-8.821814425581029795e+00,-8.535456678217649085e+00,-8.247881957323940583e+00,-7.959084148819875359e+00,-7.669057159845612759e+00,-7.377794722309898745e+00,-7.085290441877738488e+00,-6.791538057275265494e+00,-6.496531366312066069e+00,-6.200263944803382721e+00,-5.902729237491382897e+00,-5.603920895605135399e+00,-5.303832566469689702e+00,-5.002457492109115833e+00,-4.699789182524588327e+00,-4.395821206870547115e+00,-4.090546663842442143e+00,-3.783959065656133269e+00,-3.476051642461164271e+00,-3.166817577857370392e+00
7.451127819548872266e-02,7.449826963239523925e-02,-9.132483059903261591e+00,-8.846564402212127476e+00,-8.559429911166722249e+00,-8.271073313712234309e+00,-7.981488390309054992e+00,-7.690668962236747674e+00,-7.398608872382774315e+00,-7.105301754242403511e+00,-6.810741162307570207e+00,-6.514920781453895415e+00,-6.217834343760462623e+00,-5.919475270949059009e+00,-5.619837000618717937e+00,-5.318913173543355910e+00,-5.016697222010508384e+00,-4.713182369178209541e+00,-4.408362180154459686e+00,-4.102229910968202553e+00,-3.794778740873091305e+00,-3.486002143714078905e+00,-3.175893066348375982e+00
7.699248120300751508e-02,7.697765217101364132e-02,-9.156754262993416660e+00,-8.870101904245279556e+00,-8.582228788284812282e+00,-8.293128767831989379e+00,-8.002795494332666237e+00,-7.711222685304572444e+00,-7.418404104599666482e+00,-7.124333525174805892e+00,-6.829004466427694098e+00,-6.532410449022909127e+00,-6.234545121871699180e+00,-5.935402112046678447e+00,-5.634974703700390997e+00,-5.333256364703509611e+00,-5.030240687596347016e+00,-4.725920849894937881e+00,-4.420290181157590759e+00,-4.113342159119090624e+00,-3.805069792735927603e+00,-3.495466486811084739e+00,-3.184525284120058419e+00
7.947368421052632137e-02,7.945685001826703620e-02,-9.179873441012649238e+00,-8.892522451848968501e+00,-8.603945961857867530e+00,-8.314137836779138979e+00,-8.023091855763563984e+00,-7.730801591945000162e+00,-7.437260711433737015e+00,-7.142462929557368057e+00,-6.846401931672132513e+00,-6.549071122136663980e+00,-6.250464007441217440e+00,-5.950574210426634814e+00,-5.649395176331918123e+00,-5.346920157256252359e+00,-5.043142643337911402e+00,-4.738056037122730935e+00,-4.431653436767711618e+00,-4.123928281854378319e+00,-3.814873710879810531e+00,-3.504482852655924852e+00,-3.192748983797803586e+00
8.195488721804511378e-02,8.193585111218300299e-02,-9.201928678048052035e+00,-8.913911379216637343e+00,-8.624664100838110414e+00,-8.334180617064378183e+00,-8.042454736804810267e+00,-7.749480149896566417e+00,-7.455250361526472247e+00,-7.159758991522019222e+00,-6.862999714657071593e+00,-6.564966088017299306e+00,-6.265651450000084388e+00,-5.965049291111283125e+00,-5.663153186781039850e+00,-5.359956371520948615e+00,-5.055452139592926386e+00,-4.749633984591921099e+00,-4.442495015499783761e+00,-4.134028447338059742e+00,-3.824227619710309778e+00,-3.513085470738041227e+00,-3.200595295981743860e+00
8.443609022556390620e-02,8.441464309332709359e-02,-9.222999048650152076e+00,-8.934345301011966001e+00,-8.644457336619732146e+00,-8.353328848801053752e+00,-8.060953554792334330e+00,-7.767325205794125331e+00,-7.472437378619930293e+00,-7.176283545046869605e+00,-6.878857270901925780e+00,-6.580152188740822972e+00,-6.280161691012222214e+00,-5.978879106637241314e+00,-5.676297920760649873e+00,-5.372411554106568232e+00,-5.067213148482663243e+00,-4.760696058574958478e+00,-4.452853595931957287e+00,-4.143678777612875841e+00,-3.833164931883961568e+00,-3.521305058709947922e+00,-3.208092267498189543e+00
8.691729323308271249e-02,8.689321320562375106e-02,-9.243155661176766458e+00,-8.953893113951808758e+00,-8.663392355688097624e+00,-8.371646969774657165e+00,-8.078650603867739477e+00,-7.784396927260867294e+00,-7.488879623297938437e+00,-7.192092146510348449e+00,-6.894027947954893598e+00,-6.594680562072887220e+00,-6.294043534002127238e+00,-5.992110109607782675e+00,-5.688873634570122739e+00,-5.384327585441416097e+00,-5.078465145288160620e+00,-4.771279485220835781e+00,-4.462763983384870237e+00,-4.152911667046956801e+00,-3.841715675517422657e+00,-3.529169181695016366e+00,-3.215265082024552079e+00
8.939849624060150490e-02,8.937154829173407644e-02,-9.262462514840418493e+00,-8.972616982281790499e+00,-8.681529290604792948e+00,-8.389193120171897888e+00,-8.095601990063132192e+00,-7.800749501179981671e+00,-7.504629285590429078e+00,-7.207234931904834774e+00,-6.908559791073500378e+00,-6.608597297736803711e+00,-6.307340970640186839e+00,-6.004784183357461558e+00,-5.700920147136453231e+00,-5.395742212913086533e+00,-5.089243727614791268e+00,-4.781417759147327473e+00,-4.472257549575108015e+00,-4.161756287519814634e+00,-3.849906927230371423e+00,-3.536702684806592778e+00,-3.222136445137913974e+00
