a,q0eff_lss,q0eff_gw,geff_over_g_lss,geff_over_g_gw
2.258646616541353513e-01,-1.154661879191713487e-05,-1.000000000168762799e-06,9.999757045242078091e-01,9.999978958562837361e-01
2.283458646616541576e-01,-1.222078535313760947e-05,-1.000000000179550399e-06,9.999744260985458100e-01,9.999979073192942769e-01
2.308270676691729639e-01,-1.293799484152657992e-05,-1.000000000191027060e-06,9.999730711530012695e-01,9.999979185969776196e-01
2.333082706766917425e-01,-1.370098858758313389e-05,-1.000000000203236193e-06,9.999716351378135082e-01,9.999979296942743678e-01
2.357894736842105488e-01,-1.451268161643726064e-05,-1.000000000216224385e-06,9.999701132306972884e-01,9.999979406159424933e-01
2.382706766917293550e-01,-1.537617353517901754e-05,-1.000000000230041821e-06,9.999685003206792988e-01,9.999979513665662179e-01
2.407518796992481336e-01,-1.629476008697672352e-05,-1.000000000244740596e-06,9.999667909909956132e-01,9.999979619505641182e-01
2.432330827067669399e-01,-1.727194541076220677e-05,-1.000000000260377036e-06,9.999649795009992737e-01,9.999979723721964531e-01
2.457142857142857462e-01,-1.831145504720275006e-05,-1.000000000277010857e-06,9.999630597670251531e-01,9.999979826355723800e-01
2.481954887218045247e-01,-1.941724973373969024e-05,-1.000000000294705375e-06,9.999610253421552519e-01,9.999979927446571715e-01
2.506766917293233310e-01,-2.059354003353348349e-05,-1.000000000313527930e-06,9.999588693948266993e-01,9.999980027032783214e-01
2.531578947368421373e-01,-2.184480184532868380e-05,-1.000000000333550094e-06,9.999565846862219498e-01,9.999980125151316512e-01
2.556390977443609436e-01,-2.317579284340809420e-05,-1.000000000354848103e-06,9.999541635463775613e-01,9.999980221837870831e-01
2.581203007518796944e-01,-2.459156989904160237e-05,-1.000000000377502846e-06,9.999515978489464940e-01,9.999980317126944129e-01
2.606015037593985006e-01,-2.609750753707069435e-05,-1.000000000401600298e-06,9.999488789845447645e-01,9.999980411051877516e-01
2.630827067669173069e-01,-2.769931748352499787e-05,-1.000000000427231727e-06,9.999459978326140641e-01,9.999980503644911867e-01
2.655639097744361132e-01,-2.940306936240944831e-05,-1.000000000454494541e-06,9.999429447317255137e-01,9.999980594937232237e-01
2.680451127819549195e-01,-3.121521260204070705e-05,-1.000000000483491655e-06,9.999397094482517234e-01,9.999980684959007826e-01
2.705263157894737258e-01,-3.314259961346176963e-05,-1.000000000514332972e-06,9.999362811433284426e-01,9.999980773739439721e-01
2.730075187969925321e-01,-3.519251030559569050e-05,-1.000000000547134746e-06,9.999326483380293062e-01,9.999980861306796420e-01
2.754887218045112829e-01,-3.737267800378149589e-05,-1.000000000582021069e-06,9.999287988766712987e-01,9.999980947688454913e-01
2.779699248120300892e-01,-3.969131684021089075e-05,-1.000000000619123017e-06,9.999247198881712206e-01,9.999981032910932877e-01
2.804511278195488955e-01,-4.215715068645780120e-05,-1.000000000658580141e-06,9.999203977453697822e-01,9.999981116999926423e-01
2.829323308270677018e-01,-4.477944369976373789e-05,-1.000000000700541095e-06,9.999158180222407211e-01,9.999981199980341184e-01
2.854135338345865081e-01,-4.756803255590712372e-05,-1.000000000745163002e-06,9.999109654489024557e-01,9.999981281876323402e-01
2.878947368421053143e-01,-5.053336044232440344e-05,-1.000000000792612941e-06,9.999058238643490082e-01,9.999981362711288790e-01
2.903759398496240651e-01,-5.368651288557530572e-05,-1.000000000843068364e-06,9.999003761668218138e-01,9.999981442507950291e-01
2.928571428571428714e-01,-5.703925548716553602e-05,-1.000000000896717737e-06,9.998946042617403718e-01,9.999981521288349162e-01
2.953383458646616777e-01,-6.060407364109278748e-05,-1.000000000953760536e-06,9.998884890071194631e-01,9.999981599073873850e-01
2.978195488721804840e-01,-6.439421430512138548e-05,-1.000000001014408730e-06,9.998820101564013241e-01,9.999981675885289967e-01
3.003007518796992903e-01,-6.842372989566534341e-05,-1.000000001078887419e-06,9.998751462986351646e-01,9.999981751742760272e-01
3.027819548872180966e-01,-7.270752437304646985e-05,-1.000000001147435043e-06,9.998678747959492963e-01,9.999981826665866880e-01
3.052631578947368474e-01,-7.726140157975439906e-05,-1.000000001220304440e-06,9.998601717182634685e-01,9.999981900673636792e-01
3.077443609022556537e-01,-8.210211588890038541e-05,-1.000000001297763485e-06,9.998520117752048852e-01,9.999981973784557443e-01
3.102255639097744599e-01,-8.724742521323761298e-05,-1.000000001380096782e-06,9.998433682452005922e-01,9.999982046016596682e-01
3.127067669172932662e-01,-9.271614641662285605e-05,-1.000000001467605026e-06,9.998342129017369073e-01,9.999982117387222758e-01
3.151879699248120725e-01,-9.852821315948847593e-05,-1.000000001560607338e-06,9.998245159367944446e-01,9.999982187913423193e-01
3.176691729323308788e-01,-1.047047361974388864e-04,-1.000000001659441683e-06,9.998142458814860412e-01,9.999982257611718106e-01
3.201503759398496296e-01,-1.112680661372825056e-04,-1.000000001764465510e-06,9.998033695239542107e-01,9.999982326498181306e-01
3.226315789473684359e-01,-1.182418586373083167e-04,-1.000000001876057231e-06,9.997918518246095010e-01,9.999982394588450285e-01
3.251127819548872422e-01,-1.256511420181187348e-04,-1.000000001994617703e-06,9.997796558288267743e-01,9.999982461897745090e-01
3.275939849624060485e-01,-1.335223872264793021e-04,-1.000000002120570232e-06,9.997667425772529537e-01,9.999982528440882756e-01
3.300751879699248548e-01,-1.418835800670236401e-04,-1.000000002254362686e-06,9.997530710139245214e-01,9.999982594232287303e-01
3.325563909774436611e-01,-1.507642955849008027e-04,-1.000000002396468344e-06,9.997385978924406835e-01,9.999982659286007491e-01
3.350375939849624674e-01,-1.601957744460952998e-04,-1.000000002547386957e-06,9.997232776804949594e-01,9.999982723615726821e-01
3.375187969924812181e-01,-1.702110011207180209e-04,-1.000000002707646650e-06,9.997070624631296809e-01,9.999982787234775738e-01
3.400000000000000244e-01,-1.808447836275891608e-04,-1.000000002877804346e-06,9.996899018451496088e-01,9.999982850156142744e-01
3.424812030075188307e-01,-1.921338345453853106e-04,-1.000000003058447039e-06,9.996717428532072569e-01,9.999982912392487711e-01
3.449624060150376370e-01,-2.041168529359946825e-04,-1.000000003250194546e-06,9.996525298381624403e-01,9.999982973956149657e-01
3.474436090225564433e-01,-2.168346067589318126e-04,-1.000000003453699082e-06,9.996322043784126032e-01,9.999983034859162290e-01
3.499248120300752496e-01,-2.303300152812645337e-04,-1.000000003669647167e-06,9.996107051850018355e-01,9.999983095113256226e-01
3.524060150375940004e-01,-2.446482309048638392e-04,-1.000000003898761533e-06,9.995879680094286179e-01,9.999983154729872314e-01
3.548872180451128067e-01,-2.598367197415387721e-04,-1.000000004141801543e-06,9.995639255552070113e-01,9.999983213720174957e-01
3.573684210526316130e-01,-2.759453401661890416e-04,-1.000000004399565316e-06,9.995385073943715559e-01,9.999983272095053222e-01
3.598496240601504192e-01,-2.930264184682372175e-04,-1.000000004672889931e-06,9.995116398902718080e-01,9.999983329865134163e-01
3.623308270676692255e-01,-3.111348206019237802e-04,-1.000000004962653337e-06,9.994832461281646374e-01,9.999983387040789484e-01
3.648120300751880318e-01,-3.303280189064537807e-04,-1.000000005269775202e-06,9.994532458552894960e-01,9.999983443632144420e-01
3.672932330827067826e-01,-3.506661525274730939e-04,-1.000000005595217966e-06,9.994215554322981587e-01,9.999983499649082175e-01
3.697744360902255889e-01,-3.722120801221377316e-04,-1.000000005939987269e-06,9.993880877981090594e-01,9.999983555101255028e-01
3.722556390977443952e-01,-3.950314232716033202e-04,-1.000000006305133220e-06,9.993527524504642878e-01,9.999983609998090994e-01
3.747368421052632015e-01,-4.191925988578973339e-04,-1.000000006691750609e-06,9.993154554446814775e-01,9.999983664348797152e-01
3.772180451127820078e-01,-4.447668384879870812e-04,-1.000000007100979331e-06,9.992760994133167429e-01,9.999983718162367419e-01
