a,D_gr,D_lss,D_gw,q0_lss,q0_gw
2.754887218045112829e-01,2.731107038848750168e-01,2.547895371352679739e-01,2.731011137405608413e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.779699248120300892e-01,2.755065526084775618e-01,2.570182472728473888e-01,2.754968744886170384e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.804511278195488955e-01,2.779001769423635748e-01,2.592448609084760935e-01,2.778904110415124085e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.829323308270677018e-01,2.802915416732960630e-01,2.614693458628706835e-01,2.802816883222361555e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.854135338345865081e-01,2.826806116317156503e-01,2.636916698423693028e-01,2.826706711227308655e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.878947368421053143e-01,2.850673515457912144e-01,2.659118004389318113e-01,2.850573241038926176e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.903759398496240651e-01,2.874517259994684992e-01,2.681297051301395062e-01,2.874416117955708727e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.928571428571428714e-01,2.898336994971739133e-01,2.703453512791956226e-01,2.898234985965685850e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.953383458646616777e-01,2.922132364638144741e-01,2.725587061349246665e-01,2.922029487799308600e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.978195488721804840e-01,2.945903012447777525e-01,2.747697368317729150e-01,2.945799267041195879e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.003007518796992903e-01,2.969648581059319836e-01,2.769784103898083050e-01,2.969543966504115673e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.027819548872180966e-01,2.993368712336260673e-01,2.791846937314828581e-01,2.993263227784113134e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.052631578947368474e-01,3.017063047346893456e-01,2.813885539110693723e-01,3.016956692010469565e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.077443609022556537e-01,3.040731226364320472e-01,2.835899578635098783e-01,3.040623999845699088e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.102255639097744599e-01,3.064372888866448985e-01,2.857888724379930578e-01,3.064264791485550865e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.127067669172932662e-01,3.087987673535991795e-01,2.879852644534350303e-01,3.087878706659008543e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.151879699248120725e-01,3.111575218260468345e-01,2.901791006984794086e-01,3.111465384628290254e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.176691729323308788e-01,3.135135160562467771e-01,2.923703479314971321e-01,3.135024464188848059e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.201503759398496296e-01,3.158667139947645697e-01,2.945589728805864671e-01,3.158555583669369060e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.226315789473684359e-01,3.182170794567036332e-01,2.967449422435732842e-01,3.182058380931774288e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
