k, T, P_m
2.691534803926913955e-03,9.601896162340737284e-01,4.502302154905702628e+04
2.754228703338165978e-03,9.587905959642888387e-01,4.590047279325228737e+04
2.818382931264454792e-03,9.573495846441985035e-01,4.679072063517109927e+04
2.884031503126605490e-03,9.558656539705131516e-01,4.769373576529355341e+04
2.951209226666384224e-03,9.543378684678279766e-01,4.860947625548277574e+04
3.019951720402016138e-03,9.527652858415640580e-01,4.953788696733848337e+04
3.090295432513592063e-03,9.511469573217986584e-01,5.047889894529088633e+04
3.162277660168379394e-03,9.494819279939358259e-01,5.143242879399796220e+04
3.235936569296281144e-03,9.477692371117276693e-01,5.239837803951619571e+04
3.311311214825910908e-03,9.460079183876882736e-01,5.337663247360293462e+04
3.388441561392027332e-03,9.441970002554336272e-01,5.436706148038037645e+04
3.467368504525316676e-03,9.423355060979394793e-01,5.536951734444224712e+04
3.548133892335753221e-03,9.404224544351301729e-01,5.638383453931065742e+04
3.630780547701014001e-03,9.384568590635946617e-01,5.740982899495676247e+04
3.715352290971727939e-03,9.364377291405712178e-01,5.844729734287388419e+04
3.801893963205612691e-03,9.343640692036542239e-01,5.949601613694350817e+04
3.890451449942804868e-03,9.322348791169560167e-01,6.055574104805103707e+04
3.981071705534973415e-03,9.300491539337023550e-01,6.162620603009680781e+04
4.073802778041130286e-03,9.278058836644716978e-01,6.270712245470036578e+04
4.168693834703355271e-03,9.255040529394941151e-01,6.379817821151796670e+04
4.265795188015925922e-03,9.231426405526382828e-01,6.489903677067621902e+04
4.365158322401660983e-03,9.207206188739343045e-01,6.600933620338053151e+04
4.466835921509634821e-03,9.182369531167287047e-01,6.712868815627526783e+04
4.570881896148752156e-03,9.156906004448732705e-01,6.825667677463014843e+04
4.677351412871981126e-03,9.130805089047417944e-01,6.939285756889510958e+04
4.786300923226380170e-03,9.104056161663863778e-01,7.053675621862834669e+04
4.897788193684460972e-03,9.076648480578264344e-01,7.168786730725510279e+04
5.011872336272724625e-03,9.048571168763909212e-01,7.284565298058594635e+04
5.128613839913647929e-03,9.019813194612450458e-01,7.400954152152623283e+04
5.248074602497722861e-03,8.990363350118452113e-01,7.517892583296984958e+04
5.370317963702526953e-03,8.960210226381599696e-01,7.635316182052712247e+04
5.495408738576248141e-03,8.929342186301985063e-01,7.753156666652720014e+04
5.623413251903490971e-03,8.897747334368485417e-01,7.871341698671286576e+04
5.754399373371566623e-03,8.865413483474043899e-01,7.989794686127433670e+04
5.888436553555889859e-03,8.832328118736542111e-01,8.108434573242311308e+04
6.025595860743580487e-03,8.798478358362207263e-01,8.227175616168542183e+04
6.165950018614822260e-03,8.763850911662464105e-01,8.345927144159867021e+04
6.309573444801930275e-03,8.728432034427768826e-01,8.464593305866177252e+04
6.456542290346555836e-03,8.692207481976089722e-01,8.583072800735950295e+04
6.606934480075964296e-03,8.655162460332663787e-01,8.701258595903313835e+04
6.760829753919818386e-03,8.617281576164759205e-01,8.819037629448379448e+04
6.918309709189362708e-03,8.578548786293827000e-01,8.936290501568546460e+04
7.079457843841380389e-03,8.538947347840758484e-01,9.052891156007154495e+04
7.244359600749906113e-03,8.498459770330755170e-01,9.168706555077669327e+04
7.413102413009176744e-03,8.457067771394478628e-01,9.283596352818065498e+04
7.585775750291835935e-03,8.414752238052519706e-01,9.397412572233717947e+04
7.762471166286919952e-03,8.371493195959637257e-01,9.509999294253076368e+04
7.943282347242820729e-03,8.327269789410149947e-01,9.621192367940470285e+04
8.128305161640994592e-03,8.282060275359421908e-01,9.730819153682558681e+04
8.317637711026708985e-03,8.235842035187488364e-01,9.838698313475806208e+04
8.511380382023758795e-03,8.188591608402877586e-01,9.944639665054630314e+04
8.709635899560804612e-03,8.140284752934763279e-01,1.004844411935374228e+05
8.912509381337458889e-03,8.090896537059369953e-01,1.014990372359698376e+05
9.120108393559096804e-03,8.040401468313286282e-01,1.024880183501562715e+05
9.332543007969904686e-03,7.988773664914637918e-01,1.034491345264043484e+05
9.549925860214358853e-03,7.935987075186565765e-01,1.043800573655206827e+05
9.772372209558111839e-03,7.882015750192731263e-01,1.052783874513239571e+05
1.000000000000000021e-02,7.826834174182156767e-01,1.061416642090020905e+05
1.023292992280754737e-02,7.770417656430426145e-01,1.069673785406859533e+05
