k, T, P_m
2.187761623949552054e-03,9.710403608351427795e-01,3.481635501579503762e+04
2.238721138568339902e-03,9.699788464569031321e-01,3.552076131305243325e+04
2.290867652767774546e-03,9.688833143629340672e-01,3.623678778273712669e+04
2.344228815319922537e-03,9.677529166520425497e-01,3.696448984992636542e+04
2.398832919019489897e-03,9.665867951546027736e-01,3.770391560864416533e+04
2.454708915685031162e-03,9.653840817428969157e-01,3.845510539279556542e+04
2.511886431509582039e-03,9.641438986538329869e-01,3.921809133455065603e+04
2.570395782768864542e-03,9.628653588226880888e-01,3.999289691009545641e+04
2.630267991895381303e-03,9.615475662263229806e-01,4.077953647265939071e+04
2.691534803926913955e-03,9.601896162340737284e-01,4.157801477271498152e+04
2.754228703338165978e-03,9.587905959642888387e-01,4.238832646522847062e+04
2.818382931264454792e-03,9.573495846441985035e-01,4.321045560381474934e+04
2.884031503126605490e-03,9.558656539705131516e-01,4.404437512161758059e+04
2.951209226666384224e-03,9.543378684678279766e-01,4.489004629869695782e+04
3.019951720402016138e-03,9.527652858415640580e-01,4.574741821565334249e+04
3.090295432513592063e-03,9.511469573217986584e-01,4.661642719315999420e+04
3.162277660168379394e-03,9.494819279939358259e-01,4.749699621699973068e+04
3.235936569296281144e-03,9.477692371117276693e-01,4.838903434811648185e+04
3.311311214825910908e-03,9.460079183876882736e-01,4.929243611708957906e+04
3.388441561392027332e-03,9.441970002554336272e-01,5.020708090231904498e+04
3.467368504525316676e-03,9.423355060979394793e-01,5.113283229107342049e+04
3.548133892335753221e-03,9.404224544351301729e-01,5.206953742239177518e+04
3.630780547701014001e-03,9.384568590635946617e-01,5.301702631065077730e+04
3.715352290971727939e-03,9.364377291405712178e-01,5.397511114840254595e+04
3.801893963205612691e-03,9.343640692036542239e-01,5.494358558685707976e+04
3.890451449942804868e-03,9.322348791169560167e-01,5.592222399212346500e+04
3.981071705534973415e-03,9.300491539337023550e-01,5.691078067503462080e+04
4.073802778041130286e-03,9.278058836644716978e-01,5.790898909206119424e+04
4.168693834703355271e-03,9.255040529394941151e-01,5.891656101446957473e+04
4.265795188015925922e-03,9.231426405526382828e-01,5.993318566249500145e+04
4.365158322401660983e-03,9.207206188739343045e-01,6.095852880088958773e+04
4.466835921509634821e-03,9.182369531167287047e-01,6.199223179176093981e+04
4.570881896148752156e-03,9.156906004448732705e-01,6.303391060015257972e+04
4.677351412871981126e-03,9.130805089047417944e-01,6.408315474732627627e+04
4.786300923226380170e-03,9.104056161663863778e-01,6.513952620620926609e+04
4.897788193684460972e-03,9.076648480578264344e-01,6.620255823296494782e+04
5.011872336272724625e-03,9.048571168763909212e-01,6.727175412815684103e+04
5.128613839913647929e-03,9.019813194612450458e-01,6.834658592051627056e+04
5.248074602497722861e-03,8.990363350118452113e-01,6.942649296591982420e+04
5.370317963702526953e-03,8.960210226381599696e-01,7.051088045386558224e+04
5.495408738576248141e-03,8.929342186301985063e-01,7.159911781354265986e+04
5.623413251903490971e-03,8.897747334368485417e-01,7.269053701156951138e+04
5.754399373371566623e-03,8.865413483474043899e-01,7.378443073368625483e+04
5.888436553555889859e-03,8.832328118736542111e-01,7.488005044319883746e+04
6.025595860743580487e-03,8.798478358362207263e-01,7.597660430987681320e+04
6.165950018614822260e-03,8.763850911662464105e-01,7.707325500439445022e+04
6.309573444801930275e-03,8.728432034427768826e-01,7.816911735540755035e+04
6.456542290346555836e-03,8.692207481976089722e-01,7.926325586909920094e+04
6.606934480075964296e-03,8.655162460332663787e-01,8.035468211467882793e+04
6.760829753919818386e-03,8.617281576164759205e-01,8.144235198404044786e+04
6.918309709189362708e-03,8.578548786293827000e-01,8.252516283978092542e+04
7.079457843841380389e-03,8.538947347840758484e-01,8.360195057324616937e+04
7.244359600749906113e-03,8.498459770330755170e-01,8.467148660343351366e+04
7.413102413009176744e-03,8.457067771394478628e-01,8.573247485862637404e+04
7.585775750291835935e-03,8.414752238052519706e-01,8.678354879578587133e+04
7.762471166286919952e-03,8.371493195959637257e-01,8.782326852810816490e+04
7.943282347242820729e-03,8.327269789410149947e-01,8.885011814888728259e+04
8.128305161640994592e-03,8.282060275359421908e-01,8.986250335988501320e+04
8.317637711026708985e-03,8.235842035187488364e-01,9.085874953467017622e+04
8.511380382023758795e-03,8.188591608402877586e-01,9.183710037151622237e+04
8.709635899560804612e-03,8.140284752934763279e-01,9.279571731587646354e+04
8.912509381337458889e-03,8.090896537059369953e-01,9.373267995830213476e+04
9.120108393559096804e-03,8.040401468313286282e-01,9.464598763870239782e+04
9.332543007969904686e-03,7.988773664914637918e-01,9.553356251038875780e+04
9.549925860214358853e-03,7.935987075186565765e-01,9.639325433526688721e+04
9.772372209558111839e-03,7.882015750192731263e-01,9.722284729223020258e+04
1.000000000000000021e-02,7.826834174182156767e-01,9.802006908118927095e+04
1.023292992280754737e-02,7.770417656430426145e-01,9.878260259181528818e+04
1.047128548050899575e-02,7.712742786589794619e-01,9.950810037534883304e+04
1.071519305237607009e-02,7.653787953667731125e-01,1.001942021061626292e+05
1.096478196143185063e-02,7.593533926210381813e-01,1.008385551440423733e+05
1.122018454301963036e-02,7.531964488174576200e-01,1.014388382061526063e+05
1.148153621496882971e-02,7.469067121377073182e-01,1.019927880286377185e+05
1.174897554939529146e-02,7.404833721416078651e-01,1.024982287431422155e+05
1.202264434617413176e-02,7.339261329738703266e-01,1.029531035172261472e+05
1.230268770812381098e-02,7.272352860320598911e-01,1.033555078168807522e+05
1.258925411794167490e-02,7.204117795540343483e-01,1.037037234546650434e+05
1.288249551693133529e-02,7.134572822636985334e-01,1.039962524021597055e+05
1.318256738556407466e-02,7.063742380031533541e-01,1.042318491869025165e+05
1.348962882591653312e-02,6.991659082165629924e-01,1.044095505796370999e+05
1.380384264602885214e-02,6.918363992706627608e-01,1.045287012252604181e+05
1.412537544622754007e-02,6.843906719231397373e-01,1.045889738956914080e+05
1.445439770745927943e-02,6.768345307922661869e-01,1.045903831557229132e+05
1.479108388168207111e-02,6.691745924291554459e-01,1.045332914376625413e+05
1.513561248436208657e-02,6.614182315160418435e-01,1.044184068125695630e+05
1.548816618912481069e-02,6.535735057570584150e-01,1.042467721112029394e+05
1.584893192461114125e-02,6.456490611206233687e-01,1.040197454635250178e+05
1.621810097358929864e-02,6.376540201515006334e-01,1.037389727616922319e+05
1.659586907437561251e-02,6.295978570089388882e-01,1.034063529735766642e+05
1.698243652461744330e-02,6.214902636247332524e-01,1.030239976071771089e+05
1.737800828749376178e-02,6.133410118472697459e-01,1.025941859196208388e+05
1.778279410038922925e-02,6.051598166045814020e-01,1.021193176540089626e+05
1.819700858609984290e-02,5.969562049699819184e-01,1.016018651595017727e+05
1.862087136662867598e-02,5.887393955670370271e-01,1.010443267027747061e+05
1.905460717963248368e-02,5.805181920524580264e-01,1.004491826216644695e+05
1.949844599758045541e-02,5.723008935328921520e-01,9.981885572360915830e+04
1.995262314968880915e-02,5.640952237832689287e-01,9.915567701830263832e+04
2.041737944669529473e-02,5.559082801219350500e-01,9.846185752524816780e+04
2.089296130854038577e-02,5.477465018363196769e-01,9.773946654185272928e+04
2.137962089502232557e-02,5.396156572043425692e-01,9.699041642249024881e+04
2.187761623949551967e-02,5.315208474652562964e-01,9.621645362430969544e+04
2.238721138568339902e-02,5.234665255838456543e-01,9.541915553561723209e+04
2.290867652767772378e-02,5.154565273299469563e-01,9.459993242474783619e+04
2.344228815319922624e-02,5.074941120512080905e-01,9.376003373249103606e+04
2.398832919019489723e-02,4.995820105292167468e-01,9.290055787532884278e+04
2.454708915685031162e-02,4.917224774481693261e-01,9.202246472223955789e+04
2.511886431509579437e-02,4.839173462385704116e-01,9.112658994477726810e+04
2.570395782768864629e-02,4.761680843534975005e-01,9.021366050783921673e+04
2.630267991895381477e-02,4.684758473622269714e-01,8.928431065660025342e+04
2.691534803926916644e-02,4.608415305803880702e-01,8.833909785416112572e+04
2.754228703338166065e-02,4.532658172777812022e-01,8.737851822672110575e+04
2.818382931264454966e-02,4.457492228003993584e-01,8.640302117245650152e+04
2.884031503126605750e-02,4.382921342031606549e-01,8.541302288238645997e+04
2.951209226666387173e-02,4.308948452097748349e-01,8.440891860354780511e+04
