z,a,rho_m_over_rho_m0,Omega_m_z,tau_gyr
439.17396746,2.271829035624e-03,8.528508025501e+07,9.999999745020e-01,1.010247507309e+00
437.79724656,2.278956870955e-03,8.448734859399e+07,9.999999742612e-01,1.010247507430e+00
436.42052566,2.286129574047e-03,8.369460700662e+07,9.999999740174e-01,1.010247507553e+00
435.04380476,2.293347569884e-03,8.290683983661e+07,9.999999737705e-01,1.010247507678e+00
433.66708385,2.300611288832e-03,8.212403142766e+07,9.999999735205e-01,1.010247507804e+00
432.29036295,2.307921166728e-03,8.134616612348e+07,9.999999732673e-01,1.010247507932e+00
430.91364205,2.315277644966e-03,8.057322826778e+07,9.999999730108e-01,1.010247508062e+00
429.53692115,2.322681170585e-03,7.980520220427e+07,9.999999727511e-01,1.010247508193e+00
428.16020025,2.330132196361e-03,7.904207227664e+07,9.999999724880e-01,1.010247508326e+00
426.78347935,2.337631180899e-03,7.828382282860e+07,9.999999722216e-01,1.010247508461e+00
425.40675845,2.345178588725e-03,7.753043820387e+07,9.999999719516e-01,1.010247508597e+00
424.03003755,2.352774890385e-03,7.678190274615e+07,9.999999716782e-01,1.010247508735e+00
422.65331665,2.360420562542e-03,7.603820079913e+07,9.999999714012e-01,1.010247508875e+00
421.27659574,2.368116088074e-03,7.529931670654e+07,9.999999711205e-01,1.010247509017e+00
419.89987484,2.375861956176e-03,7.456523481207e+07,9.999999708362e-01,1.010247509160e+00
418.52315394,2.383658662466e-03,7.383593945943e+07,9.999999705482e-01,1.010247509306e+00
417.14643304,2.391506709089e-03,7.311141499233e+07,9.999999702563e-01,1.010247509453e+00
415.76971214,2.399406604825e-03,7.239164575447e+07,9.999999699606e-01,1.010247509603e+00
414.39299124,2.407358865197e-03,7.167661608956e+07,9.999999696609e-01,1.010247509754e+00
413.01627034,2.415364012588e-03,7.096631034131e+07,9.999999693572e-01,1.010247509907e+00
411.63954944,2.423422576350e-03,7.026071285341e+07,9.999999690495e-01,1.010247510063e+00
410.26282854,2.431535092925e-03,6.955980796959e+07,9.999999687376e-01,1.010247510220e+00
408.88610763,2.439702105961e-03,6.886358003353e+07,9.999999684216e-01,1.010247510380e+00
407.50938673,2.447924166434e-03,6.817201338896e+07,9.999999681012e-01,1.010247510542e+00
406.13266583,2.456201832775e-03,6.748509237957e+07,9.999999677765e-01,1.010247510706e+00
404.75594493,2.464535670992e-03,6.680280134907e+07,9.999999674474e-01,1.010247510872e+00
403.37922403,2.472926254801e-03,6.612512464116e+07,9.999999671138e-01,1.010247511041e+00
402.00250313,2.481374165758e-03,6.545204659957e+07,9.999999667756e-01,1.010247511211e+00
400.62578223,2.489879993394e-03,6.478355156797e+07,9.999999664328e-01,1.010247511385e+00
399.24906133,2.498444335348e-03,6.411962389010e+07,9.999999660852e-01,1.010247511560e+00
397.87234043,2.507067797514e-03,6.346024790964e+07,9.999999657328e-01,1.010247511738e+00
