T,P_calc,dP_dT
0.0001591798863401293,1.033801770661373,-287.60345650798513
0.0001628908812800014,1.0327476751526408,-280.5580902905715
0.0001666883914433756,1.031695712405721,-273.5372982812379
0.0001705744337782723,1.0306464466073426,-266.5475570548659
0.00017455107225425505,1.0296004396453515,-259.5949285277454
0.0001786204189586539,1.0285582511250608,-252.68507765155613
0.0001827846352183453,1.0275204383886507,-245.82328951042706
0.00018704593274768426,1.026487556537596,-239.0144858366981
0.0001914065748231983,1.025460158458105,-232.2632409607673
0.00019586887748566773,1.0244387948495413,-225.573797210157
0.0002004352107702298,1.0234240142558149,-218.95007977268264
0.00020510799996516094,1.0224163630997187,-212.39571103835394
0.0002098897269000049,1.0214163857201908,-205.91402443438284
0.0002147829312637317,1.0204246244124862,-199.50807776741445
0.00021979021195362667,1.0194416194712368,-193.18066608683847
0.00022491422845562678,1.0184679092363835,-186.9343340827784
0.00023015770225683687,1.0175040301419624,-180.77138803209556
0.00023552341829097623,1.0165505167677298,-174.6939073054827
0.0002410142264175231,1.0156079018936082,-168.70375544846223
0.000246633042935343,1.0146767165569415,-162.80259084884182
0.0002523828521316044,1.0137574901125437,-156.9918770029205
0.0002582667078668045,1.0128507502955262,-151.27289239247887
0.0002642877351967475,1.011957023286896,-145.64673998432875
0.0002704491320323359,1.0110768337819103,-140.1143563639388
0.000276754170838057,1.0102107050611762,-134.67652051439993
0.0002832062003700671,1.0093591590644915,-129.33386225173766
0.00028980864745479514,1.008522716467412,-124.08687032732855
0.00029656501880901185,1.007701896760544,-118.9359002079269
0.0003034789029023307,1.0068972183315523,-113.88118154356104
0.0003105539718631292,1.0061091985498822,-108.92282533331371
0.000317793983428904,1.005338353854188,-104.06083079875745
0.0003252027829420944,1.0045851998424724,-99.29509197457809
0.00033278430539243555,1.0038502513649294,-94.6254040256809
0.0003405425775069247,1.003134022619495,-90.0514692998411
0.00034848171988851223,1.0024370272501084,-85.57290312472975
0.0003566059492046515,1.0017597784476844,-81.18923935791804
0.0003649195804268716,1.0011027890538053,-76.89993569823908
0.0003734270291225613,1.000466571667135,-72.70437876666512
0.00038213281380018195,0.9998516387525687,-68.60188896464135
0.00039104155830915483,0.9992585027531219,-64.59172511760218
0.00040015799429569786,0.998687676204576,-60.67308891118672
0.00040948696371591493,0.9981396718528888,-56.84512912746241
0.0004190334214074748,0.9976150027743882,-53.10694568826285
0.00042880243772124265,0.9971141824987642,-49.45759351254605
0.00043879920121426435,0.9966377251348777,-45.89608619448368
0.00044902902140553266,0.9961861454994074,-42.42139950879913
0.00045949733159599904,0.9957599592483565,-39.0324747496841
0.000470209691754329,0.9953596830114431,-35.728221909438325
0.00048117179146993377,0.9949858345294029,-32.507522702796024
0.0004923894529748468,0.9946389327942288,-29.36923344272512
0.0005038686342360499,0.9943194981923821,-26.312187773311848
0.0005156154321198907,0.9940280526510049,-23.335199265173106
0.0005276360856302739,0.993765119787171,-20.437063878672717
0.0005399369792223449,0.99353122506021,-17.616562300055215
0.000552524646193425,0.9933268959271475,-14.872462155451656
0.0005654057721530024,0.9931526620013003,-12.203520107556715
0.0005785871985736174,0.9930090552140723,-9.608483839624544
0.0005920759264245317,0.9928966099799997,-7.086093931282713
0.0006058791198901097,0.9928158633650912,-4.635085630518822
0.0006200041101748875,0.9927673552585192,-2.2541905260534403
0.0006344583993973498,0.9927516285477151,0.05786187582489951
0.0006492496645744838,0.9927692292969258,2.302342666020924
0.0006643857616992257,0.9928207069292933,4.48052213517942
0.000679874729912965,0.9929066144125197,6.593668460334298
0.0006957247957753244,0.9930275084481849,8.643046472100968
0.000711944377633481,0.9931839496647845,10.629916498974026
0.0007285420900933508,0.9933765028145632,12.555533285409979
0.0007455267485950115,0.993605736974217,14.421144980489398
0.0007629073740947919,0.9938722257495435,16.22799219406444
0.0007806931978565164,0.9941765474841258,17.977307117406152
0.0007988936663544495,0.9945192854721296,19.67046087500333
0.0008175184462905427,0.99490102817531,21.31174977528893
0.0008365774297286498,0.9953223694443147,22.904685672645037
0.000856080739348438,0.9957839087443852,24.450389691247363
0.0008760387338217832,0.9962862513855533,25.947998539648914
0.0008964620133145078,0.9968300087574389,27.395046801794834
0.0009173614251163807,0.9974157985687576,28.787826381494778
0.0009387480694023713,0.9980442450916495,30.121724221335466
0.000960633305128216,0.9987159794109483,31.391539363654307
0.0009830287560634316,0.9994316396785093,32.59178037038599
0.0010059463169649718,1.0001918661037432,33.71694407021289
0.001029398159894821,1.0009967120522378,34.76177655537984
0.0010533967406848633,1.0018451040624692,35.721517306663046
0.001077954805552471,1.002735843337681,36.59212728320424
0.0011030853978703243,1.0036677319129252,37.37050177413504
0.0011288018650940578,1.0046395721328973,38.054668771026016
0.001155117865851411,1.005650166144995,38.64397358410939
0.0011820473771966505,1.006698315407497,39.139250390856986
0.0012096047020341166,1.0077828202127725,39.54298137276285
0.0012378044767148355,1.008902479225445,39.85944406500633
0.0012666616788102347,1.010056089035457,40.094847513978785
0.0012961916350670867,1.0112424437259973,40.257218658554564
0.001326410029547909,1.0124603344562615,40.35178693746428
0.0013573329119611437,1.0137085490590434,40.38234678000012
0.0013889767061855392,1.0149858716531543,40.35252762939629
0.0014213582189932618,1.0162910822706959,40.26580104870461
0.001454494648976375,1.0176229564992154,40.12548750604107
