T,dP_dT
0.00043879920121426435,-45.89608619448368
0.00044902902140553266,-42.42139950879913
0.00045949733159599904,-39.0324747496841
0.000470209691754329,-35.728221909438325
0.00048117179146993377,-32.507522702796024
0.0004923894529748468,-29.36923344272512
0.0005038686342360499,-26.312187773311848
0.0005156154321198907,-23.335199265173106
0.0005276360856302739,-20.437063878672717
0.0005399369792223449,-17.616562300055215
0.000552524646193425,-14.872462155451656
0.0005654057721530024,-12.203520107556715
0.0005785871985736174,-9.608483839624544
0.0005920759264245317,-7.086093931282713
0.0006058791198901097,-4.635085630518822
0.0006200041101748875,-2.2541905260534403
0.0006344583993973498,0.05786187582489951
0.0006492496645744838,2.302342666020924
0.0006643857616992257,4.48052213517942
0.000679874729912965,6.593668460334298
0.0006957247957753244,8.643046472100968
0.000711944377633481,10.629916498974026
0.0007285420900933508,12.555533285409979
0.0007455267485950115,14.421144980489398
0.0007629073740947919,16.22799219406444
0.0007806931978565164,17.977307117406152
0.0007988936663544495,19.67046087500333
0.0008175184462905427,21.31174977528893
0.0008365774297286498,22.904685672645037
0.000856080739348438,24.450389691247363
0.0008760387338217832,25.947998539648914
0.0008964620133145078,27.395046801794834
0.0009173614251163807,28.787826381494778
0.0009387480694023713,30.121724221335466
0.000960633305128216,31.391539363654307
0.0009830287560634316,32.59178037038599
0.0010059463169649718,33.71694407021289
0.001029398159894821,34.76177655537984
0.0010533967406848633,35.721517306663046
0.001077954805552471,36.59212728320424
0.0011030853978703243,37.37050177413504
0.0011288018650940578,38.054668771026016
0.001155117865851411,38.64397358410939
0.0011820473771966505,39.139250390856986
0.0012096047020341166,39.54298137276285
0.0012378044767148355,39.85944406500633
0.0012666616788102347,40.094847513978785
0.0012961916350670867,40.257218658554564
0.001326410029547909,40.35178693746428
0.0013573329119611437,40.38234678000012
0.0013889767061855392,40.35252762939629
0.0014213582189932618,40.26580104870461
0.001454494648976375,40.12548750604107
0.0014884035956814188,39.93476285420992
0.0015231030689569485,39.696664518981116
0.001558611498518994,39.41409740960448
0.0015949477437395205,39.08983956448651
0.0016321311036630892,38.72654754433093
0.0016701813272570398,38.326761584451674
0.0017091186239006372,37.89291051740431
0.001748963674118753,37.42731647654689
0.001789737640565785,36.93219939063413
0.0018314621792656467,36.40968127906607
0.0018741594511137956,35.861790356954714
0.0019178521336474142,35.29046495873639
0.0019625634330899884,34.6975572886445
0.0020083170966766857,34.08483700596348
