k, P_prim, T, P_m
1.698243652461744330e-02,2.181122921964281184e-09,6.214902636247332524e-01,8.424590509357916102e-10
1.737800828749376178e-02,2.179360834510967003e-09,6.133410118472697459e-01,8.198476431805357692e-10
1.778279410038922925e-02,2.177600170614372414e-09,6.051598166045814020e-01,7.974772582331056253e-10
1.819700858609984290e-02,2.175840929124433470e-09,5.969562049699819184e-01,7.753755164051293715e-10
1.862087136662867598e-02,2.174083108892015973e-09,5.887393955670370271e-01,7.535678077024040838e-10
1.905460717963248368e-02,2.172326708768912584e-09,5.805181920524580264e-01,7.320770797751125858e-10
1.949844599758045541e-02,2.170571727607844059e-09,5.723008935328921520e-01,7.109236956213896369e-10
1.995262314968880915e-02,2.168818164262458011e-09,5.640952237832689287e-01,6.901253604690278306e-10
2.041737944669529473e-02,2.167066017587328906e-09,5.559082801219350500e-01,6.696971141530457837e-10
2.089296130854038577e-02,2.165315286437955589e-09,5.477465018363196769e-01,6.496513827444847398e-10
2.137962089502232557e-02,2.163565969670761274e-09,5.396156572043425692e-01,6.299980812837851627e-10
2.187761623949551967e-02,2.161818066143094795e-09,5.315208474652562964e-01,6.107447582729010714e-10
2.238721138568339902e-02,2.160071574713226876e-09,5.234665255838456543e-01,5.918967720614906070e-10
2.290867652767772378e-02,2.158326494240349720e-09,5.154565273299469563e-01,5.734574893497842249e-10
2.344228815319922624e-02,2.156582823584579079e-09,5.074941120512080905e-01,5.554284966146507965e-10
2.398832919019489723e-02,2.154840561606950529e-09,4.995820105292167468e-01,5.378098162191639581e-10
2.454708915685031162e-02,2.153099707169419883e-09,4.917224774481693261e-01,5.206001201598642942e-10
2.511886431509579437e-02,2.151360259134862781e-09,4.839173462385704116e-01,5.037969357201803051e-10
2.570395782768864629e-02,2.149622216367072206e-09,4.761680843534975005e-01,4.873968386306625471e-10
2.630267991895381477e-02,2.147885577730761378e-09,4.684758473622269714e-01,4.713956306067539555e-10
2.691534803926916644e-02,2.146150342091558379e-09,4.608415305803880702e-01,4.557884992853822517e-10
2.754228703338166065e-02,2.144416508316009050e-09,4.532658172777812022e-01,4.405701595775257728e-10
2.818382931264454966e-02,2.142684075271574504e-09,4.457492228003993584e-01,4.257349762780894006e-10
2.884031503126605750e-02,2.140953041826630720e-09,4.382921342031606549e-01,4.112770684253727584e-10
2.951209226666387173e-02,2.139223406850468534e-09,4.308948452097748349e-01,3.971903963891102544e-10
3.019951720402016052e-02,2.137495169213291166e-09,4.235575864950794633e-01,3.834688330051279124e-10
3.090295432513592150e-02,2.135768327786215868e-09,4.162805514245719318e-01,3.701062202864123123e-10
3.162277660168379134e-02,2.134042881441270620e-09,4.090639174891864127e-01,3.570964133470615691e-10
3.235936569296284093e-02,2.132318829051396195e-09,4.019078637449098879e-01,3.444333131987274146e-10
3.311311214825911342e-02,2.130596169490441609e-09,3.948125846115543847e-01,3.321108900390372259e-10
3.388441561392027679e-02,2.128874901633167846e-09,3.877783004077166584e-01,3.201231985657485512e-10
3.467368504525316503e-02,2.127155024355244549e-09,3.808052650043876053e-01,3.084643867342626637e-10
3.548133892335756517e-02,2.125436536533248361e-09,3.738937709719231117e-01,2.971286992418181783e-10
3.630780547701013827e-02,2.123719437044665414e-09,3.670441525778749270e-01,2.861104768790602930e-10
3.715352290971724036e-02,2.122003724767887187e-09,3.602567869694838221e-01,2.754041527459998854e-10
3.801893963205612431e-02,2.120289398582211335e-09,3.535320938470167262e-01,2.650042461901274617e-10
3.890451449942804868e-02,2.118576457367842105e-09,3.468705339044919622e-01,2.549053551932123198e-10
3.981071705534973415e-02,2.116864900005887436e-09,3.402726062842064136e-01,2.451021478124720398e-10
4.073802778041125949e-02,2.115154725378359792e-09,3.337388452619693413e-01,2.355893531726240043e-10
4.168693834703354750e-02,2.113445932368174090e-09,3.272698163517873682e-01,2.263617524082318408e-10
4.265795188015925749e-02,2.111738519859148112e-09,3.208661119925019234e-01,2.174141698707228036e-10
4.365158322401661156e-02,2.110032486736001685e-09,3.145283469547817123e-01,2.087414648408587545e-10
4.466835921509629964e-02,2.108327831884355019e-09,3.082571535851310052e-01,2.003385239246393007e-10
4.570881896148751983e-02,2.106624554190729124e-09,3.020531769841328651e-01,1.922002542575637741e-10
4.677351412871981473e-02,2.104922652542544571e-09,2.959170701990193053e-01,1.843215775980015277e-10
4.786300923226385201e-02,2.103222125828120245e-09,2.898494894956503143e-01,1.766974253540097544e-10
4.897788193684461666e-02,2.101522972936674181e-09,2.838510897620092899e-01,1.693227345584226567e-10
5.011872336272724798e-02,2.099825192758319834e-09,2.779225200841477506e-01,1.621924447834159854e-10
5.128613839913648276e-02,2.098128784184069806e-09,2.720644195259980802e-01,1.553014959672445851e-10
5.248074602497728586e-02,2.096433746105830880e-09,2.662774131364093466e-01,1.486448271116493926e-10
5.370317963702526953e-02,2.094740077416405675e-09,2.605621082000024735e-01,1.422173757978967301e-10
5.495408738576248314e-02,2.093047777009490995e-09,2.549190907427881236e-01,1.360140784618944673e-10
5.623413251903491145e-02,2.091356843779677824e-09,2.493489222988403697e-01,1.300298713638640842e-10
5.754399373371572174e-02,2.089667276622449674e-09,2.438521369404765549e-01,1.242596921851111780e-10
5.888436553555889685e-02,2.087979074434183000e-09,2.384292385713044360e-01,1.186984821832187775e-10
6.025595860743580834e-02,2.086292236112145542e-09,2.330806984789876302e-01,1.133411888370803559e-10
6.165950018614822087e-02,2.084606760554495501e-09,2.278069531426118732e-01,1.081827689143799926e-10
6.309573444801935826e-02,2.082922646660281538e-09,2.226084022879733781e-01,1.032181918961197474e-10
6.456542290346556356e-02,2.081239893329442360e-09,2.174854071829405711e-01,9.844244369545285574e-11
6.606934480075957183e-02,2.079558499462804653e-09,2.124382891641391491e-01,9.385053061117870651e-11
6.760829753919818386e-02,2.077878463962083082e-09,2.074673283855861805e-01,8.943748345971741721e-11
6.918309709189363055e-02,2.076199785729879874e-09,2.025727627794563501e-01,8.519836183304599948e-11
7.079457843841380216e-02,2.074522463669683996e-09,1.977547872188968603e-01,8.112825843388665394e-11
7.244359600749898653e-02,2.072846496685870325e-09,1.930135528726767136e-01,7.722230344330728430e-11
