k, T, P_m
1.230268770812381098e-02,7.158075189387044235e-01,1.170304714050668263e+05
1.258925411794167490e-02,7.087843527395255583e-01,1.173231420289115194e+05
1.288249551693133529e-02,7.016304275422072800e-01,1.175496314996890869e+05
1.318256738556407466e-02,6.943487792596025887e-01,1.177087628207990638e+05
1.348962882591653312e-02,6.869433108463894877e-01,1.177997151535684534e+05
1.380384264602885214e-02,6.794188118381739860e-01,1.178220507229945069e+05
1.412537544622754007e-02,6.717809580579988671e-01,1.177757344739678811e+05
1.445439770745927943e-02,6.640362895834203139e-01,1.176611451485770522e+05
1.479108388168207111e-02,6.561921659406032559e-01,1.174790767561014800e+05
1.513561248436208657e-02,6.482566985252473657e-01,1.172307298059328459e+05
1.548816618912481069e-02,6.402386613787636183e-01,1.169176921476521820e+05
1.584893192461114125e-02,6.321473825902753640e-01,1.165419097796173301e+05
1.621810097358929864e-02,6.239926196603287067e-01,1.161056485083825828e+05
1.659586907437561251e-02,6.157844230609682556e-01,1.156114478237986914e+05
1.698243652461744330e-02,6.075329928809782842e-01,1.150620687583046383e+05
1.737800828749376178e-02,5.992485337974077231e-01,1.144604377900451364e+05
1.778279410038922925e-02,5.909411136361194528e-01,1.138095890051242022e+05
1.819700858609984290e-02,5.826205304776392868e-01,1.131126067450721748e+05
1.862087136662867598e-02,5.742961926636215297e-01,1.123725708361683064e+05
1.905460717963248368e-02,5.659770152232133089e-01,1.115925062453332212e+05
1.949844599758045541e-02,5.576713352450696215e-01,1.107753386608094297e+05
1.995262314968880915e-02,5.493868476554252256e-01,1.099238570889516559e+05
2.041737944669529473e-02,5.411305618096918790e-01,1.090406841272963793e+05
2.089296130854038577e-02,5.329087783382632226e-01,1.081282541526588757e+05
2.137962089502232557e-02,5.247270848640007701e-01,1.071887992799747008e+05
2.187761623949551967e-02,5.165903685664616773e-01,1.062243426241183624e+05
2.238721138568339902e-02,5.085028431231998214e-01,1.052366981458268710e+05
2.290867652767772378e-02,5.004680873095960214e-01,1.042274761888976500e+05
2.344228815319922624e-02,4.924890924687635452e-01,1.031980937167611992e+05
2.398832919019489723e-02,4.845683161448222087e-01,1.021497882248165697e+05
2.454708915685031162e-02,4.767077393728747503e-01,1.010836343294609978e+05
2.511886431509579437e-02,4.689089254024477738e-01,1.000005621027589077e+05
2.570395782768864629e-02,4.611730779645603073e-01,9.890137632012034010e+04
2.630267991895381477e-02,4.535010975467305694e-01,9.778677590507510467e+04
2.691534803926916644e-02,4.458936344911175742e-01,9.665737297974928515e+04
2.754228703338166065e-02,4.383511380606804342e-01,9.551371105355945474e+04
2.818382931264454966e-02,4.308739009143781051e-01,9.435628199965450040e+04
2.884031503126605750e-02,4.234620986879378268e-01,9.318554157450588536e+04
2.951209226666387173e-02,4.161158245886273366e-01,9.200192332829520456e+04
3.019951720402016052e-02,4.088351190812234970e-01,9.080585083133893204e+04
3.090295432513592150e-02,4.016199948706142830e-01,8.959774820478957554e+04
3.162277660168379134e-02,3.944704574785050655e-01,8.837804899310802284e+04
3.235936569296284093e-02,3.873865217724250520e-01,8.714720345264802745e+04
3.311311214825911342e-02,3.803682248400266919e-01,8.590568435675431101e+04
3.388441561392027679e-02,3.734156356155490797e-01,8.465399143473044387e+04
3.467368504525316503e-02,3.665288616631164897e-01,8.339265457156854973e+04
3.548133892335756517e-02,3.597080535073645668e-01,8.212223589897644706e+04
3.630780547701013827e-02,3.529534068793803714e-01,8.084333090738812461e+04
