T_Gyr,deriveeP_initial
0.00041722095049130214,-3.43232659760211
0.0004206694363357979,-3.4567520446519255
0.0004241464251943578,-3.481346149555664
0.0004276521526549607,-3.506110016185026
0.00043118685625280733,-3.5310447547683306
0.000434750775486416,-3.556151481911795
0.0004383441518338478,-3.581431320620292
0.00044196722876907,-3.60688540031767
0.0004456202517784525,-3.632514856867457
0.00044930346837740096,-3.6583208325922114
0.0004530171281271278,-3.684304476293687
0.0004567614826515612,-3.710466943271711
0.00046053678565439413,-3.736809395343268
0.00046434329293627586,-3.7633330008611807
0.00046818126241214157,-3.790038934731987
0.0004720509541286895,-3.8169283784339747
0.0004759526302820001,-3.844002520034677
0.00047988655523530186,-3.8712625542076116
0.0004838529955368832,-3.8987096822492355
0.000487852219938153,-3.9263451120946202
0.0004918844994118498,-3.9541700583337116
0.0004959501071704036,-3.9821857422261773
0.0005000493186844452,-4.01039339171612
0.0005041824117014723,-4.038794241446909
0.0005083496662646694,-4.0673895327740635
0.0005125513647318809,-4.096180513779316
0.0005167877917947441,-4.125168439282797
0.000521059234497978,-4.154354570855477
0.0005253659822588322,-4.183740176830262
0.0005297083268866985,-4.213326532313731
0.0005340865626028803,-4.243114919195669
0.0005385009860605294,-4.273106626159331
0.0005429518963647458,-4.303302948690583
0.0005474395950928446,-4.333705189085796
0.0005519643863147886,-4.364314656460204
0.0005565265766137912,-4.395132666754576
0.0005611264751070917,-4.426160542741523
0.000565764393466896,-4.457399614031436
0.000570440645941497,-4.488851217076751
0.0005751555493765662,-4.520516695176532
0.000579909423236622,-4.552397398479283
0.0005847025896266758,-4.584494683985408
0.000589535373314056,-4.616809915548905
0.0005944081017504128,-4.649344463877968
0.0005993211050939077,-4.682099706534518
0.0006042747162315799,-4.715077027933254
0.0006092692708019041,-4.74827781933961
0.0006143051072175311,-4.781703478866335
0.0006193825666882181,-4.8153554114697386
0.0006245019932439473,-4.849235028944245
0.0006296637337582364,-4.883343749916405
0.0006348681379716404,-4.9176829998375755
0.0006401155585154518,-4.952254210975584
0.0006454063509355896,-4.987058822405025
0.0006507408737166919,-5.0220982799967
0.0006561194883064059,-5.057374036405724
0.0006615425591398769,-5.092887551058196
0.0006670104536644423,-5.12864029013723
0.0006725235423645277,-5.1646337265665645
0.0006780821987867494,-5.2008693399942105
0.0006836867995652269,-5.237348616773555
0.0006893377244470983,-5.27407304994388
0.0006950353563182531,-5.311044139208905
0.0007007800812292748,-5.348263390914168
0.0007065722884215984,-5.385732318022798
0.0007124123703538829,-5.423452440089683
0.0007183007227286045,-5.461425283234147
0.0007242377445188657,-5.499652380111051
0.0007302238379954322,-5.538135269880072
0.0007362594087539842,-5.576875498173235
0.0007423448657426018,-5.615874617060981
0.000748480621289472,-5.655134185016262
0.0007546670911308275,-5.694655766876526
0.000760904694439115,-5.734440933804584
0.0007671938538513971,-5.774491263246611
0.0007735349954979874,-5.814808338888943
0.0007799285490313268,-5.855393750612348
0.000786374947655091,-5.896249094444466
0.0007928746281535447,-5.937375972510156
0.0007994280309211373,-5.9787759929795845
0.0008060355999923414,-6.020450770014021
0.0008126977830717388,-6.06240192370944
0.0008194150315643558,-6.104631080037919
0.0008261878006062481,-6.147139870786513
0.0008330165490953419,-6.189929933493552
0.0008399017397225223,-6.233002911382813
0.000846843839002987,-6.276360453294714
0.0008538433173078549,-6.320004213615148
0.0008609006488960366,-6.363935852201769
0.0008680163119463683,-6.408157034307076
0.0008751907885900114,-6.452669430499193
0.0008824245649431198,-6.497474716579325
0.0008897181311397797,-6.542574573496819
0.0008970719813652148,-6.587970687260665
0.0009044866138892741,-6.633664748848236
0.0009119625311001911,-6.679658454110849
0.0009195002395386246,-6.72595350367606
0.0009271002499319797,-6.772551602846778
0.0009347630772290129,-6.819454461496812
0.0009424892406347223,-6.866663793963196
0.0009502792636455303,-6.91418131893475
0.0009581336740847485,-6.962008759337468
0.0009660530041383453,-7.010147842215701
0.0009740377903910029,-7.058600298609946
0.000982088573862475,-7.107367863430621
0.0009902059000442445,-7.1564522753281095
0.000998390318936482,-7.205855276558472
0.001,-7.2155614292148265
0.0010066423850853172,-7.255578612845282
0.0010149626576204053,-7.3056240332371924
0.001023351700292817,-7.3559932899613445
0.0010318100815132347,-7.406688138272058
0.0010403383743904655,-7.4577103362953086
0.0010489371567702734,-7.509061644868661
0.0010576070112745316,-7.560743827376344
0.0010663485253406986,-7.61275864957958
0.001075162291261624,-7.665107879441982
0.0010840489062256744,-7.717793286950304
0.0010930089723572007,-7.770816643929503
0.0011020430967573348,-7.824179723852984
0.001111151891545125,-7.877884301647546
0.0011203359738990093,-7.931932153492594
0.0011295959660986355,-7.98632505661395
0.0011389324955670217,-8.041064789072186
0.0011483461949130735,-8.096153129544753
0.0011578377019744403,-8.151591857102398
0.0011674076598607367,-8.207382750979674
0.0011770567169971176,-8.26352759033893
0.0011867855271682113,-8.320028154028307
0.0011965947495624193,-8.376886220333004
0.001206485048816579,-8.434103566720271
0.0012164570950609968,-8.49168196957744
0.0012265115639648583,-8.549623203943149
0.0012366491367820013,-8.607929043231614
0.0012468705003970807,-8.666601258949733
0.0012571763473721077,-8.72564162040692
0.0012675673759933754,-8.785051894417322
0.0012780442903187717,-8.844833844994684
0.0012886078002254842,-8.904989233039236
0.0012992586214580974,-8.96551981601679
0.001309997475677094,-9.026427347629726
0.0013208250905077444,-9.087713577479647
0.0013317421995894126,-9.149380250721737
0.001342749542625264,-9.21142910771035
0.001353847865432385,-9.273861883636144
0.001365037919992317,-9.33668030815392
0.0013763204645020075,-9.399886105001535
0.0013876962634251813,-9.463480991609448
0.0013991660875441432,-9.527466678700954
0.0014107307140119962,-9.591844869882296
0.0014223909264053027,-9.656617261223474
0.001434147514777176,-9.721785540828444
0.0014460012757108109,-9.787351388395443
0.0014579530123734583,-9.853316474766695
0.001470003534570844,-9.919682461467284
0.001482153658802037,-9.986451000233421
0.0014944042083147775,-10.053623732529434
0.0015067560131612502,-10.121202289053436
0.0015192099102543295,-10.189188289231593
0.0015317667434242854,-10.257583340700323
0.001544427363475958,-10.326389038777009
0.0015571926282464043,-10.395606965917931
0.0015700634026630232,-10.465238691164137
0.0015830405588021575,-10.535285769574518
0.0015961249759481888,-10.605749741645868
0.0016093175406531057,-10.676632132719945
0.0016226191467965793,-10.747934452376857
0.0016360306956465273,-10.819658193814979
0.0016495530959201809,-10.891804833216991
0.0016631872638456563,-10.964375829101453
0.0016769341232240331,-11.03737262166015
0.0016907946054919546,-11.110796632080765
0.0017047696497847274,-11.184649261854254
0.0017188602029999625,-11.258931892067373
0.0017330672198617298,-11.333645882679368
0.001747391662985248,-11.408792571782943
0.0017618345029421071,-11.484373274849151
0.0017763967183260317,-11.560389283955843
0.0017910792958191841,-11.636841866999408
0.0018058832302590264,-11.713732266889732
0.0018208095247057151,-11.791061700727534
0.0018358591905100732,-11.868831358964467
0.0018510332473821128,-11.947042404545059
0.0018663327234601274,-12.02569597203066
0.001881758655380355,-12.104793166704718
0.0018973120883472162,-12.184335063659343
0.0019129940762041314,-12.2643227068627
0.001928805681504934,-12.344757108206814
0.001944747975585853,-12.425639246535727
0.0019608220386381093,-12.506970066653448
0.0019770289597811066,-12.588750478311459
0.0019933698371362224,-12.670981355175421
0.0020098457779012162,-12.7536635337707
0.0020264578984252463,-12.836797812406433
0.002043207324284509,-12.920384950077835
0.0020600951903585116,-13.004425665346199
0.002077122640906955,-13.088920635196448
0.0020942908296472723,-13.173870493871787
0.0021116009198327997,-13.259275831685102
0.002129054084331593,-13.345137193806842
0.002146651505705898,-13.431455079028728
0.0021643943762922747,-13.518229938503431
0.002182283898282386,-13.605462174459296
0.0022003212838044603,-13.693152138890257
0.0022185077550054087,-13.781300132220094
0.002236844544133642,-13.869906401940996
0.002255332893622562,-13.958971141226069
0.002273974056174741,-14.048494487515146
0.0022927692948468046,-14.13847652107377
0.002311719883135008,-14.228917263524849
0.0023308271050615247,-14.319816676352724
0.002350092255261453,-14.41117465937918
0.0023695166390705234,-14.502991049210964
0.002389101572613553,-14.595265617658711
0.002408848382893619,-14.687998070126527
0.002428758407881969,-14.781188043972193
0.002448832996608682,-14.874835106837446
0.002469073509254068,-14.968938754947956
0.002489481317240831,-15.063498411382607
