R_over_R0,f_R,f_RR,m_s2_over_R0
24.89124076530562,0.9998499587610022,1.0900000000000004e-06,305756.2163023143
25.87598682171794,0.9998296967146099,1.0900000000000004e-06,305749.69170916633
26.900442880099067,0.9998078069851972,1.0900000000000004e-06,305742.6561169595
27.96620993354757,0.9997842264840135,1.0900000000000004e-06,305735.08969883353
29.07495353462509,0.9997588920395286,1.0900000000000004e-06,305726.9725810935
30.228406398277794,0.9997317404066679,1.0900000000000004e-06,305718.2848451662
31.4283711096447,0.9997027082755793,1.0900000000000004e-06,305709.00652937905
32.67672294111059,0.9996717322799558,1.0900000000000004e-06,305699.11763056566
33.975412782929745,0.9996387490049398,1.0900000000000004e-06,305688.59810550645
35.32647019202524,0.9996036949946334,1.0900000000000004e-06,305677.4278722091
36.7320065637259,0.9995665067592371,1.0900000000000004e-06,305665.58681103436
38.19421843139667,0.9995271207818396,1.0900000000000004e-06,305653.0547656725
39.71539089911964,0.9994854735248806,1.0900000000000004e-06,305639.8115439756
41.297901212789675,0.999441501436305,1.0900000000000004e-06,305625.83691864915
42.944222475205954,0.9993951409554288,1.0900000000000004e-06,305611.1106278075
44.65692751096496,0.9993463285185364,1.0900000000000004e-06,305595.61237539735
46.43869288719496,0.9992950005642244,1.0900000000000004e-06,305579.3218314914
48.292303096415395,0.9992410935385103,1.0900000000000004e-06,305562.2186324572
50.220654908058265,0.9991845438997221,1.0900000000000004e-06,305544.28238100064
52.22676189545161,0.9991252881231826,1.0900000000000004e-06,305525.4926460906
54.31375914535282,0.9990632627057043,1.0900000000000004e-06,305505.8289627632
56.484908157313846,0.9989984041699098,1.0900000000000004e-06,305485.2708318098
58.74360194072781,0.9989306490683844,1.0900000000000004e-06,305463.7977193482
61.09337031726882,0.9988599339876825,1.0900000000000004e-06,305441.3890562802
63.53788543719846,0.9987861955521925,1.0900000000000004e-06,305418.0242376348
66.080967518086,0.998709370427874,1.0900000000000004e-06,305393.68262179784
68.72659081492276,0.9986293953258776,1.0900000000000004e-06,305368.3435296297
71.47888983096077,0.9985462070060566,1.0900000000000004e-06,305341.98624346807
74.3421657789814,0.9984597422803811,1.0900000000000004e-06,305314.59000601893
77.3208933030915,0.9983699380162623,1.0900000000000004e-06,305286.134019132
80.41972747155192,0.9982767311397955,1.0900000000000004e-06,305256.59744246217
83.64351105156594,0.9981800586389311,1.0900000000000004e-06,305225.95939201367
86.9972820773968,0.9980798575665786,1.0900000000000004e-06,305194.19893856696
90.48628172364145,0.997976065043653,1.0900000000000004e-06,305161.2951059859
94.11596249596406,0.9978686182620696,1.0900000000000004e-06,305127.22686940327
97.89199675209089,0.9977574544876917,1.0900000000000004e-06,305091.97315328184
101.82028556638008,0.9976425110632395,1.0900000000000004e-06,305055.5128293492
105.9069679518217,0.9975237254111654,1.0900000000000004e-06,305017.82471440296
110.15843045387517,0.9974010350364981,1.0900000000000004e-06,304978.8875679826
114.58131713117214,0.9972743775296643,1.0900000000000004e-06,304938.6800899055
119.18253993857046,0.9971436905692904,1.0900000000000004e-06,304897.18091766274
123.96928952897149,0.9970089119249882,1.0900000000000004e-06,304854.36862367013
128.94904649060086,0.9968699794601291,1.0900000000000004e-06,304810.2217123713
134.12959303741576,0.9967268311346118,1.0900000000000004e-06,304764.71861718677
139.51902517087842,0.9965794050076245,1.0900000000000004e-06,304717.8376973052
145.12576533210253,0.9964276392404069,1.0900000000000004e-06,304669.55723431025
150.958575564162,0.996271472099014,1.0900000000000004e-06,304619.85542863875
157.026571205032,0.9961108419570863,1.0900000000000004e-06,304568.71039586316
