R_over_R0,f_R,f_RR,m_s2_over_R0,z,T_Gyr,hamiltonian_energy_proxy
191.23994199531523,0.9952385971984805,1.0900000000000004e-06,304290.5644225399,7.586323969112541,0.7006377968773204,-152508.3590753482
183.84589393658624,0.9954224627780544,1.0900000000000004e-06,304349.25711121195,7.4737898114927885,0.7146234334941466,-152523.7200585047
176.73842657668874,0.9956015589366328,1.0900000000000004e-06,304406.3957344538,7.362725016072639,0.728888241506592,-152538.66402903516
169.90643258529968,0.9957759467207744,1.0900000000000004e-06,304462.0026633811,7.253110250158159,0.7434377935367883,-152553.19774929518
163.3392351328554,0.9959456872986236,1.0900000000000004e-06,304516.1001627916,7.144926431498904,0.7582777734436118,-152567.3279090742
157.026571205032,0.9961108419570863,1.0900000000000004e-06,304568.71039586316,7.038154724938464,0.7734139785431138,-152581.06112847364
150.958575564162,0.996271472099014,1.0900000000000004e-06,304619.85542863875,6.9327765391109235,0.788852321873272,-152594.40396067023
145.12576533210253,0.9964276392404069,1.0900000000000004e-06,304669.55723431025,6.8287735231757924,0.8045988345039501,-152607.3628945699
139.51902517087842,0.9965794050076245,1.0900000000000004e-06,304717.8376973052,6.726127563598003,0.8206596678929664,-152619.9443573553
134.12959303741576,0.9967268311346118,1.0900000000000004e-06,304764.71861718677,6.624820780963156,0.8370410962891937,-152632.15471693166
128.94904649060086,0.9968699794601291,1.0900000000000004e-06,304810.2217123713,6.524835526836209,0.8537495191836272,-152644.00028427455
123.96928952897149,0.9970089119249882,1.0900000000000004e-06,304854.36862367013,6.426154380657838,0.8707914638093792,-152655.4873156826
119.18253993857046,0.9971436905692904,1.0900000000000004e-06,304897.18091766274,6.3287601466796914,0.8881735876915776,-152666.6220149393
114.58131713117214,0.9972743775296643,1.0900000000000004e-06,304938.6800899055,6.232635850937652,0.905902681248162,-152677.4105353867
110.15843045387517,0.9974010350364981,1.0900000000000004e-06,304978.8875679826,6.137764738262559,0.9239856704425968,-152687.85898191435
105.9069679518217,0.9975237254111654,1.0900000000000004e-06,305017.82471440296,6.0441302693285035,0.9424296194895355,-152697.9734128659
101.82028556638008,0.9976425110632395,1.0900000000000004e-06,305055.5128293492,5.951716117735898,0.9612417336144922,-152707.75984186694
97.89199675209089,0.9977574544876917,1.0900000000000004e-06,305091.97315328184,5.860506167132797,0.9804293618686016,-152717.22423957623
94.11596249596406,0.9978686182620696,1.0900000000000004e-06,305127.22686940327,5.770484508369837,0.9999999999995643,-152726.37253536275
90.48628172364145,0.997976065043653,1.0900000000000004e-06,305161.2951059859,5.681635436690755,1.0199612933798998,-152735.21061891125
86.9972820773968,0.9980798575665786,1.0900000000000004e-06,305194.19893856696,5.5939434489571855,1.0403210399936513,-152743.74434175863
83.64351105156594,0.9981800586389311,1.0900000000000004e-06,305225.95939201367,5.507393240907364,1.0610871934827093,-152751.9795187625
80.41972747155192,0.9982767311397955,1.0900000000000004e-06,305256.59744246217,5.4219697044481725,1.0822678662539436,-152759.92192950528
77.3208933030915,0.9983699380162623,1.0900000000000004e-06,305286.134019132,5.337657924980103,1.1038713326483576,-152767.57731963423
74.3421657789814,0.9984597422803811,1.0900000000000004e-06,305314.59000601893,5.2544431787546415,1.1259060321735028,-152774.95140214023
71.47888983096077,0.9985462070060566,1.0900000000000004e-06,305341.98624346807,5.172310930263583,1.1483805728004173,-152782.0498585764
68.72659081492276,0.9986293953258776,1.0900000000000004e-06,305368.3435296297,5.091246829659828,1.1713037343263741,-152788.87834021836
66.080967518086,0.998709370427874,1.0900000000000004e-06,305393.68262179784,5.011236710209175,1.1946844718047553,-152795.44246916732
63.53788543719846,0.9987861955521925,1.0900000000000004e-06,305418.0242376348,4.932266585772679,1.2185319190433916,-152801.7478393975
61.09337031726882,0.9988599339876825,1.0900000000000004e-06,305441.3890562802,4.854322648319085,1.2428553921727306,-152807.80001774873
58.74360194072781,0.9989306490683844,1.0900000000000004e-06,305463.7977193482,4.777391265466945,1.267664393285233,-152813.6045448659
56.484908157313846,0.9989984041699098,1.0900000000000004e-06,305485.2708318098,4.7014589780559195,1.2929686141474155,-152819.1669360854
54.31375914535282,0.9990632627057043,1.0900000000000004e-06,305505.8289627632,4.626512497746889,1.318777939985989,-152824.49268227024
52.22676189545161,0.9991252881231826,1.0900000000000004e-06,305525.4926460906,4.552538704649962,1.3451024533495752,-152829.58725059393
50.220654908058265,0.9991845438997221,1.0900000000000004e-06,305544.28238100064,4.47952464498262,1.3719524380475066,-152834.456085274
48.292303096415395,0.9992410935385103,1.0900000000000004e-06,305562.2186324572,4.407457528750909,1.3993383831672512,-152839.10460825634
46.43869288719496,0.9992950005642244,1.0900000000000004e-06,305579.3218314914,4.33632472746228,1.4272709871720293,-152843.5382198492
44.65692751096496,0.9993463285185364,1.0900000000000004e-06,305595.61237539735,4.26611377186285,1.4557611620802235,-152847.76229930896
42.944222475205954,0.9993951409554288,1.0900000000000004e-06,305611.1106278075,4.196812349701433,1.4848200377282175,-152851.78220537663
41.297901212789675,0.999441501436305,1.0900000000000004e-06,305625.83691864915,4.128408303519496,1.514458966118324,-152855.603276766
39.71539089911964,0.9994854735248806,1.0900000000000004e-06,305639.8115439756,4.060889628466662,1.5446895258535045,-152859.23083260268
38.19421843139667,0.9995271207818396,1.0900000000000004e-06,305653.0547656725,3.9942444701413846,1.575523526660611,-152862.67017281486
36.7320065637259,0.9995665067592371,1.0900000000000004e-06,305665.58681103436,3.9284611224564165,1.6069730140039178,-152865.92657847455
35.32647019202524,0.9996036949946334,1.0900000000000004e-06,305677.4278722091,3.8635280255287343,1.639050273790746,-152869.00531208984
33.975412782929745,0.9996387490049398,1.0900000000000004e-06,305688.59810550645,3.799433763593545,1.6717678371710163,-152871.91161784757
32.67672294111059,0.9996717322799558,1.0900000000000004e-06,305699.11763056566,3.7361670629420356,1.7051384854326104,-152874.65072180534
31.4283711096447,0.9997027082755793,1.0900000000000004e-06,305709.00652937905,3.6737167898825476,1.7391752549944464,-152877.22783203295
30.228406398277794,0.9997317404066679,1.0900000000000004e-06,305718.2848451662,3.6120719487248025,1.7738914424992254,-152879.64813870232
29.07495353462509,0.9997588920395286,1.0900000000000004e-06,305726.9725810935,3.5512216797869285,1.8093006100078342,-152881.91681412476
27.96620993354757,0.9997842264840135,1.0900000000000004e-06,305735.08969883353,3.4911552574251097,1.845416590297436,-152884.03901273475
26.900442880099067,0.9998078069851972,1.0900000000000004e-06,305742.6561169595,3.431862088084181,1.8822534922653176,-152886.01987101987
25.87598682171794,0.9998296967146099,1.0900000000000004e-06,305749.69170916633,3.373331708373081,1.9198257064406028,-152887.86450739412
24.89124076530562,0.9998499587610022,1.0900000000000004e-06,305756.2163023143,3.315553783157954,1.95814791060599,-152889.57802201528
23.94466577524764,0.9998686561206119,1.0900000000000004e-06,305762.24967428646,3.258518103679397,1.997235075531704,-152891.1654965435
23.034782568395862,0.9998858516869054,1.0900000000000004e-06,305767.8115516531,3.2022145856897035,2.037102470823906,-152892.6319938399
22.160169202275142,0.9999016082397645,1.0900000000000004e-06,305772.9216071357,3.14663326761103,2.077765670889846,-152893.98255760447
21.31945885289686,0.9999159884340885,1.0900000000000004e-06,305777.5994568619,3.0917643087139806,2.1192405610220857,-152895.22221195017
20.511337678714845,0.9999290547877788,1.0900000000000004e-06,305781.8646574033,3.0375979873169077,2.1615433436041727,-152896.3559609124
19.73454276737846,0.999940869669074,1.0900000000000004e-06,305785.73670258635,2.9841246990053256,2.2046905444401856,-152897.38878789154
18.987860162054684,0.9999514952832023,1.0900000000000004e-06,305789.23502006894,2.931334954869839,2.2486990192106266,-152898.32565502686
18.270122964292568,0.999960993658315,1.0900000000000004e-06,305792.37896767084,2.8792193797663796,2.293585960057182,-152899.1715024989
17.580209510395207,0.9999694266306671,1.0900000000000004e-06,305795.1878294497,2.8277687105938316,2.3393689022989217,-152899.93124775935
16.917041618495215,0.9999768558290067,1.0900000000000004e-06,305797.6808115114,2.7769737945919997,2.386065731282564,-152900.6097846846
16.27958290357783,0.9999833426581358,1.0900000000000004e-06,305799.87703754456,2.7268255876586918,2.4336946893694806,-152901.211982652
15.666837157820522,0.9999889482816046,1.0900000000000004e-06,305801.795544068,2.6773151526859347,2.4822743830621703,-152901.74268553517
15.07784679371849,0.9999937336034983,1.0900000000000004e-06,305803.45527538005,2.628433657915289,2.531823790272987,-152902.20671061665
14.51169134756188,0.9999977592492787,1.0900000000000004e-06,305804.8750781987,2.580172375312098,2.582362267737961,-152902.60884741487
13.96748604092636,1.0000010855456358,1.0900000000000004e-06,305806.07369597885,2.532522678958659,2.633909558578609,-152902.9538564223
13.444380397928414,1.000003772499312,1.0900000000000004e-06,305807.0697628985,2.485476043466237,2.6864858000146894,-152903.2464677532
12.941556916093276,1.0000058797748543,1.0900000000000004e-06,305807.8817974971,2.4390240424067637,2.740111531230911,-152903.49137969664
12.458229788718123,1.0000074666712526,1.0900000000000004e-06,305808.528195958,2.3931583467605133,2.7948077014006754,-152903.69325717355
11.993643676816852,1.0000085920974235,1.0900000000000004e-06,305809.02722502005,2.347870723387473,2.8505956778699795,-152903.85673009328
11.547072528627425,1.0000093145464937,1.0900000000000004e-06,305809.3970145068,2.3031530335133,2.907497254504683,-152903.98639160825
11.117818444908778,1.0000096920688446,1.0900000000000004e-06,305809.6555494616,2.2589972312366,2.965534660204396,-152904.08679626288
10.705210588222855,1.0000097822438743,1.0900000000000004e-06,305809.8206618755,2.215395362054799,3.024730567586315,-152904.16245803444
10.30860413450351,1.000009642150435,1.0900000000000004e-06,305809.91002199636,2.1723395614093794,3.0851081018424003,-152904.21784826287
9.927379265273656,1.0000093283359082,1.0900000000000004e-06,305809.9411292076,2.1298220532506833,3.146690849773353,-152904.25739346643
9.56094019893435,1.0000089270343735,1.086622318870299e-06,306760.53692172974,2.087835148622412,3.209502869002923,-153379.58384845627
9.208714259612446,1.0000085490272945,1.0799999999999994e-06,308641.5443258934,2.046371244266172,3.2735686973761466,-154320.1125195197
8.870150982110461,1.0000081768416993,1.0799999999999994e-06,308641.542308222,2.005422821246301,3.338913362545183,-154320.14022843217
8.544721251559812,1.0000078291932752,1.0742212374525567e-06,310301.8929457735,1.9649824435953374,3.4055623917464986,-155150.33912189092
8.231916476432295,1.0000074954741844,1.0700000000000001e-06,311526.0708173067,1.9250427569805362,3.473541821773217,-155762.45165193573
7.9312477936167545,1.0000071747270156,1.0700000000000001e-06,311526.0711189646,1.885596487391827,3.542878209146527,-155762.4767828572
7.642245304318218,1.0000068624195042,1.0700000000000001e-06,311526.07016106806,1.8466364398517312,3.613598640490129,-155762.50062672287
7.36445733958453,1.000006564137207,1.0600000000000004e-06,314465.01818000834,1.8081554971477303,3.685730743111765,-157231.99304381633
7.097449754312232,1.0000062873212108,1.0600000000000004e-06,314465.02013348136,1.770146618587712,3.7593026957959728,-157232.01578264675
6.840805248627418,1.0000060110101987,1.0600000000000004e-06,314465.01879139454,1.732602838779101,3.8343432398122745,-157232.03683400876
6.5941227155803945,1.0000057537903175,1.0600000000000004e-06,314465.0201321505,1.6955172664323954,3.9108816901431065,-157232.05772592957
6.357016614133867,1.0000055029070742,1.0500000000000005e-06,317459.945409406,1.6588830831898682,3.9889479469358693,-158729.53596775982
6.129116366463818,1.0000052623459563,1.0500000000000005e-06,317459.94500754634,1.6226935424802587,4.068572507183577,-158729.5548588576
5.910065778630295,1.0000050300211354,1.0500000000000005e-06,317459.94427049754,1.5869419684003545,4.149786476638671,-158729.57292869542
5.699522483711727,1.0000048095002405,1.0500000000000005e-06,317459.9444449626,1.5516217546244344,4.23262158196464,-158729.5905174794
5.497157406531359,1.0000045970342324,1.0400000000000008e-06,320512.4615354259,1.5167263633426116,4.317110183130213,-160255.86241687022
5.302654249140746,1.0000043927906768,1.0400000000000008e-06,320512.46090713365,1.4822493242296628,4.403285286050946,-160255.8784683024
5.115708996243111,1.0000041968043931,1.0400000000000008e-06,320512.46040610137,1.4481842334434492,4.491180555483162,-160255.8939217309
4.936029439798904,1.000004016728083,1.0400000000000008e-06,320512.4625825208,1.4145247526570215,4.580830328175257,-160255.90943905443
