beta,gamma_min,gamma_max
5714.073759817474,0.0,290243.3316946933
5944.451332500566,0.0,289918.77821609797
6184.117905367679,0.0,289588.2967944502
6433.448016708033,0.0,289251.7516984271
6692.831306348986,0.0,288909.0023097623
6962.673124550047,0.0,288559.9029216919
7243.395165450132,0.0,288204.30252921104
7535.436126052653,0.0,287842.0446108182
7839.252391781769,0.0,287472.96690139844
8155.318749679558,0.0,287096.90115589113
8484.129130359335,0.0,286713.67290336825
8826.19737987241,0.0,286323.1011911408
9182.058062700338,0.0,285924.998318482
9552.267297117492,0.0,285519.16955956194
9937.403624239365,0.0,285105.41287514626
10338.068912108482,0.0,284683.51861261233
10754.88929623269,0.0,284253.26919381064
11188.51615804531,0.0,283814.43879027996
11639.627142815998,0.0,283366.79298530845
12108.927218602887,0.0,282910.0884223076
12597.149777900857,0.0,282444.07243895053
13105.05778370705,0.0,281968.482686497
13633.44496179505,0.0,281483.04673371086
14183.137041060038,0.0,280987.48165474687
14754.993043873505,0.0,280481.4936003615
15349.906628463788,0.0,279964.77735177515
15968.807485419766,0.0,279437.01585648564
16612.662790499995,0.0,278897.879745307
17282.47871601893,0.0,278347.0268298732
17979.302003163608,0.0,277784.10157982836
18704.221597717773,0.0,277208.73457886535
19458.370351720852,0.0,276620.5419587859
20242.926793745482,0.0,276019.12481067446
21059.116970546555,0.0,275404.0685722741
21908.216362963372,0.0,274774.94239060243
22791.551879068204,0.0,274131.29845880857
23710.503927675138,0.0,273472.671326235
24666.50857544977,0.0,272798.5771806015
25661.059790989737,0.0,272108.51310118876
26695.711779382767,0.0,271401.9562818532
27772.08141088996,0.0,270678.363222655
28891.850747548968,0.0,269937.1688888361
30056.769671645183,0.0,269177.7858358301
31268.65862015753,0.0,268399.6032989368
32529.41142945183,0.0,267601.986246235
33840.99829466615,0.0,266784.2743932531
35205.468848412005,0.0,265945.7811778551
36624.955363602494,0.0,265085.79269373894
38101.67608541074,0.0,264203.56658087793
39637.93869756536,0.0,263298.3308711711
41236.143928402395,0.0,262369.28278749227
42898.78930228328,0.0,261415.58749427702
44628.473042306694,0.0,260436.37679765202
46427.89813031542,0.0,259430.74779313186
48299.876530622874,0.0,258397.76145872028
50247.33358401866,0.0,257336.44119124007
52273.31257893582,0.0,256245.7712835918
54380.97950689616,0.0,255124.6953405756
56573.6280097047,0.0,253972.11463077596
58854.684526082594,0.0,252786.88637195522
61227.71364580229,0.0,251567.82194726192
63696.42367968341,0.0,250313.68504946976
66264.67245415271,0.0,249023.1897503456
68936.47333941686,0.0,247694.9984921301
71716.0015206809,0.0,246327.71999798436
74607.60052218453,0.0,244919.90709814942
77615.78899427518,0.0,243470.05446840753
80745.26777410577,0.0,241976.59627731782
84000.92723099266,0.0,240437.90373854738
87387.854907909,0.0,238852.28256447244
90911.34347105329,0.0,237217.97031706906
94576.89897991001,0.0,235533.1336519546
98390.24949072367,0.0,233795.86545127205
102357.35400682862,0.0,232004.1818409372
106484.41178981341,0.0,230156.01908758775
110777.8720460714,0.0,228249.23037038345
115244.44400386453,0.0,226281.58242261657
119891.10739664723,0.0,224250.75203788085
124725.12336902597,0.0,222154.3224353421
129754.04582239524,0.0,219989.77947842903
134985.73321795274,0.0,217754.5077410445
140428.36085558272,0.0,215445.78641513095
146090.43364772515,0.0,213060.78505322084
151980.79940823154,0.0,210596.55913930316
158108.66267695025,0.0,208050.04548109055
164483.5991016344,0.0,205418.05741649168
171115.57039964644,0.0,202697.27982679458
178014.9399228246,0.0,199884.26394877434
185192.48884982744,0.0,196975.42197761833
192659.43303125055,0.0,193967.02145223814
200427.44051382897,0.0,190855.17941419638
208508.6497710952,0.0,187635.8563311247
216915.68866897427,0.0,184304.84977513985
225661.6941959375,0.0,180857.7878463828
234760.33298853537,0.0,177290.1223314074
244225.8226843671,0.0,173597.12158573305
254072.9541358439,0.0,169773.86312944183
264317.1145194929,0.0,165815.22594423435
274974.31137656746,0.0,161715.88246004036
286061.1976233595,0.0,157470.29021834047
297595.0975691264,0.0,153072.68319962223
309594.03398314625,0.0,148517.06280108535
322076.75625282514,0.0,143797.1884506411
335062.76967689017,0.0,138906.56784252395
348572.3659394191,0.0,133838.4467792657
362626.65481231007,0.0,128585.79860416282
377247.59713568684,0.0,123141.31320774023
392458.0391277665,0.0,117497.38559103396
408281.7480777566,0.0,111646.10396783822
424743.4494775464,0.0,105579.23738732701
441868.86565014475,0.0,99288.22285773446
459684.755935238,0.0,92764.15195096767
478218.9584945783,0.0,85997.75686724963
497500.43380252336,0.0,78979.39593801727
517559.3098896173,0.0,71699.0385444458
538426.9294098942,0.0,64146.24942803766
560135.8986053492,0.0,56310.17236879542
582720.138244123,0.0,48179.513205462055
606214.9366118565,0.0,39742.522171343226
630657.0046390177,0.0,30986.975518111904
656084.5332502443,0.0,21900.156398912244
682537.2530252908,0.0,12468.834980901136
710056.4962646853,0.0,2679.247756191296
738685.2615570612,0.0,333333.0
768468.2809489282,0.0,333333.0
799452.0898217945,0.0,333333.0
831685.0995857118,0.0,333333.0
865217.6733027642,0.0,333332.9999999999
900102.2043585464,0.0,333333.0
936497.894575367,0.0,333333.0
974258.435452528,0.0,333332.99999999994
1013541.5206085958,0.0,333333.0
1054408.5406123337,0.0,333333.0
1096923.3613640817,0.0,333333.0
1141152.423903704,0.0,333332.9999999999
1187164.8482428868,0.0,333332.99999999994
1235032.5413840767,0.0,333332.99999999994
1284830.3096948373,0.0,333333.0
1336635.9758132736,0.0,333332.99999999994
1390530.5002671916,0.0,333333.0
1446598.1079970808,0.0,333333.0
1504926.41998062,0.0,333332.99999999994
1565606.590164436,0.0,333333.0
1628733.4479170826,0.0,333332.9999999999
1694405.6462258757,0.0,333332.99999999994
1762725.8158691784,0.0,333333.0
1833800.7258050742,0.0,333332.99999999994
1907741.4500270695,0.0,333333.0
1984663.5411476162,0.0,333333.0
2064687.210980662,0.0,333333.0
2147937.5184055218,0.0,333332.9999999999
