R_over_R0,f_R,f_RR,m_s2_over_R0,hamiltonian_energy_proxy
3035.9876740685936,0.9670584502531482,1.0900000000000004e-06,294724.53323804686,-149830.08420523428
3158.3826636872286,0.9663912068075045,1.0900000000000004e-06,294479.6849247967,-149756.4085444083
3285.7127221537107,0.9657153350705274,1.0900000000000004e-06,294230.55296739435,-149681.16070419614
3418.1768350811667,0.9650307923906001,1.0900000000000004e-06,293977.0579939943,-149604.30092617037
3555.9820112983866,0.9643375365224881,1.0900000000000004e-06,293719.1180826216,-149525.78801838675
3699.343606348646,0.9636355256319475,1.0900000000000004e-06,293456.6486547484,-149445.57929624268
3848.485659031966,0.9629247183003401,1.0900000000000004e-06,293189.56236452446,-149363.63052088508
4003.641241516826,0.9622050735292511,1.0900000000000004e-06,292917.76898348547,-149279.89583506642
4165.052823568255,0.9614765507451137,1.0900000000000004e-06,292641.1752805578,-149194.32769634237
4332.972651461675,0.9607391098038345,1.0900000000000004e-06,292359.6848971685,-149106.87680750046
4507.6631421744505,0.959992710995423,1.0900000000000004e-06,292073.1982172638,-149017.49204410476
4689.397293471208,0.9592373150486231,1.0900000000000004e-06,291781.6122320303,-148926.12037903588
4878.459110523745,0.9584728831355441,1.0900000000000004e-06,291484.8203991049,-148832.7068039019
5075.144049731995,0.957699376876295,1.0900000000000004e-06,291182.71249605104,-148737.19424718936
5279.759480440955,0.9569167583436122,1.0900000000000004e-06,290875.1744678689,-148639.52348901832
5492.6251652704705,0.9561249900675003,1.0900000000000004e-06,290562.08826830436,-148539.63307236205
5714.073759817474,0.9553240350398484,1.0900000000000004e-06,290243.3316946933,-148437.45921057955
5944.451332500566,0.9545138567190662,1.0900000000000004e-06,289918.77821609797,-148332.9356911127
6184.117905367679,0.9536944190347032,1.0900000000000004e-06,289588.2967944502,-148225.9937751843
6433.448016708033,0.9528656863920686,1.0900000000000004e-06,289251.7516984271,-148116.5620933314
6692.831306348986,0.9520276236768433,1.0900000000000004e-06,288909.0023097623,-148004.5665366009
6962.673124550047,0.9511801962596922,1.0900000000000004e-06,288559.9029216919,-147889.930143226
7243.395165450132,0.950323370000861,1.0900000000000004e-06,288204.30252921104,-147772.57298059438
7535.436126052653,0.9494571112547732,1.0900000000000004e-06,287842.0446108182,-147652.4120223132
7839.252391781769,0.9485813868746154,1.0900000000000004e-06,287472.96690139844,-147529.36102016474
8155.318749679558,0.9476961642169149,1.0900000000000004e-06,287096.90115589113,-147403.3303707411
8484.129130359335,0.9468014111461062,1.0900000000000004e-06,286713.67290336825,-147274.22697653394
8826.19737987241,0.9458970960390917,1.0900000000000004e-06,286323.1011911408,-147141.95410125057
9182.058062700338,0.9449831877897797,1.0900000000000004e-06,285924.998318482,-147006.41121911112
9552.267297117492,0.9440596558136258,1.0900000000000004e-06,285519.16955956194,-146867.493857881
9937.403624239365,0.9431264700521493,1.0900000000000004e-06,285105.41287514626,-146725.09343537205
10338.068912108482,0.9421836009774408,1.0900000000000004e-06,284683.51861261233,-146579.09708914233
10754.88929623269,0.9412310195966546,1.0900000000000004e-06,284253.26919381064,-146429.38749910984
11188.51615804531,0.9402686974564852,1.0900000000000004e-06,283814.43879027996,-146275.84270278376
11639.627142815998,0.9392966066476283,1.0900000000000004e-06,283366.79298530845,-146118.3359028052
12108.927218602887,0.9383147198092234,1.0900000000000004e-06,282910.0884223076,-145956.7352664756
12597.149777900857,0.9373230101332805,1.0900000000000004e-06,282444.07243895053,-145790.90371693848
13105.05778370705,0.9363214513690862,1.0900000000000004e-06,281968.482686497,-145620.69871566506
13633.44496179505,0.9353100178275914,1.0900000000000004e-06,281483.04673371086,-145445.97203588032
14183.137041060038,0.934288684385778,1.0900000000000004e-06,280987.48165474687,-145266.56952655068
14754.993043873505,0.9332574264910046,1.0900000000000004e-06,280481.4936003615,-145082.33086653895
15349.906628463788,0.9322162201653305,1.0900000000000004e-06,279964.77735177515,-144893.08930851432
15968.807485419766,0.9311650420098159,1.0900000000000004e-06,279437.01585648564,-144698.67141218958
16612.662790499995,0.930103869208799,1.0900000000000004e-06,278897.879745307,-144498.8967664391
17282.47871601893,0.9290326795341463,1.0900000000000004e-06,278347.0268298732,-144293.57769983084
17979.302003163608,0.9279514513494873,1.0900000000000004e-06,277784.10157982836,-144082.5189790909
18704.221597717773,0.9268601636144023,1.0900000000000004e-06,277208.73457886535,-143865.5174949891
