# z    H_over_H0
7.796360e+02  1.221147e+04
7.959777e+02  1.259692e+04
8.126619e+02  1.299455e+04
8.296959e+02  1.340473e+04
8.470868e+02  1.382788e+04
8.648423e+02  1.426439e+04
8.829700e+02  1.471470e+04
9.014776e+02  1.517923e+04
9.203732e+02  1.565844e+04
9.396648e+02  1.615279e+04
9.593608e+02  1.666275e+04
9.794697e+02  1.718883e+04
1.000000e+03  1.773153e+04
1.020961e+03  1.829138e+04
1.042361e+03  1.886891e+04
1.064209e+03  1.946469e+04
1.086516e+03  2.007929e+04
1.109290e+03  2.071332e+04
1.132541e+03  2.136737e+04
1.156280e+03  2.204209e+04
1.180517e+03  2.273813e+04
1.205261e+03  2.345616e+04
1.230524e+03  2.419688e+04
1.256317e+03  2.496101e+04
1.282650e+03  2.574927e+04
1.309535e+03  2.656244e+04
1.336984e+03  2.740131e+04
1.365008e+03  2.826668e+04
1.393619e+03  2.915940e+04
1.422830e+03  3.008032e+04
1.452654e+03  3.103035e+04
1.483103e+03  3.201039e+04
1.514189e+03  3.302140e+04
1.545928e+03  3.406435e+04
1.578331e+03  3.514026e+04
1.611414e+03  3.625017e+04
1.645191e+03  3.739515e+04
1.679675e+03  3.857631e+04
1.714882e+03  3.979479e+04
1.750827e+03  4.105177e+04
1.787526e+03  4.234848e+04
1.824993e+03  4.368616e+04
1.863246e+03  4.506611e+04
1.902301e+03  4.648966e+04
1.942175e+03  4.795820e+04
1.982884e+03  4.947314e+04
2.024447e+03  5.103596e+04
2.066880e+03  5.264816e+04
2.110203e+03  5.431130e+04
2.154435e+03  5.602700e+04
2.199593e+03  5.779692e+04
2.245698e+03  5.962277e+04
2.292769e+03  6.150631e+04
2.340827e+03  6.344938e+04
2.389893e+03  6.545385e+04
2.439986e+03  6.752166e+04
2.491130e+03  6.965482e+04
2.543346e+03  7.185538e+04
2.596656e+03  7.412549e+04
2.651084e+03  7.646733e+04
2.706652e+03  7.888318e+04
2.763385e+03  8.137537e+04
2.821308e+03  8.394631e+04
2.880444e+03  8.659851e+04
2.940820e+03  8.933451e+04
3.002462e+03  9.215698e+04
3.065395e+03  9.506865e+04
3.129648e+03  9.807232e+04
3.195248e+03  1.011709e+05
3.262222e+03  1.043674e+05
3.330600e+03  1.076650e+05
3.400412e+03  1.110667e+05
3.471687e+03  1.145760e+05
3.544456e+03  1.181961e+05
3.618750e+03  1.219307e+05
3.694601e+03  1.257832e+05
3.772042e+03  1.297576e+05
3.851107e+03  1.338575e+05
3.931829e+03  1.380870e+05
4.014242e+03  1.424501e+05
4.098384e+03  1.469511e+05
4.184289e+03  1.515944e+05
4.271994e+03  1.563844e+05
4.361538e+03  1.613258e+05
4.452959e+03  1.664234e+05
4.546295e+03  1.716820e+05
4.641589e+03  1.771069e+05
4.738880e+03  1.827032e+05
4.838210e+03  1.884763e+05
4.939622e+03  1.944319e+05
5.043159e+03  2.005757e+05
5.148867e+03  2.069137e+05
5.256791e+03  2.134519e+05
5.366977e+03  2.201968e+05
5.479472e+03  2.271549e+05
5.594326e+03  2.343328e+05
5.711586e+03  2.417376e+05
5.831305e+03  2.493765e+05
5.953533e+03  2.572567e+05
6.078323e+03  2.653860e+05
6.205729e+03  2.737721e+05
6.335805e+03  2.824234e+05
6.468608e+03  2.913480e+05
6.604194e+03  3.005547e+05
6.742622e+03  3.100523e+05
6.883952e+03  3.198501e+05
7.028244e+03  3.299575e+05
