# z   H_over_H0
3.235937e+00 2.364524e-01
3.311311e+00 2.323222e-01
3.388442e+00 2.282426e-01
3.467369e+00 2.242137e-01
3.548134e+00 2.202355e-01
3.630781e+00 2.163083e-01
3.715352e+00 2.124320e-01
3.801894e+00 2.086066e-01
3.890451e+00 2.048322e-01
3.981072e+00 2.011088e-01
4.073803e+00 1.974361e-01
4.168694e+00 1.938143e-01
4.265795e+00 1.902431e-01
4.365158e+00 1.867224e-01
4.466836e+00 1.832522e-01
4.570882e+00 1.798321e-01
4.677351e+00 1.764621e-01
4.786301e+00 1.731418e-01
4.897788e+00 1.698711e-01
5.011872e+00 1.666497e-01
5.128614e+00 1.634774e-01
5.248075e+00 1.603538e-01
5.370318e+00 1.572786e-01
5.495409e+00 1.542515e-01
5.623413e+00 1.512722e-01
5.754399e+00 1.483404e-01
5.888437e+00 1.454555e-01
6.025596e+00 1.426174e-01
6.165950e+00 1.398255e-01
6.309573e+00 1.370796e-01
6.456542e+00 1.343791e-01
6.606934e+00 1.317236e-01
6.760830e+00 1.291128e-01
6.918310e+00 1.265461e-01
7.079458e+00 1.240232e-01
7.244360e+00 1.215436e-01
7.413102e+00 1.191067e-01
7.585776e+00 1.167122e-01
7.762471e+00 1.143595e-01
7.943282e+00 1.120482e-01
8.128305e+00 1.097779e-01
8.317638e+00 1.075479e-01
8.511380e+00 1.053578e-01
8.709636e+00 1.032071e-01
8.912509e+00 1.010954e-01
9.120108e+00 9.902203e-02
9.332543e+00 9.698660e-02
9.549926e+00 9.498855e-02
9.772372e+00 9.302740e-02
1.000000e+01 9.110264e-02
1.023293e+01 8.921375e-02
1.047129e+01 8.736024e-02
1.071519e+01 8.554159e-02
1.096478e+01 8.375730e-02
1.122018e+01 8.200686e-02
1.148154e+01 8.028977e-02
1.174898e+01 7.860554e-02
1.202264e+01 7.695369e-02
1.230269e+01 7.533371e-02
1.258925e+01 7.374513e-02
1.288250e+01 7.218742e-02
1.318257e+01 7.066012e-02
1.348963e+01 6.916273e-02
1.380384e+01 6.769476e-02
1.412538e+01 6.625574e-02
1.445440e+01 6.484518e-02
1.479108e+01 6.346262e-02
1.513561e+01 6.210758e-02
1.548817e+01 6.077960e-02
1.584893e+01 5.947822e-02
1.621810e+01 5.820297e-02
1.659587e+01 5.695342e-02
1.698244e+01 5.572911e-02
1.737801e+01 5.452959e-02
1.778279e+01 5.335445e-02
1.819701e+01 5.220322e-02
1.862087e+01 5.107551e-02
1.905461e+01 4.997087e-02
1.949845e+01 4.888889e-02
1.995262e+01 4.782916e-02
2.041738e+01 4.679128e-02
2.089296e+01 4.577483e-02
2.137962e+01 4.477943e-02
2.187762e+01 4.380468e-02
2.238721e+01 4.285021e-02
2.290868e+01 4.191561e-02
2.344229e+01 4.100053e-02
2.398833e+01 4.010460e-02
2.454709e+01 3.922744e-02
2.511886e+01 3.836870e-02
2.570396e+01 3.752803e-02
2.630268e+01 3.670508e-02
