alpha,k,P_R
-0.425,0.43287612810830617,1.2391852355913215e-09
-0.425,0.49770235643321137,1.2338472056164629e-09
-0.425,0.572236765935022,1.2285321702377258e-09
-0.425,0.6579332246575682,1.223240030401442e-09
-0.425,0.7564633275546291,1.2179706874806362e-09
-0.425,0.8697490026177834,1.2127240432731877e-09
-0.425,1.0,1.2075e-09
-0.425,1.1497569953977356,1.2022984603031795e-09
-0.425,1.3219411484660286,1.1971193272442205e-09
-0.425,1.5199110829529332,1.1919625043021983e-09
-0.425,1.747528400007683,1.186827895371971e-09
-0.425,2.009233002565046,1.1817154047623883e-09
-0.425,2.310129700083158,1.1766249371945077e-09
-0.425,2.6560877829466896,1.1715563977998192e-09
-0.425,3.0538555088334185,1.166509692118478e-09
-0.425,3.5111917342151346,1.161484726097542e-09
-0.425,4.037017258596558,1.1564814060892216e-09
-0.425,4.641588833612782,1.151499638849132e-09
-0.425,5.336699231206313,1.1465393315345581e-09
-0.425,6.135907273413176,1.1416003917027213e-09
-0.425,7.054802310718645,1.1366827273090588e-09
-0.425,8.111308307896872,1.1317862467055075e-09
-0.425,9.326033468832199,1.126910858638796e-09
-0.425,10.722672220103231,1.122056472248744e-09
-0.425,12.32846739442066,1.1172229970665691e-09
-0.425,14.174741629268048,1.1124103430132005e-09
-0.425,16.297508346206435,1.1076184203976006e-09
-0.425,18.73817422860383,1.1028471399150935e-09
-0.425,21.544346900318867,1.0980964126456992e-09
-0.425,24.77076355991714,1.0933661500524796e-09
-0.425,28.48035868435805,1.0886562639798851e-09
-0.425,32.745491628777316,1.083966666652114e-09
-0.425,37.649358067924716,1.0792972706714755e-09
-0.425,43.287612810830616,1.074647989016761e-09
-0.425,49.770235643321136,1.0700187350416232e-09
-0.425,57.223676593502205,1.06540942247296e-09
-0.425,65.79332246575683,1.0608199654093082e-09
-0.425,75.64633275546291,1.056250278319241e-09
-0.425,86.97490026177834,1.051700276039775e-09
-0.425,100.0,1.047169873774783e-09
-0.4,0.0001,1.6791540648316025e-09
-0.4,0.00011497569953977356,1.6718636222383028e-09
-0.4,0.00013219411484660288,1.6646048328174665e-09
-0.4,0.0001519911082952933,1.6573775591393947e-09
-0.4,0.0001747528400007683,1.6501816643710725e-09
-0.4,0.00020092330025650479,1.6430170122735774e-09
-0.4,0.00023101297000831605,1.6358834671995011e-09
-0.4,0.00026560877829466864,1.628780894090379e-09
-0.4,0.0003053855508833416,1.6217091584741359e-09
-0.4,0.0003511191734215131,1.6146681264625382e-09
-0.4,0.0004037017258596554,1.6076576647486594e-09
-0.4,0.0004641588833612782,1.6006776406043571e-09
-0.4,0.0005336699231206312,1.5937279218777586e-09
-0.4,0.0006135907273413176,1.58680837699076e-09
-0.4,0.0007054802310718645,1.5799188749365347e-09
-0.4,0.0008111308307896872,1.5730592852770531e-09
-0.4,0.0009326033468832199,1.5662294781406132e-09
-0.4,0.0010722672220103231,1.5594293242193808e-09
-0.4,0.0012328467394420659,1.5526586947669433e-09
-0.4,0.0014174741629268048,1.5459174615958695e-09
-0.4,0.0016297508346206436,1.5392054970752855e-09
-0.4,0.001873817422860383,1.5325226741284563e-09
-0.4,0.0021544346900318843,1.52586886623038e-09
-0.4,0.0024770763559917113,1.5192439474053932e-09
-0.4,0.002848035868435802,1.512647792224786e-09
-0.4,0.0032745491628777285,1.506080275804426e-09
-0.4,0.0037649358067924675,1.4995412738023946e-09
-0.4,0.004328761281083062,1.4930306624166334e-09
-0.4,0.004977023564332114,1.4865483183825996e-09
-0.4,0.00572236765935022,1.4800941189709327e-09
-0.4,0.006579332246575682,1.47366794198513e-09
-0.4,0.007564633275546291,1.4672696657592342e-09
-0.4,0.008697490026177835,1.460899169155529e-09
-0.4,0.01,1.4545563315622462e-09
-0.4,0.011497569953977356,1.4482410328912822e-09
-0.4,0.013219411484660288,1.4419531535759236e-09
-0.4,0.01519911082952933,1.4356925745685848e-09
-0.4,0.01747528400007685,1.4294591773385524e-09
-0.4,0.02009233002565048,1.423252843869743e-09
-0.4,0.023101297000831605,1.4170734566584667e-09
