a w(a)
1.8097926262e-05 -1.0310080717e+00
1.8223438067e-05 -1.0310081277e+00
1.8349820315e-05 -1.0310081840e+00
1.8477079042e-05 -1.0310082408e+00
1.8605220328e-05 -1.0310082979e+00
1.8734250292e-05 -1.0310083555e+00
1.8864175098e-05 -1.0310084134e+00
1.8995000952e-05 -1.0310084718e+00
1.9126734103e-05 -1.0310085305e+00
1.9259380843e-05 -1.0310085897e+00
1.9392947507e-05 -1.0310086493e+00
1.9527440476e-05 -1.0310087092e+00
1.9662866174e-05 -1.0310087696e+00
1.9799231069e-05 -1.0310088305e+00
1.9936541675e-05 -1.0310088917e+00
2.0074804551e-05 -1.0310089534e+00
2.0214026300e-05 -1.0310090155e+00
2.0354213572e-05 -1.0310090780e+00
2.0495373064e-05 -1.0310091409e+00
2.0637511518e-05 -1.0310092043e+00
2.0780635724e-05 -1.0310092682e+00
2.0924752517e-05 -1.0310093324e+00
2.1069868781e-05 -1.0310093972e+00
2.1215991448e-05 -1.0310094623e+00
2.1363127498e-05 -1.0310095280e+00
2.1511283957e-05 -1.0310095940e+00
2.1660467904e-05 -1.0310096606e+00
2.1810686464e-05 -1.0310097276e+00
2.1961946812e-05 -1.0310097950e+00
2.2114256172e-05 -1.0310098630e+00
2.2267621821e-05 -1.0310099314e+00
2.2422051083e-05 -1.0310100002e+00
2.2577551335e-05 -1.0310100696e+00
2.2734130005e-05 -1.0310101394e+00
2.2891794570e-05 -1.0310102097e+00
2.3050552563e-05 -1.0310102805e+00
2.3210411566e-05 -1.0310103518e+00
2.3371379215e-05 -1.0310104236e+00
2.3533463199e-05 -1.0310104959e+00
2.3696671259e-05 -1.0310105687e+00
2.3861011191e-05 -1.0310106420e+00
2.4026490845e-05 -1.0310107158e+00
2.4193118125e-05 -1.0310107901e+00
2.4360900990e-05 -1.0310108650e+00
2.4529847454e-05 -1.0310109403e+00
2.4699965586e-05 -1.0310110162e+00
2.4871263514e-05 -1.0310110926e+00
2.5043749417e-05 -1.0310111695e+00
2.5217431537e-05 -1.0310112470e+00
2.5392318167e-05 -1.0310113250e+00
2.5568417662e-05 -1.0310114035e+00
2.5745738433e-05 -1.0310114826e+00
2.5924288950e-05 -1.0310115622e+00
2.6104077742e-05 -1.0310116424e+00
2.6285113395e-05 -1.0310117232e+00
2.6467404558e-05 -1.0310118045e+00
2.6650959937e-05 -1.0310118863e+00
2.6835788299e-05 -1.0310119688e+00
2.7021898474e-05 -1.0310120518e+00
2.7209299350e-05 -1.0310121353e+00
2.7397999880e-05 -1.0310122195e+00
2.7588009075e-05 -1.0310123043e+00
2.7779336013e-05 -1.0310123896e+00
2.7971989831e-05 -1.0310124755e+00
2.8165979732e-05 -1.0310125620e+00
2.8361314982e-05 -1.0310126491e+00
2.8558004910e-05 -1.0310127369e+00
2.8756058913e-05 -1.0310128252e+00
2.8955486449e-05 -1.0310129141e+00
2.9156297045e-05 -1.0310130037e+00
2.9358500292e-05 -1.0310130939e+00
2.9562105849e-05 -1.0310131847e+00
2.9767123441e-05 -1.0310132761e+00
2.9973562860e-05 -1.0310133682e+00
3.0181433967e-05 -1.0310134609e+00
3.0390746691e-05 -1.0310135543e+00
3.0601511030e-05 -1.0310136483e+00
3.0813737050e-05 -1.0310137429e+00
3.1027434890e-05 -1.0310138382e+00
3.1242614756e-05 -1.0310139342e+00
3.1459286926e-05 -1.0310140308e+00
3.1677461750e-05 -1.0310141281e+00
3.1897149649e-05 -1.0310142261e+00
3.2118361116e-05 -1.0310143248e+00
3.2341106717e-05 -1.0310144241e+00
3.2565397092e-05 -1.0310145242e+00
3.2791242954e-05 -1.0310146249e+00
3.3018655091e-05 -1.0310147263e+00
3.3247644364e-05 -1.0310148284e+00
3.3478221712e-05 -1.0310149313e+00
3.3710398149e-05 -1.0310150348e+00
3.3944184763e-05 -1.0310151391e+00
3.4179592722e-05 -1.0310152441e+00
3.4416633271e-05 -1.0310153498e+00
3.4655317730e-05 -1.0310154563e+00
3.4895657502e-05 -1.0310155635e+00
3.5137664066e-05 -1.0310156714e+00
3.5381348981e-05 -1.0310157801e+00
3.5626723888e-05 -1.0310158895e+00
3.5873800505e-05 -1.0310159997e+00
3.6122590636e-05 -1.0310161107e+00
3.6373106163e-05 -1.0310162224e+00
3.6625359053e-05 -1.0310163349e+00
3.6879361354e-05 -1.0310164482e+00
3.7135125198e-05 -1.0310165623e+00
