z H(z)_km_s_Mpc chi_Mpc
3.8119059530e+00 3.7429824321e+02 7.4380476337e+03
3.8219109555e+00 3.7545190579e+02 7.4460487828e+03
3.8319159580e+00 3.7660684836e+02 7.4540253707e+03
3.8419209605e+00 3.7776306905e+02 7.4619775206e+03
3.8519259630e+00 3.7892056601e+02 7.4699053551e+03
3.8619309655e+00 3.8007933737e+02 7.4778089959e+03
3.8719359680e+00 3.8123938130e+02 7.4856885637e+03
3.8819409705e+00 3.8240069598e+02 7.4935441787e+03
3.8919459730e+00 3.8356327957e+02 7.5013759601e+03
3.9019509755e+00 3.8472713028e+02 7.5091840263e+03
3.9119559780e+00 3.8589224630e+02 7.5169684948e+03
3.9219609805e+00 3.8705862584e+02 7.5247294826e+03
3.9319659830e+00 3.8822626712e+02 7.5324671055e+03
3.9419709855e+00 3.8939516837e+02 7.5401814790e+03
3.9519759880e+00 3.9056532784e+02 7.5478727173e+03
3.9619809905e+00 3.9173674377e+02 7.5555409343e+03
3.9719859930e+00 3.9290941442e+02 7.5631862429e+03
3.9819909955e+00 3.9408333806e+02 7.5708087552e+03
3.9919959980e+00 3.9525851296e+02 7.5784085826e+03
4.0020010005e+00 3.9643493741e+02 7.5859858360e+03
4.0120060030e+00 3.9761260971e+02 7.5935406251e+03
4.0220110055e+00 3.9879152817e+02 7.6010730592e+03
4.0320160080e+00 3.9997169109e+02 7.6085832469e+03
4.0420210105e+00 4.0115309679e+02 7.6160712959e+03
4.0520260130e+00 4.0233574362e+02 7.6235373132e+03
4.0620310155e+00 4.0351962990e+02 7.6309814052e+03
4.0720360180e+00 4.0470475400e+02 7.6384036775e+03
4.0820410205e+00 4.0589111425e+02 7.6458042351e+03
4.0920460230e+00 4.0707870904e+02 7.6531831823e+03
4.1020510255e+00 4.0826753673e+02 7.6605406226e+03
4.1120560280e+00 4.0945759571e+02 7.6678766590e+03
4.1220610305e+00 4.1064888436e+02 7.6751913935e+03
4.1320660330e+00 4.1184140109e+02 7.6824849280e+03
4.1420710355e+00 4.1303514430e+02 7.6897573631e+03
4.1520760380e+00 4.1423011240e+02 7.6970087991e+03
4.1620810405e+00 4.1542630383e+02 7.7042393357e+03
4.1720860430e+00 4.1662371700e+02 7.7114490717e+03
4.1820910455e+00 4.1782235036e+02 7.7186381055e+03
4.1920960480e+00 4.1902220235e+02 7.7258065347e+03
4.2021010505e+00 4.2022327143e+02 7.7329544563e+03
4.2121060530e+00 4.2142555606e+02 7.7400819667e+03
4.2221110555e+00 4.2262905471e+02 7.7471891618e+03
4.2321160580e+00 4.2383376585e+02 7.7542761367e+03
4.2421210605e+00 4.2503968796e+02 7.7613429859e+03
4.2521260630e+00 4.2624681954e+02 7.7683898034e+03
4.2621310655e+00 4.2745515909e+02 7.7754166825e+03
4.2721360680e+00 4.2866470511e+02 7.7824237160e+03
4.2821410705e+00 4.2987545612e+02 7.7894109960e+03
4.2921460730e+00 4.3108741062e+02 7.7963786141e+03
4.3021510755e+00 4.3230056716e+02 7.8033266613e+03
4.3121560780e+00 4.3351492426e+02 7.8102552280e+03
4.3221610805e+00 4.3473048046e+02 7.8171644041e+03
4.3321660830e+00 4.3594723432e+02 7.8240542787e+03
4.3421710855e+00 4.3716518438e+02 7.8309249406e+03
4.3521760880e+00 4.3838432921e+02 7.8377764780e+03
4.3621810905e+00 4.3960466737e+02 7.8446089784e+03
4.3721860930e+00 4.4082619744e+02 7.8514225289e+03
4.3821910955e+00 4.4204891800e+02 7.8582172159e+03
4.3921960980e+00 4.4327282764e+02 7.8649931254e+03
4.4022011006e+00 4.4449792494e+02 7.8717503429e+03
4.4122061031e+00 4.4572420852e+02 7.8784889531e+03
4.4222111056e+00 4.4695167697e+02 7.8852090404e+03
4.4322161081e+00 4.4818032891e+02 7.8919106887e+03
4.4422211106e+00 4.4941016296e+02 7.8985939813e+03
4.4522261131e+00 4.5064117774e+02 7.9052590009e+03
4.4622311156e+00 4.5187337189e+02 7.9119058297e+03
4.4722361181e+00 4.5310674404e+02 7.9185345497e+03
4.4822411206e+00 4.5434129283e+02 7.9251452419e+03
4.4922461231e+00 4.5557701692e+02 7.9317379872e+03
