T,dP_dT
0.00013237913190109228,-0.0030162092538549025
0.0001354653150861959,-0.0029833875699370924
0.0001386234471239265,-0.002950661740108071
0.00014185520537336578,-0.0029180406462023154
0.00014516230629822908,-0.00288553281232171
0.00014854650637851954,-0.0028531464031229816
0.00015200960304343652,-0.0028208892343261063
0.000155553435626033,-0.002788768773014
0.00015917988634012932,-0.002756792170703758
0.0001628908812800014,-0.002724966250473986
0.0001666883914433756,-0.0026932975309928286
0.0001705744337782723,-0.0026617922242012674
0.00017455107225425505,-0.0026304562498174664
0.0001786204189586539,-0.002599295244042232
0.0001827846352183453,-0.002568314571456476
0.00018704593274768426,-0.002537519317604924
0.00019140657482319832,-0.002506914314584465
0.00019586887748566773,-0.0024765041421715775
0.00020043521077022983,-0.002446293135842767
0.00020510799996516094,-0.00241628538730261
0.00020988972690000492,-0.0023864847638308
0.00021478293126373172,-0.002356894909637924
0.00021979021195362667,-0.002327519245399262
0.00022491422845562678,-0.0022983609910697564
0.00023015770225683687,-0.002269423153910438
0.00023552341829097623,-0.0022407085519265684
0.0002410142264175231,-0.002212219809443554
0.000246633042935343,-0.0021839593639000595
0.0002523828521316044,-0.0021559294777026583
0.0002582667078668045,-0.0021281322349553378
0.0002642877351967475,-0.0021005695597576175
0.0002704491320323359,-0.0020732432099156844
0.000276754170838057,-0.0020461547860117723
0.00028320620037006715,-0.002019305734272682
0.00028980864745479514,-0.0019926973625155227
0.00029656501880901185,-0.0019655064176430184
0.0003034789029023307,-0.0019188027808580703
0.0003105539718631292,-0.001838361071879729
0.000317793983428904,-0.001743268876231703
0.0003252027829420944,-0.0016608412535176315
0.00033278430539243555,-0.0016135929603497763
0.0003405425775069247,-0.0016194953998574005
0.0003484817198885122,-0.0016922231884464432
0.0003566059492046515,-0.0018413906723305585
0.00036491958042687156,-0.002072778747582061
0.0003734270291225613,-0.002388552352728688
0.00038213281380018195,-0.0027874689388917703
0.0003910415583091549,-0.0032650782612125852
0.00040015799429569786,-0.003813913793672546
0.000409486963715915,-0.004423676072602514
0.0004190334214074748,-0.005081408255640543
0.00042880243772124265,-0.005771664180414163
0.00043879920121426435,-0.006476669202225993
0.0004490290214055327,-0.007176474062511297
0.00045949733159599904,-0.007849102053498388
0.000470209691754329,-0.008470689717232837
0.00048117179146993377,-0.009016951952299167
0.0004923894529748468,-0.009492498440713839
0.0005038686342360499,-0.009923239832814831
0.0005156154321198907,-0.010319078489529456
0.000527636085630274,-0.010681616936115992
0.0005399369792223449,-0.011012397425357793
0.000552524646193425,-0.011312903971719069
0.0005654057721530025,-0.011584564328576307
0.0005785871985736175,-0.011828751893672365
0.0005920759264245317,-0.012046787563591354
0.0006058791198901097,-0.012239941520074012
0.0006200041101748875,-0.012409434965200403
0.0006344583993973498,-0.01255644180449325
0.000649249664574484,-0.012682090268248193
0.0006643857616992258,-0.012787464484938808
0.000679874729912965,-0.01287360600731958
0.0006957247957753244,-0.01294151528319093
0.000711944377633481,-0.01299215308647112
0.0007285420900933508,-0.013026441894703455
0.0007455267485950115,-0.013045267228832652
0.0007629073740947919,-0.013049478945170149
0.0007806931978565164,-0.013030896362358857
0.0007988936663544495,-0.012803015540186155
0.0008175184462905427,-0.012228042847455064
0.0008365774297286498,-0.011493162561284563
0.000856080739348438,-0.010863854568996157
0.0008760387338217832,-0.010561951946312532
0.0008964620133145078,-0.010767547200205353
0.0009173614251163808,-0.01162083307222152
0.0009387480694023712,-0.01322387992508253
0.000960633305128216,-0.015642351671289318
0.0009830287560634316,-0.018907162153797397
0.0010059463169649718,-0.023016073819457125
0.0010293981598948213,-0.027935240481319856
0.0010533967406848635,-0.033600695919989286
0.001077954805552471,-0.039919790002460605
0.0011030853978703243,-0.04677257397030041
0.001128801865094058,-0.054013136489219384
0.0011551178658514112,-0.06147089199917302
0.0011820473771966507,-0.06895182287900718
0.0012096047020341166,-0.0762396768751702
0.0012378044767148357,-0.08309712120707927
0.0012666616788102349,-0.08928137479513784
0.0012961916350670867,-0.09483264287896476
0.0013264100295479091,-0.09999600347918844
0.001357332911961144,-0.10485991013538344
0.001388976706185539,-0.10943566385351271
0.0014213582189932618,-0.11373419860992218
0.001454494648976375,-0.11776609237588806
0.0014884035956814188,-0.12154157782777121
0.0015231030689569485,-0.12507055275147597
0.001558611498518994,-0.1283625901470558
0.0015949477437395205,-0.13142694804149233
0.0016321311036630892,-0.13427257902363351
0.0016701813272570398,-0.13690813950370026
0.0017091186239006372,-0.13934199870235156
0.0017489636741187533,-0.14158224738571745
0.0017897376405657853,-0.14363670634563624
0.0018314621792656467,-0.14551293463532228
0.0018741594511137954,-0.14721823756756552
0.0019178521336474142,-0.1487596744812255
0.0019625634330899884,-0.15014406628196472
0.0020083170966766857,-0.15137800276527766
0.0020551374252670757,-0.15246784972690008
0.002103049286251897,-0.15341975586566933
0.0021520781267607174,-0.1542396594854714
0.0022022499871775137,-0.1549332950029116
0.002253591514971335,-0.15550619926550238
0.0023061299788494126,-0.15596371768335424
0.002359893283240214,-0.15631101018365462
0.002414909983114153,-0.15655305698958943
0.002471209299149812,-0.15669466423062697
0.002528821133253741,-0.15674046938749076
0.002587776084442071,-0.15669494657919786
0.00264810546509238,-0.15656241169193788
0.002709841317574441,-0.1563470273583735
0.002773016431268689,-0.156052807790297
0.0028376643599814385,-0.1556836234680781
0.0029038194397661117,-0.15524320569191438
0.002971516807159932,-0.154735150998022
0.003040792417845774,-0.15416292544412497
0.003111683065749085,-0.1535298687687876
0.003184226402580011,-0.15283919842524735
0.00325846095783112,-0.15209401349694576
0.0033344261592413286,-0.15129729849516593
0.003412162353736916,-0.15045192704476945
0.0034917108288607325,-0.14956066545844235
0.0035731138347010007,-0.1486261762053143
0.00365641460633134,-0.14765102127452698
0.003741657386773942,-0.14663766543878642
0.0038288874504980967,-0.1455884794190537
0.003918151127466536,-0.1445057429551186
0.0040094958277423825,-0.14339164778257305
0.004102970066669762,-0.14224830052079745
0.004198623490641454,-0.14107772547348935
0.004296506903467278,-0.13988186734388405
0.0043966722933572,-0.13866259386798183
0.004499172860533514,-0.13742169836826265
0.0046040630454867405,-0.13616090222942318
0.004711398557890271,-0.1348818572986
0.004821236406189097,-0.13358614821251355
0.004933634927878356,-0.1322752946533633
0.005048653820487762,-0.1309507535361224
0.005166354173288383,-0.12961392112817427
0.005286798499738609,-0.12826613510402785
0.005410050770686533,-0.12690867653725982
0.005536176448346397,-0.12554277183051238
0.005665242521067126,-0.12416959458634977
0.0057973175389114395,-0.1227902674197615
0.005932471650064416,-0.12140586371517328
0.006070776638090869,-0.12001740932803749
0.006212305960061302,-0.11862588423437519
0.006357134785566707,-0.11723222412862118
0.006505340036642926,-0.11583732197119236
0.006657000428625774,-0.11444202948845182
0.006812196511958626,-0.1130471586246039
0.006971010714974675,-0.11165348294899824
0.007133527387676587,-0.11026173901877465
0.0072998328465367695,-0.1088726276983745
0.007470015420342143,-0.10748681543767742
0.007644165497107638,-0.10610493550910968
0.007822375572083422,-0.10472758920622315
0.008004740296881335,-0.10335534700387695
0.008191356529746606,-0.10198874968120496
0.008382323387001577,-0.10062830940885358
0.008577742295688737,-0.09927451080174783
0.008777717047441045,-0.09792781193760516
0.008982353853608124,-0.09658864534277611
0.009191761401667648,-0.09525741894666157
0.009406050912951845,-0.09393451700498548
0.009625336201719788,-0.09262030099303555
0.009849733735606863,-0.09131511047017717
0.010079362697483487,-0.09001926391625795
0.010314345048756012,-0.08873305954026837
0.010554805594143265,-0.08745677606315366
0.010800872047963348,-0.08619067347446653
0.011052675101965738,-0.0849349937642192
0.011310348494744792,-0.08368996163097449
0.011574029082771487,-0.08245578516586327
0.01184385691308116,-0.08123265651439059
0.012119975297655813,-0.08002075251604454
0.01240253088954052,-0.0788202353227131
0.01269167376073435,-0.07763125299622455
0.012987557481897172,-0.07645394008594132
0.013290339203914698,-0.07528841818671397
0.013600179741365046,-0.07413479647842217
0.013917243657931202,-0.07299317224676319
0.014241699353804692,-0.07186363138655533
0.014573719155126947,-0.07074624888801315
0.01491347940551581,-0.06964108930605468
0.015261160559725831,-0.06854820721380323
0.015616947279492074,-0.06742100447502138
0.015981028531608373,-0.06534729026485922
0.01635359768829208,-0.06167750684697705
0.01673485262988866,-0.05734383829715383
0.017124995849970643,-0.053631724830894574
0.01752423456288679,-0.05160196206024377
0.017932780813818557,-0.05210238638337694
0.018350851591402338,-0.05577911017293394
0.01877866894297734,-0.06308732119534038
0.019216460092520045,-0.07430166030105217
0.019664457561328504,-0.08952619104505737
0.02012289929151978,-0.10870397452297056
0.020592028772406713,-0.13162626234274016
0.021072095169820875,-0.15794132029482824
0.021563353458450493,-0.18716289493462393
0.022066064557263544,-0.21867833494933833
0.022580495468088064,-0.25175637884799074
0.02310691941742314,-0.28555462018775923
0.023645616001556034,-0.31912666123039074
0.024196871335062396,-0.3514289656127414
0.024760978202768555,-0.3813274203103812
0.025338236215256486,-0.4076789005831234
0.02592895196799412,-0.4307322712196434
0.026533439204175512,-0.45171040181360916
0.027152018981357297,-0.4710543202500332
0.027785019841980015,-0.48883682555811686
0.028432777987864807,-0.5051281417552999
0.029095637458778204,-0.5199959945805068
0.02977395031515985,-0.5335056863291173
0.030468076825110164,-0.5457201688243073
0.031178385655737304,-0.5567001145596808
0.03190525406896504,-0.5665039860476182
0.032649068121905565,-0.5751881034076067
0.03341022287190357,-0.5828067102282759
0.034189122586360615,-0.5894120377371628
0.03498618095745122,-0.5950543673112992
0.03580182132184455,-0.5997820913616901
0.036636476885548615,-0.6036417726244926
0.037490590953996324,-0.6066782018912217
0.03836461716749552,-0.6089344542100752
0.03925901974216814,-0.6104519435900063
0.04017427371650645,-0.6112704762389624
0.04111086520367732,-0.6114283023671225
0.04206929164970846,-0.6109621665858593
0.043050062097693846,-0.609907356932572
0.044053697458158646,-0.6082977525512331
0.04508073078572718,-0.6061658700579846
0.0461317075622409,-0.6035429086209899
0.047207185986476816,-0.6004587937830137
0.048307737270620134,-0.5969422200550181
0.04943394594364862,-0.5930206923085971
0.05058641016178988,-0.5887205659946702
0.05176574202621634,-0.5840670862153738
0.05297256790814677,-0.5790844256757146
0.05420752878152695,-0.5737957215413452
0.055471280563466153,-0.5682231112279246
0.056764494462610345,-0.5623877671475842
0.058087857335637094,-0.5563099304373236
0.059442072052061465,-0.5500089436939364
0.06082785786754676,-0.5435032827393677
0.06224595080591832,-0.5368105874403396
0.06369710405008329,-0.5299476916054078
0.065182088342064,-0.5229306519822722
0.06670169239235735,-0.5157747763777838
0.06825672329883778,-0.5084946509226644
0.06984800697542613,-0.5011041665025155
0.07147638859075219,-0.4936165443763328
0.07314273301704384,-0.4860443610033442
0.07484792528948132,-0.4783995720984814
0.07659287107626045,-0.47069353593657287
0.07837849715961458,-0.4629370359247856
0.08020575192805061,-0.4551403024625879
0.08207560588006087,-0.4473130341080035
0.08398905213957775,-0.43946441806863834
0.08594710698344561,-0.43160315003552807
0.08795081038118956,-0.4237374533774592
0.09000122654736799,-0.4158750977131126
0.09209944450680226,-0.4080234168779595
0.09424657867298372,-0.4001893263025148
0.09644376943996524,-0.3923793398181192
0.0986921837880516,-0.38459958590618143
0.10099301590361051,-0.37685582340633694
0.10334748781333343,-0.3691534566987633
0.10575685003328299,-0.36149755037540876
0.10822238223307189,-0.35389284341467686
0.1107453939155258,-0.3463437628737816
0.11332722511219159,-0.3388544371124793
0.11596924709505983,-0.3314287085618283
0.1186728631048801,-0.32407014605110174
0.12143950909645548,-0.31678205670577436
0.12427065450131236,-0.3095674974291429
0.12716780300815045,-0.30242928597990515
0.1301324933614877,-0.29537001165764853
0.133166300178924,-0.28839204560793485
0.13627083478745822,-0.28149755075841404
0.13944774607930224,-0.2746884913970878
0.14269872138764683,-0.2679666424035675
0.14602548738284454,-0.2613335981438757
0.14942981098948527,-0.2547907810391693
0.15291350032485218,-0.24833944981836883
0.1564784056592556,-0.24198070746449848
0.16012642039875574,-0.23571550886430165
0.16385948209079573,-0.2295446681704048
0.16767957345327905,-0.22346886588507323
0.17158872342763834,-0.21748865567437556
0.17558900825645438,-0.21160447092137158
0.17968255258619795,-0.20581663102656328
0.18387153059568018,-0.2001253474639047
0.1881581671508106,-0.1945307296001178
0.19254473898627647,-0.18903279028509684
0.19703357591477055,-0.18363145122086252
0.20162706206441033,-0.17832654811634358
0.20632763714500502,-0.17311783563504196
0.2111377977438435,-0.1680049921425059
0.2160600986516914,-0.16298762426026223
0.22109715421970105,-0.1580652712327052
0.2262516397479558,-0.15323740911328285
0.2315262929063854,-0.14850345477608798
0.2369239151888078,-0.14386276975885415
0.24244737340086894,-0.13931466394308073
0.24809960118267185,-0.13485839907697625
0.2538836005669023,-0.13049319214663135
0.2598024435732801,-0.12621821860073454
0.26585927384018165,-0.12203261543397745
0.27205730829430136,-0.1179354841341143
0.2783998388592378,-0.11392589349755307
0.28489023420391263,-0.11000288231813557
0.2915319415317509,-0.10616546195369243
0.2983284884115728,-0.10241261877475213
0.30528348465116956,-0.09874331649973209
0.312400624214558,-0.09515649842071884
0.319683687183933,-0.09165108952388289
0.32713654176735874,-0.08822599850841922
0.33476314635326665,-0.08488011970779934
0.342567551612849,-0.08161233491697317
0.35055390265146746,-0.07842151512908108
0.35872644121021663,-0.0753065221851038
0.36708950791881395,-0.07226621033977146
0.37564754460101146,-0.0692994277469425
0.384405096633754,-0.06640501786756697
0.3933668153613372,-0.06358182080325764
0.40253746056584705,-0.06082867455836478
0.4119219029951933,-0.05814441623338262
0.4215251269500799,-0.055527883152408475
0.43135223293128533,-0.052977913927304957
0.4414084403486604,-0.05049334946109391
0.4516990902932807,-0.04807303389305431
0.4622296483742272,-0.04571581548791064
0.47300570762150146,-0.04342054747139762
0.4840329914566168,-0.04118608881444636
0.4953173567324439,-0.03901130496810698
0.5068647968439245,-0.036895068551307725
0.518681444911306,-0.034836259993439915
0.5307735770375881,-0.03283376813369975
0.5431476156419098,-0.030886490779056735
0.5558101328706495,-0.028993335222641897
0.5687678540880483,-0.027153218724293268
0.5820276614482107,-0.02536506895493831
0.5955965975503807,-0.023627824406416722
0.6094818691794339,-0.021940434768307367
0.623690851133572,-0.02030186127325961
0.6382310901412546,-0.01871107701227119
0.6531103088694448,-0.017167067221306304
0.668336410025303,-0.01566882954059658
0.6839174805535015,-0.014215374247918328
0.6998617959313941,-0.012813577357091068
0.7161778245643184,-0.012646291076849467
0.7328742322833682,-0.014997424587956897
0.7499598869480216,-0.01881715128706888
0.767443863156073,-0.022013011323134976
0.785335447063368,-0.02287943585027152
0.8036441413159008,-0.020064626055827935
0.8223796700968967,-0.012541236411854846
0.841551984291557,0.0004195953650896183
0.8611712667722103,0.01927126967681887
0.8812479378066792,0.044212144709179044
0.9017926605927318,0.07520365750793254
0.9228163469215601,0.11198641182187372
0.9443301629732922,0.1540944655515155
0.9663455352476179,0.20086802260272973
0.9888741566326669,0.2514647097492299
1.0119279926153917,0.3048695982164151
1.0355192876367145,0.3599041116539953
1.059660571594844,0.41523394657649904
1.0843646665002007,0.46937611788723144
1.1096446932854935,0.5207052304790056
1.1355140787745586,0.5674717427212917
1.1619865628136654,0.6097046482195932
1.1890762055690756,0.6493328668438904
1.216797394994732,0.6874104087412509
1.2451648544740432,0.7240609891964834
1.274193650639824,0.759388708369974
1.3038992013765407,0.7934796051425559
1.3342972840091187,0.8264030063786788
1.3654040436826531,0.8582127013600711
1.3972360019374808,0.888947967757902
1.4298100654841637,0.9186344726664716
1.463143535183044,0.9472850698305717
1.4972541152331444,0.9749005121887334
1.532159922575288,1.0014700971623516
1.5678794965144378,1.0269722606908511
1.6044318085663625,1.0513751347969111
1.6418362725338593,1.0746370824199394
1.6801127548178876,1.0967072223414736
1.719281584969087,1.1175259562075772
1.7593635664852851,1.137025508898075
1.8003799878607303,1.1551304927707746
1.8423526338929184,1.1717585055928246
1.8853037972530158,1.1868207712352563
1.9292562903260293,1.2002228314267689
1.9742334573270048,1.2118652960168594
2.0202591866996973,1.2216446582666511
2.06735792380429,1.22945418065049
2.1155546839009083,1.2351848554975133
2.1648750654358198,1.238726443517577
2.2153452636373765,1.239968591831364
2.266992084428926,1.238802031554871
2.319842958666075,1.2351198532729895
2.373925956705868,1.2284323314728585
2.4292698033156244,1.2177310163188786
2.4859038929293424,1.2028996630252449
2.543858305259787,1.184873857921283
2.6031638212745376,1.1645788809819784
2.6638519395444935,1.1428986457088381
2.725954892973516,1.1206653995379685
2.7895056659180875,1.0986490812814795
2.854538011706092,1.0775463739934814
2.921086470564008,1.057969498040142
2.989186387962046,1.0404347956574023
3.0588739333869683,1.0253511648240232
3.1301861195525644,1.0130084067753227
3.203160822057984,1.0035655578382272
3.2778367995043696,0.9970392823756457
3.3542537140804716,0.993292409373872
3.43245215262818,0.9920227004698502
3.512473648199163,0.9927519418692203
3.5943607021140593,0.9948154565209236
3.678156806535939,0.9973521359583521
3.7639064675700284,0.9992950932602281
3.8516552289019614,0.999986905068727
3.941449695987114,0.9999999999999848
4.033337560803871,0.9999999999999848
4.127367627183972,0.9999999999999846
4.223589836733384,0.9999999999999846
4.322055295357484,0.9999999999999846
4.422816300404612,0.999999999999985
4.525926368442446,0.9999999999999845
4.6314402636819185,0.9999999999999843
4.739414027063797,0.9999999999999841
4.849905006023358,0.9999999999999846
4.962971884948977,0.9999999999999848
5.078674716350799,0.9999999999999852
5.197074952756061,0.9999999999999855
5.318235479347992,0.999999999999985
5.442220647365626,0.9999999999999852
5.569096308282276,0.9999999999999852
5.6989298487808275,0.9999999999999857
5.831790226544397,0.9999999999999853
5.9677480068814095,0.9999999999999855
6.106875400204504,0.9999999999999857
6.24924630038321,0.9999999999999859
6.394936323990734,0.9999999999999856
