T,P_calc
0.5431476156419098,0.9044370383432213
0.5558101328706495,0.9040582259459179
0.5687678540880483,0.9036947618753363
0.5820276614482107,0.9033468716139736
0.5955965975503807,0.9030147810654403
0.6094818691794339,0.9026987165952531
0.623690851133572,0.9023989050722658
0.6382310901412546,0.902115573910738
0.6531103088694448,0.9018489511130545
0.668336410025303,0.9015992653130963
0.6839174805535015,0.901366745820275
0.6998617959313941,0.9011516226642344
0.7161778245643184,0.9009541266402292
0.7328742322833682,0.9007744893551876
0.7499598869480216,0.9006129432744668
0.767443863156073,0.9004697217693108
0.785335447063368,0.9003450591650167
0.8036441413159008,0.9002391907898235
0.8223796700968967,0.9001523530245293
0.841551984291557,0.900084783352849
0.8611712667722103,0.9000367204125229
0.8812479378066792,0.9000084040471867
0.9017926605927318,0.900005914867376
0.9228163469215601,0.9009277956409313
0.9443301629732922,0.9033936133142069
0.9663455352476179,0.907370072389762
0.9888741566326669,0.9128308074577859
1.0119279926153917,0.9197557834890687
1.0355192876367145,0.9281307559885356
1.059660571594844,0.9379467815807017
1.0843646665002007,0.949199770639654
1.1096446932854935,0.9618900744556157
1.1355140787745586,0.9760221001730784
1.1619865628136654,0.9916039473635374
1.1890762055690756,1.0086470606276319
1.216797394994732,1.0271658930731415
1.2451648544740432,1.047177575900959
1.274193650639824,1.0687015896634053
1.3038992013765407,1.0917594330493134
1.3342972840091187,1.116374285308392
1.3654040436826531,1.1425706586629012
1.3972360019374808,1.1703740372763896
1.4298100654841637,1.1998104995654146
1.463143535183044,1.2309063208587079
1.4972541152331444,1.2636875536367032
1.532159922575288,1.2981795828300593
1.5678794965144378,1.3344066539258825
1.6044318085663625,1.3723913719316296
1.6418362725338593,1.4121541695857847
1.6801127548178876,1.4537127435876391
1.719281584969087,1.497081458051761
1.7593635664852851,1.542270714881475
1.8003799878607303,1.589286291304622
1.8423526338929184,1.6381286454281203
1.8853037972530158,1.6887921913483763
1.9292562903260293,1.7412645461044163
1.9742334573270048,1.7955257515801237
2.0202591866996973,1.8515474753502286
2.06735792380429,1.9092921954186235
2.1155546839009083,1.9687123748122721
2.1648750654358198,2.0297496330618525
2.2153452636373765,2.0923339227114632
2.266992084428926,2.1563827201413077
2.319842958666075,2.221800241143352
2.373925956705868,2.288476692841659
2.4292698033156244,2.356287574674007
2.4859038929293424,2.425093042224134
2.543858305259787,2.494737348685712
2.6031638212745376,2.565048379618333
2.6638519395444935,2.635837297387879
2.725954892973516,2.7068983122320907
2.7895056659180875,2.778008597218386
2.854538011706092,2.848928364425829
2.921086470564008,2.9194011194469365
2.989186387962046,2.9891541107293826
3.0588739333869683,3.0588739333869683
3.1301861195525644,3.1301861195525644
3.203160822057984,3.203160822057984
3.2778367995043696,3.2778367995043696
3.3542537140804716,3.3542537140804716
3.43245215262818,3.43245215262818
3.512473648199163,3.512473648199163
3.5943607021140593,3.5943607021140593
3.678156806535939,3.678156806535939
3.7639064675700284,3.7639064675700284
3.8516552289019614,3.8516552289019614
3.941449695987114,3.941449695987114
4.033337560803871,4.033337560803871
4.127367627183972,4.127367627183972
4.223589836733384,4.223589836733384
4.322055295357484,4.322055295357484
4.422816300404612,4.422816300404612
4.525926368442446,4.525926368442446
4.6314402636819185,4.6314402636819185
4.739414027063797,4.739414027063797
4.849905006023358,4.849905006023358
4.962971884948977,4.962971884948977
5.078674716350799,5.078674716350799
5.197074952756061,5.197074952756061
5.318235479347992,5.318235479347992
5.442220647365626,5.442220647365626
5.569096308282276,5.569096308282276
