z,r_s_lcdm_Mpc,r_s_psitmg_Mpc,delta_r_s_Mpc
1356.0669456066946,125.65561446219441,117.51038639541555,8.145228066778856
1358.1589958158995,125.5212426396068,117.38462164210691,8.13662099749989
1360.2510460251046,125.3871766360976,117.25914339478584,8.128033241311769
1362.3430962343095,125.25341535515531,117.13395062509495,8.119464730060358
1364.4351464435147,125.1199577057083,117.00904230978445,8.110915395923854
1366.5271966527196,124.98680260209079,116.88441743067999,8.102385171410802
1368.6192468619247,124.85394896400774,116.76007497464987,8.093873989357874
1370.7112970711296,124.72139571650081,116.63601393357283,8.085381782927982
1372.8033472803347,124.58914178991475,116.51223330430665,8.0769084856081
1374.8953974895398,124.45718611986358,116.38873208865621,8.068454031207366
1376.9874476987447,124.32552764719709,116.26550929334202,8.060018353855071
1379.0794979079496,124.19416531796813,116.14256392996955,8.051601387998574
1381.1715481171548,124.06309808339915,116.01989501499779,8.043203068401368
1383.26359832636,123.93232489985036,115.89750156970914,8.034823330141222
1385.3556485355648,123.80184472878656,115.77538262017853,8.02646210860803
1387.44769874477,123.67165653674564,115.65353719724345,8.018119339502192
1389.5397489539748,123.54175929530662,115.53196433647437,8.009794958832245
1391.63179916318,123.41215198105776,115.41066307814424,8.001488902913522
1393.7238493723848,123.28283357556555,115.28963246719974,7.99320110836581
1395.81589958159,123.15380306534325,115.16887155323155,7.9849315121117
1397.9079497907949,123.02505944182037,115.04837939044582,7.976680051374558
1400.0,122.89660170131181,114.92815503763477,7.968446663677042
