alpha,k,P_R
-8.000000e-02,6.579332e-01,1.957975e-09
-8.000000e-02,7.564633e-01,1.949278e-09
-8.000000e-02,8.697490e-01,1.940620e-09
-8.000000e-02,1.000000e+00,1.932000e-09
-8.000000e-02,1.149757e+00,1.923418e-09
-8.000000e-02,1.321941e+00,1.914875e-09
-8.000000e-02,1.519911e+00,1.906370e-09
-8.000000e-02,1.747528e+00,1.897902e-09
-8.000000e-02,2.009233e+00,1.889472e-09
-8.000000e-02,2.310130e+00,1.881079e-09
-8.000000e-02,2.656088e+00,1.872724e-09
-8.000000e-02,3.053856e+00,1.864406e-09
-8.000000e-02,3.511192e+00,1.856125e-09
-8.000000e-02,4.037017e+00,1.847880e-09
-8.000000e-02,4.641589e+00,1.839672e-09
-8.000000e-02,5.336699e+00,1.831501e-09
-8.000000e-02,6.135907e+00,1.823366e-09
-8.000000e-02,7.054802e+00,1.815267e-09
-8.000000e-02,8.111308e+00,1.807204e-09
-8.000000e-02,9.326033e+00,1.799177e-09
-8.000000e-02,1.072267e+01,1.791185e-09
-8.000000e-02,1.232847e+01,1.783229e-09
-8.000000e-02,1.417474e+01,1.775308e-09
-8.000000e-02,1.629751e+01,1.767423e-09
-8.000000e-02,1.873817e+01,1.759572e-09
-8.000000e-02,2.154435e+01,1.751757e-09
-8.000000e-02,2.477076e+01,1.743976e-09
-8.000000e-02,2.848036e+01,1.736229e-09
-8.000000e-02,3.274549e+01,1.728518e-09
-8.000000e-02,3.764936e+01,1.720840e-09
-8.000000e-02,4.328761e+01,1.713196e-09
-8.000000e-02,4.977024e+01,1.705587e-09
-8.000000e-02,5.722368e+01,1.698011e-09
-8.000000e-02,6.579332e+01,1.690469e-09
-8.000000e-02,7.564633e+01,1.682960e-09
-8.000000e-02,8.697490e+01,1.675485e-09
-8.000000e-02,1.000000e+02,1.668043e-09
-7.000000e-02,1.000000e-04,2.629676e-09
-7.000000e-02,1.149757e-04,2.617849e-09
-7.000000e-02,1.321941e-04,2.606076e-09
-7.000000e-02,1.519911e-04,2.594356e-09
-7.000000e-02,1.747528e-04,2.582688e-09
-7.000000e-02,2.009233e-04,2.571073e-09
-7.000000e-02,2.310130e-04,2.559510e-09
-7.000000e-02,2.656088e-04,2.547999e-09
-7.000000e-02,3.053856e-04,2.536540e-09
-7.000000e-02,3.511192e-04,2.525132e-09
-7.000000e-02,4.037017e-04,2.513775e-09
-7.000000e-02,4.641589e-04,2.502470e-09
-7.000000e-02,5.336699e-04,2.491216e-09
-7.000000e-02,6.135907e-04,2.480012e-09
-7.000000e-02,7.054802e-04,2.468858e-09
-7.000000e-02,8.111308e-04,2.457755e-09
-7.000000e-02,9.326033e-04,2.446702e-09
-7.000000e-02,1.072267e-03,2.435698e-09
-7.000000e-02,1.232847e-03,2.424744e-09
-7.000000e-02,1.417474e-03,2.413839e-09
-7.000000e-02,1.629751e-03,2.402983e-09
-7.000000e-02,1.873817e-03,2.392176e-09
-7.000000e-02,2.154435e-03,2.381418e-09
-7.000000e-02,2.477076e-03,2.370708e-09
-7.000000e-02,2.848036e-03,2.360046e-09
