T_Gyr,dchi2_smooth
0.0005868133051451479,50.25582060262265
0.0006004744554079493,48.99860805869529
0.000614453640427064,47.772380019276326
0.0006287582641256067,46.576382684109454
0.0006433959027917474,45.409880386877106
0.0006583743090914048,44.27215516026205
0.0006737014161743662,43.162506302499686
0.0006893853418759888,42.08024998148985
0.0007054343930167287,41.02471882061525
0.0007218570698017513,39.99526152105627
0.0007386620703229793,38.99124247048656
0.0007558582951659354,38.01204136390465
0.0007734548521238474,37.057052848504796
0.0007914610610214851,36.125686165785744
0.0008098864586513102,35.21736479754602
0.0008287408038245284,34.33152612880141
0.000848034082539744,33.4676211239311
0.0008677765132719287,32.62511398823042
0.0008879785523845319,31.803481862525228
0.0009086508996675734,31.00221451169952
0.0009298045040046778,30.220814021944047
0.0009514505691720236,29.45879451133593
0.0009736005597723092,28.715681833079405
0.000996266207306847,27.99101330143948
0.0010194595163890332,27.284337419364313
0.0010431927711024528,26.595213607942355
0.0010674785415070187,25.92321194070281
0.0010923296902965582,25.267912897248898
0.001117759379611408,24.628907110553325
0.0011437810780095894,24.0057951252002
0.0011704085676002929,23.39818715855567
0.0011976559513434118,22.80570286817336
0.001225537660519032,22.22797112695127
0.001254068462370792,21.664629802953545
0.001283263467927203,21.115325543805106
0.00131313814000503,20.579713563647022
0.0013437083013990152,20.057457444243177
0.001374990143262238,19.548228924745906
0.0014070002336815937,19.051707712573005
0.0014397555264528893,18.56758129362875
0.0014732733700602485,18.095544740150682
0.001507571516864535,17.635300532112144
0.00154266813250571,17.18655837624044
0.0015785818055240525,16.749035035836886
0.0016153315572053906,16.322454162050104
0.0016529368516555061,15.906546123866107
0.0016914176061090924,15.501047848121178
0.0017307942014787045,15.105702665063284
0.0017710874931492768,14.720260150443108
0.0018123188220239637,14.3444759786592
0.0018545100258271028,13.978111771961776
0.0018976834506703422,13.620934959612734
0.001941861962888,13.272718637774851
0.001987068961147985,12.933241433635406
0.0020333283888446297,12.602287373689187
0.002080664746780067,12.279645748248907
0.0021291031061407934,11.965110989415784
0.0021786691217763683,11.658482545671884
0.0022293890457872096,11.359564760737054
0.002281289741428749,11.06816675502496
0.0023343986973392438,10.78410231292642
0.0023887440420988565,10.507189767268745
0.002444354559127628,10.237251888700682
0.002501259701930326,9.974115782732092
0.0025594896096961493,9.717612783090125
0.002619075123261645,9.46757834700537
0.002680047801445199,9.223851958282918
0.00274243993776184,8.98627703029105
0.002806284577527132,8.754700809923005
0.0028716155353592818,8.528974285249076
0.002938467413088664,8.308952093281702
0.0030068756180843263,8.09449243474877
0.003076876382007093,7.885456984720986
0.0031485067799992936,7.681710811395365
0.0032218047503211836,7.483122292753535
