z,delta_lcdm,delta_k0,delta_ratio_k0_over_lcdm,delta_boost_pct,f_lcdm,f_k0,f_ratio_k0_over_lcdm,f_boost_pct
9.748743718592965735e+00,1.104378566836523134e+01,8.772155387366945334e+00,7.943069207232680284e-01,-2.056930792767319716e+01,9.990382090574743135e-01,1.089508087658437097e+00,1.090556975479761714e+00,9.055697547976171435e+00
9.849246231155779796e+00,1.098947120007572664e+01,8.733140202764262838e+00,7.946824777796481776e-01,-2.053175222203518047e+01,9.990646561143506910e-01,1.089822567534344033e+00,1.090842880753060573e+00,9.084288075306057308e+00
9.949748743718593857e+00,1.093592099013224939e+01,8.694655897373861464e+00,7.950547471236545372e-01,-2.049452528763454495e+01,9.990901429570727688e-01,1.089980223663511882e+00,1.090972852997454057e+00,9.097285299745404785e+00
1.005025125628140792e+01,1.088311741728908189e+01,8.656690473859288915e+00,7.954237873154931249e-01,-2.045762126845068707e+01,9.991147127389853333e-01,1.089980227928905698e+00,1.090946028550435987e+00,9.094602855043598666e+00
1.015075376884422198e+01,1.083104342205995430e+01,8.619232311938626268e+00,7.957896553515373395e-01,-2.042103446484626517e+01,9.991384063089187029e-01,1.089822580372109773e+00,1.090762374352320485e+00,9.076237435232048512e+00
1.025125628140703604e+01,1.077968248394185480e+01,8.582270153265028512e+00,7.961524067197488508e-01,-2.038475932802511537e+01,9.991612623533638882e-01,1.089508109193881413e+00,1.090422687752845787e+00,9.042268775284579618e+00
1.035175879396985010e+01,1.072901859975612027e+01,8.545793087042239833e+00,7.965120954526533348e-01,-2.034879045473466519e+01,9.991833175287202495e-01,1.089038463508123389e+00,1.089928589081773147e+00,8.992858908177314703e+00
1.045226130653266416e+01,1.067903626304267384e+01,8.509790536333312616e+00,7.968687741780081657e-01,-2.031312258219918476e+01,9.992046065843899205e-01,1.088416098937995402e+00,1.089282507071859696e+00,8.928250707185970469e+00
1.055276381909547823e+01,1.062972044444740938e+01,8.474252245023311758e+00,7.972224941672818588e-01,-2.027775058327181412e+01,9.992251624774232122e-01,1.087644256230219098e+00,1.088487657309964662e+00,8.848765730996465351e+00
1.065326633165829229e+01,1.058105657304682978e+01,8.439168265399421998e+00,7.975733053820495133e-01,-2.024266946179504956e+01,9.992450164793631462e-01,1.086726933148180807e+00,1.087548013976634476e+00,8.754801397663447560e+00
1.075376884422110635e+01,1.053303051855733052e+01,8.404528946314112403e+00,7.979212565184182759e-01,-2.020787434815817107e+01,9.992641982758782015e-01,1.085668849984923412e+00,1.086468275215030310e+00,8.646827521503031022e+00
1.085427135678392041e+01,1.048562857438020224e+01,8.370324921899396031e+00,7.982663950495842986e-01,-2.017336049504157103e+01,9.992827360597272834e-01,1.084475409112266142e+00,1.085253822545220848e+00,8.525382254522085645e+00
1.095477386934673447e+01,1.043883744143631631e+01,8.336547100801920962e+00,7.986087672666034587e-01,-2.013912327333965280e+01,9.993006566175539618e-01,1.083152649051000171e+00,1.083910674808590269e+00,8.391067480859026873e+00
1.105527638190954853e+01,1.039264421274738481e+01,8.303186655910899105e+00,7.989484183174861975e-01,-2.010515816825137847e+01,9.993179854109666138e-01,1.081707193608353545e+00,1.082445437188348514e+00,8.244543718834851376e+00
1.115577889447236259e+01,1.034703635872359584e+01,8.270235014552245190e+00,7.992853922446694348e-01,-2.007146077553305474e+01,9.993347466523233580e-01,1.080146196681793791e+00,1.080865245905019423e+00,8.086524590501941390e+00
1.125628140703517666e+01,1.030200171311950186e+01,8.237683849124216806e+00,7.996197320209725845e-01,-2.003802679790274155e+01,9.993509633756079147e-01,1.078477283372082818e+00,1.079177709229600435e+00,7.917770922960043478e+00
1.135678391959799072e+01,1.025752845962275117e+01,8.205525068151215962e+00,7.999514795840982906e-01,-2.000485204159016916e+01,9.993666575027497778e-01,1.076708488082711579e+00,1.077390845491309479e+00,7.739084549130947899e+00
1.145728643216080478e+01,1.021360511904224211e+01,8.173750807733826562e+00,8.002806758697463829e-01,-1.997193241302536038e+01,9.993818499057174343e-01,1.074848190307078788e+00,1.075513018781040442e+00,7.551301878104044185e+00
1.155778894472361884e+01,1.017022053706425666e+01,8.142353423374526500e+00,8.006073608434163269e-01,-1.993926391565836553e+01,9.993965604646827261e-01,1.072905048818824314e+00,1.073552873065685587e+00,7.355287306568558670e+00
1.165829145728643290e+01,1.012736387254719617e+01,8.111325482159699618e+00,8.009315735309479045e-01,-1.990684264690521132e+01,9.994108081225341333e-01,1.070887934984579237e+00,1.071519265432320234e+00,7.151926543232023370e+00
1.175879396984924696e+01,1.008502458632697696e+01,8.080659755279722134e+00,8.012533520478748450e-01,-1.987466479521251728e+01,9.994246109359963270e-01,1.068805865912206832e+00,1.069421199175025761e+00,6.942119917502576065e+00
1.185929648241206102e+01,1.004319243050720800e+01,8.050349210869994110e+00,8.015727336276310400e-01,-1.984272663723689689e+01,9.994379861235891394e-01,1.066667938131712789e+00,1.067267757421229479e+00,6.726775742122947932e+00
1.195979899497487509e+01,1.000185743820938633e+01,8.020387007156747572e+00,8.018897546486747352e-01,-1.981102453513252470e+01,9.994509501106456639e-01,1.064483262480892201e+00,1.065068037969294057e+00,6.506803796929405692e+00
1.206030150753768915e+01,9.961009970838102134e+00,7.990766525916059848e+00,8.022044500818555912e-01,-1.977955499181443955e+01,9.994635185715895487e-01,1.062260900834082866e+00,1.062831089975391885e+00,6.283108997539188501e+00
1.216080402010050321e+01,9.920640943974257553e+00,7.961481531314200666e+00,8.025168511062745758e-01,-1.974831488937254420e+01,9.994757064696591087e-01,1.060009805270893724e+00,1.060565853086167243e+00,6.056585308616724284e+00
1.226130653266331727e+01,9.880740752430307694e+00,7.932525416247530714e+00,8.028269959715736981e-01,-1.971730040284263197e+01,9.994875280942484563e-01,1.057738760233337905e+00,1.058281099565252958e+00,5.828109956525295843e+00
1.236180904522613133e+01,9.841300460013430396e+00,7.903892036814193389e+00,8.031349178829366720e-01,-1.968650821170633236e+01,9.994989970960265202e-01,1.055456328165385704e+00,1.055985379907272703e+00,5.598537990727270319e+00
1.246231155778894539e+01,9.802311366404316217e+00,7.875575408979486269e+00,8.034406493117147718e-01,-1.965593506882852282e+01,9.995101265199810570e-01,1.053170799069647279e+00,1.053686972373654607e+00,5.368697237365460673e+00
1.256281407035175945e+01,9.763764999226886232e+00,7.847569703260218965e+00,8.037442220169785934e-01,-1.962557779830213889e+01,9.995209288365241029e-01,1.050890144352720990e+00,1.051393836821398420e+00,5.139383682139841980e+00
1.266331658291457352e+01,9.725653106441065177e+00,7.819869239623721491e+00,8.040456670662878835e-01,-1.959543329337121165e+01,9.995314159707869850e-01,1.048621975264893313e+00,1.049113573130092680e+00,4.911357313009268033e+00
1.276381909547738758e+01,9.687967649043237373e+00,7.792468482591249135e+00,8.043450148557026447e-01,-1.956549851442973420e+01,9.995415993302209090e-01,1.046373506172402434e+00,1.046853384465001646e+00,4.685338446500164622e+00
1.286432160804020164e+01,9.650700794059751786e+00,7.765362036536232360e+00,8.046422951290757020e-01,-1.953577048709242803e+01,9.995514898306132601e-01,1.044151522832541534e+00,1.044620045546114095e+00,4.462004554611409546e+00
1.296482412060301570e+01,9.613844907819689922e+00,7.738544641168227933e+00,8.049375369966563776e-01,-1.950624630033436091e+01,9.995610979206221991e-01,1.041962355774508131e+00,1.042419876025680647e+00,4.241987602568064730e+00
1.306532663316582976e+01,9.577392549493877638e+00,7.712011167194011030e+00,8.052307689530336932e-01,-1.947692310469663113e+01,9.995704336049212602e-01,1.039811858823120883e+00,1.040258719010995758e+00,4.025871901099575823e+00
1.316582914572864382e+01,9.541336464887733015e+00,7.685756612147574884e+00,8.055220188944471893e-01,-1.944779811055528285e+01,9.995795064660445428e-01,1.037705392739300070e+00,1.038141924705967112e+00,3.814192470596711182e+00
1.326633165829145788e+01,9.505669580476316938e+00,7.659776096381385457e+00,8.058113141354913411e-01,-1.941886858645086633e+01,9.995883256850118803e-01,1.035647813891324542e+00,1.036074339085144125e+00,3.607433908514412479e+00
1.336683417085427195e+01,9.470384997670480587e+00,7.634064859211551202e+00,8.060986814252402155e-01,-1.939013185747597845e+01,9.995969000608119215e-01,1.033643467815169803e+00,1.034060297458192057e+00,3.406029745819205701e+00
1.346733668341708601e+01,9.435475987303563628e+00,7.608618255209936621e+00,8.063841469628179048e-01,-1.936158530371820774e+01,9.996052380288114048e-01,1.031696187471289550e+00,1.032103622731870063e+00,3.210362273187006288e+00
1.356783919597990007e+01,9.400935984328812722e+00,7.583431750636686175e+00,8.066677364124303917e-01,-1.933322635875695994e+01,9.996133476781591254e-01,1.029809295959571047e+00,1.030207628130966002e+00,3.020762813096600219e+00
1.366834170854271413e+01,9.366758582717936932e+00,7.558500920006893331e+00,8.069494749178915960e-01,-1.930505250821084218e+01,9.996212367682447697e-01,1.027985613414315047e+00,1.028375124099775828e+00,2.837512409977582806e+00
1.376884422110552819e+01,9.332937530551934202e+00,7.533821442785475497e+00,8.072293871166560386e-01,-1.927706128833439436e+01,9.996289127442689049e-01,1.026227467767210522e+00,1.026608429071865114e+00,2.660842907186511397e+00
1.386934673366834225e+01,9.299466725295708613e+00,7.509389100204671763e+00,8.075074971533795498e-01,-1.924925028466204679e+01,9.996363827519801903e-01,1.024536709038599724e+00,1.024909383768195292e+00,2.490938376819529232e+00
1.396984924623115631e+01,9.266340209248326687e+00,7.485199772198779300e+00,8.077838286930292266e-01,-1.922161713069707645e+01,9.996436536516278837e-01,1.022914726795919549e+00,1.023279368662306954e+00,2.327936866230695401e+00
1.407035175879397038e+01,9.233552165161354353e+00,7.461249434451085349e+00,8.080584049335580721e-01,-1.919415950664419412e+01,9.996507320311754929e-01,1.021362470402989109e+00,1.021719324236073811e+00,2.171932423607381146e+00
